"edge","template","column","routes","source"
"RMUX3@1,1->RMUX15@1,1","RMUX3(+0,+0)->RMUX15","1","2","afexe_bitgen_20260919"
"RMUX3@1,1->RMUX21@1,1","RMUX3(+0,+0)->RMUX21","1","2","afexe_bitgen_20260919"
"RMUX9@1,1->RMUX38@1,1","RMUX9(+0,+0)->RMUX38","1","2","afexe_bitgen_20260919"
"RMUX25@1,1->RMUX0@1,1","RMUX25(+0,+0)->RMUX0","1","2","afexe_bitgen_20260919"
"RMUX25@1,1->RMUX1@1,1","RMUX25(+0,+0)->RMUX1","1","2","afexe_bitgen_20260919"
"RMUX27@1,1->RMUX4@1,2","RMUX27(+0,-1)->RMUX4","1","2","afexe_bitgen_20260919"
"RMUX27@1,1->RMUX11@1,2","RMUX27(+0,-1)->RMUX11","1","2","afexe_bitgen_20260919"
"RMUX27@1,1->RMUX15@1,2","RMUX27(+0,-1)->RMUX15","1","2","afexe_bitgen_20260919"
"RMUX33@1,1->RMUX45@1,1","RMUX33(+0,+0)->RMUX45","1","2","afexe_bitgen_20260919"
"RMUX51@1,1->RMUX15@1,1","RMUX51(+0,+0)->RMUX15","1","2","afexe_bitgen_20260919"
"RMUX57@1,1->RMUX45@1,1","RMUX57(+0,+0)->RMUX45","1","2","afexe_bitgen_20260919"
"RMUX57@1,1->RMUX34@1,2","RMUX57(+0,-1)->RMUX34","1","2","afexe_bitgen_20260919"
"RMUX57@1,1->RMUX38@1,2","RMUX57(+0,-1)->RMUX38","1","2","afexe_bitgen_20260919"
"RMUX92@1,1->RMUX81@1,1","RMUX92(+0,+0)->RMUX81","1","2","afexe_bitgen_20260919"
"RMUX9@1,2->RMUX38@1,2","RMUX9(+0,+0)->RMUX38","1","2","afexe_bitgen_20260919"
"RMUX19@1,2->RMUX88@1,1","RMUX19(+0,+1)->RMUX88","1","2","afexe_bitgen_20260919"
"RMUX19@1,2->RMUX89@1,1","RMUX19(+0,+1)->RMUX89","1","2","afexe_bitgen_20260919"
