src_res,src_idx,dx,dy,dst_res,dst_idx,dst_column,edges_tested,source
RMUX,15,1,0,RMUX,63,1,4,afexe_bitgen_20260919
RMUX,15,1,0,RMUX,63,2,4,afexe_bitgen_20260919
RMUX,15,1,0,RMUX,63,3,4,afexe_bitgen_20260919
RMUX,15,1,0,RMUX,63,5,4,afexe_bitgen_20260919
RMUX,15,1,0,RMUX,63,6,4,afexe_bitgen_20260919
RMUX,15,1,0,RMUX,63,7,4,afexe_bitgen_20260919
RMUX,15,1,0,RMUX,63,8,4,afexe_bitgen_20260919
RMUX,15,1,0,RMUX,63,9,4,afexe_bitgen_20260919
RMUX,15,1,0,RMUX,63,10,4,afexe_bitgen_20260919
RMUX,15,1,0,RMUX,63,11,4,afexe_bitgen_20260919
RMUX,15,1,0,RMUX,63,14,11,afexe_bitgen_20260919
RMUX,15,1,0,RMUX,63,15,12,afexe_bitgen_20260919
RMUX,15,1,0,RMUX,63,16,11,afexe_bitgen_20260919
RMUX,15,1,0,RMUX,63,17,11,afexe_bitgen_20260919
RMUX,15,1,0,RMUX,63,18,12,afexe_bitgen_20260919
RMUX,2,0,1,RMUX,18,1,1,afexe_bitgen_20260919
RMUX,25,0,3,RMUX,0,1,1,afexe_bitgen_20260919
RMUX,25,0,3,RMUX,0,2,1,afexe_bitgen_20260919
RMUX,25,0,3,RMUX,0,14,8,afexe_bitgen_20260919
RMUX,25,0,3,RMUX,0,16,9,afexe_bitgen_20260919
RMUX,25,0,3,RMUX,0,17,9,afexe_bitgen_20260919
RMUX,25,0,3,RMUX,0,18,8,afexe_bitgen_20260919
RMUX,25,0,3,RMUX,0,19,9,afexe_bitgen_20260919
RMUX,25,0,3,RMUX,0,20,9,afexe_bitgen_20260919
RMUX,3,0,0,RMUX,15,1,3,afexe_bitgen_20260919
RMUX,3,0,0,RMUX,15,3,3,afexe_bitgen_20260919
RMUX,3,0,0,RMUX,15,4,2,afexe_bitgen_20260919
RMUX,3,0,0,RMUX,15,5,1,afexe_bitgen_20260919
RMUX,3,0,0,RMUX,15,6,2,afexe_bitgen_20260919
RMUX,3,0,0,RMUX,15,7,2,afexe_bitgen_20260919
RMUX,3,0,0,RMUX,15,8,3,afexe_bitgen_20260919
RMUX,3,0,0,RMUX,15,9,4,afexe_bitgen_20260919
RMUX,3,0,0,RMUX,15,10,4,afexe_bitgen_20260919
