pin,x,y,z,edge
PIN_2,22,2,3,RIGHT
PIN_10,20,13,1,TOP
PIN_11,20,13,2,TOP
PIN_12,20,13,3,TOP
PIN_13,19,13,3,TOP
PIN_14,19,13,2,TOP
PIN_15,19,13,1,TOP
PIN_16,19,13,0,TOP
PIN_17,18,13,3,TOP
PIN_18,18,13,0,TOP
PIN_19,17,13,3,TOP
PIN_20,17,13,2,TOP
PIN_21,14,13,2,TOP
PIN_22,14,13,0,TOP
PIN_25,0,4,0,LEFT
PIN_26,0,4,1,LEFT
PIN_27,0,4,2,LEFT
PIN_28,0,4,3,LEFT
PIN_29,0,2,4,LEFT
PIN_30,0,2,5,LEFT
PIN_31,0,1,0,LEFT
PIN_32,0,1,2,LEFT
PIN_33,0,1,3,LEFT
PIN_34,0,1,4,LEFT
PIN_35,0,1,5,LEFT
PIN_37,1,0,0,BOTTOM
PIN_38,1,0,1,BOTTOM
PIN_39,17,0,0,BOTTOM
PIN_40,17,0,1,BOTTOM
PIN_41,17,0,2,BOTTOM
PIN_42,18,0,0,BOTTOM
PIN_43,18,0,1,BOTTOM
PIN_45,19,0,1,BOTTOM
PIN_46,19,0,3,BOTTOM
