pin,x,y,z,edge
PIN_1,22,2,3,RIGHT
PIN_2,22,3,0,RIGHT
PIN_3,22,3,3,RIGHT
PIN_5,22,3,1,RIGHT
PIN_7,20,13,1,TOP
PIN_8,20,13,2,TOP
PIN_9,20,13,3,TOP
PIN_10,19,13,3,TOP
PIN_11,19,13,2,TOP
PIN_12,19,13,1,TOP
PIN_13,19,13,0,TOP
PIN_14,18,13,3,TOP
PIN_15,17,13,2,TOP
PIN_18,0,4,2,LEFT
PIN_19,0,4,4,LEFT
PIN_20,0,2,5,LEFT
PIN_21,0,1,0,LEFT
PIN_22,0,1,2,LEFT
PIN_23,0,1,3,LEFT
PIN_24,0,1,4,LEFT
PIN_25,1,0,0,BOTTOM
PIN_26,1,0,1,BOTTOM
PIN_27,17,0,0,BOTTOM
PIN_28,17,0,1,BOTTOM
PIN_29,17,0,2,BOTTOM
PIN_31,19,0,3,BOTTOM
