port,bit,x,y,res
AddressA,0,13,4,IMUX12
AddressA,1,13,4,IMUX11
AddressA,2,13,4,IMUX10
AddressA,3,13,4,IMUX09
AddressA,4,13,4,IMUX08
AddressA,5,13,4,IMUX07
AddressA,6,13,4,IMUX06
AddressA,7,13,4,IMUX05
AddressA,8,13,4,IMUX04
AddressA,9,13,4,IMUX03
AddressA,10,13,4,IMUX02
AddressA,11,13,4,IMUX01
AddressA,12,13,4,IMUX00
AddressB,0,13,4,IMUX51
AddressB,1,13,4,IMUX52
AddressB,2,13,4,IMUX53
AddressB,3,13,4,IMUX54
AddressB,4,13,4,IMUX55
AddressB,5,13,4,IMUX56
AddressB,6,13,4,IMUX57
AddressB,7,13,4,IMUX58
AddressB,8,13,4,IMUX59
AddressB,9,13,4,IMUX60
AddressB,10,13,4,IMUX61
AddressB,11,13,4,IMUX62
AddressB,12,13,4,IMUX63
AsyncReset0,0,13,4,TileAsyncMUX00
ByteEnA,0,13,4,KMUX01
ByteEnA,1,13,4,KMUX02
ByteEnB,0,13,4,KMUX08
ByteEnB,1,13,4,KMUX09
Clk0,0,13,4,TileClkMUX01
Clk1,0,13,4,TileClkMUX01
ClkEn0,0,13,4,TileClkEnMUX00
ClkEn1,0,13,4,TileClkEnMUX01
DataInA,0,13,4,IMUX30
DataInA,1,13,4,IMUX29
DataInA,2,13,4,IMUX28
DataInA,3,13,4,IMUX27
DataInA,4,13,4,IMUX26
DataInA,5,13,4,IMUX25
DataInA,6,13,4,IMUX24
DataInA,7,13,4,IMUX23
DataInA,8,13,4,IMUX22
DataInA,9,13,4,IMUX21
DataInA,10,13,4,IMUX20
DataInA,11,13,4,IMUX19
DataInA,12,13,4,IMUX18
DataInA,13,13,4,IMUX17
DataInA,14,13,4,IMUX16
DataInA,15,13,4,IMUX15
DataInA,16,13,4,IMUX14
DataInA,17,13,4,IMUX13
DataInB,0,13,4,IMUX33
DataInB,1,13,4,IMUX34
DataInB,2,13,4,IMUX35
DataInB,3,13,4,IMUX36
DataInB,4,13,4,IMUX37
DataInB,5,13,4,IMUX38
DataInB,6,13,4,IMUX39
DataInB,7,13,4,IMUX40
DataInB,8,13,4,IMUX41
DataInB,9,13,4,IMUX42
DataInB,10,13,4,IMUX43
DataInB,11,13,4,IMUX44
DataInB,12,13,4,IMUX45
DataInB,13,13,4,IMUX46
DataInB,14,13,4,IMUX47
DataInB,15,13,4,IMUX48
DataInB,16,13,4,IMUX49
DataInB,17,13,4,IMUX50
DataOutA,0,13,4,BufMUX00
DataOutA,1,13,4,BufMUX01
DataOutA,2,13,4,BufMUX02
DataOutA,3,13,4,BufMUX03
DataOutA,4,13,4,BufMUX04
DataOutA,5,13,4,BufMUX05
DataOutA,6,13,4,BufMUX06
DataOutA,7,13,4,BufMUX07
DataOutA,8,13,4,BufMUX32
DataOutA,9,13,4,BufMUX08
DataOutA,10,13,4,BufMUX09
DataOutA,11,13,4,BufMUX10
DataOutA,12,13,4,BufMUX11
DataOutA,13,13,4,BufMUX12
DataOutA,14,13,4,BufMUX13
DataOutA,15,13,4,BufMUX14
DataOutA,16,13,4,BufMUX15
DataOutA,17,13,4,BufMUX33
DataOutB,0,13,4,BufMUX16
DataOutB,1,13,4,BufMUX17
DataOutB,2,13,4,BufMUX18
DataOutB,3,13,4,BufMUX19
DataOutB,4,13,4,BufMUX20
DataOutB,5,13,4,BufMUX21
DataOutB,6,13,4,BufMUX22
DataOutB,7,13,4,BufMUX23
DataOutB,8,13,4,BufMUX34
DataOutB,9,13,4,BufMUX24
DataOutB,10,13,4,BufMUX25
DataOutB,11,13,4,BufMUX26
DataOutB,12,13,4,BufMUX27
DataOutB,13,13,4,BufMUX28
DataOutB,14,13,4,BufMUX29
DataOutB,15,13,4,BufMUX30
DataOutB,16,13,4,BufMUX31
DataOutB,17,13,4,BufMUX35
ReA,0,13,4,KMUX06
ReB,0,13,4,KMUX07
WeA,0,13,4,KMUX03
WeB,0,13,4,KMUX00
