src_tile,src_x,src_y,src_res,dst_tile,dst_x,dst_y,dst_res
BramTILE,13,4,IMUX52,BramTILE,13,4,IMUX53
BramTILE,13,4,RMUX08,LogicTILE,14,4,RMUX32
ClkdisTILE,13,0,BufMUX05,BramTILE,13,4,SeamMUX01
BramTILE,13,4,IMUX33,BramTILE,13,4,IMUX43
BramTILE,13,4,IMUX36,BramTILE,13,4,IMUX37
LogicTILE,14,4,RMUX48,BramTILE,13,4,IMUX00
BramTILE,13,4,IMUX60,BramTILE,13,4,IMUX30
BramTILE,13,4,IMUX15,BramTILE,13,4,IMUX14
BramTILE,13,4,IMUX47,BramTILE,13,4,IMUX48
BramTILE,13,4,IMUX50,BramTILE,13,4,IMUX34
BramTILE,13,4,IMUX17,BramTILE,13,4,IMUX16
BramTILE,13,4,IMUX46,BramTILE,13,4,IMUX47
BramTILE,13,4,RMUX44,BramTILE,13,3,RMUX74
BramTILE,13,4,IMUX39,BramTILE,13,4,IMUX40
BramTILE,13,4,IMUX48,BramTILE,13,4,IMUX49
BramTILE,13,4,IMUX51,BramTILE,13,4,IMUX61
LogicTILE,14,4,RMUX72,BramTILE,13,4,IMUX08
BramTILE,13,4,BufMUX01,LogicTILE,14,4,RMUX20
LogicTILE,10,4,RMUX45,BramTILE,13,4,RMUX77
BramTILE,13,4,BufMUX32,BramTILE,13,4,RMUX08
BramTILE,13,4,IMUX63,BramTILE,13,4,IMUX52
BramTILE,13,4,IMUX57,BramTILE,13,4,IMUX58
BramTILE,13,4,BufMUX33,BramTILE,13,4,RMUX44
BramTILE,13,4,BufMUX08,LogicTILE,14,4,RMUX62
BramTILE,13,4,IMUX62,BramTILE,13,4,IMUX63
LogicTILE,14,4,RMUX20,BramTILE,13,4,RMUX81
BramTILE,13,4,BufMUX10,LogicTILE,14,4,RMUX69
BramTILE,13,4,IMUX37,BramTILE,13,4,IMUX38
BramTILE,13,4,IMUX25,BramTILE,13,4,IMUX24
BramTILE,13,4,IMUX28,BramTILE,13,4,IMUX27
BramTILE,13,4,BufMUX05,LogicTILE,14,4,RMUX25
BramTILE,13,4,IMUX24,BramTILE,13,4,IMUX23
BramTILE,13,4,IMUX21,BramTILE,13,4,IMUX33
BramTILE,13,4,IMUX13,BramTILE,13,4,IMUX29
BramTILE,13,4,BufMUX04,LogicTILE,14,4,RMUX38
BramTILE,13,4,SeamMUX00,BramTILE,13,4,TileClkMUX00
BramTILE,13,4,BufMUX03,LogicTILE,14,4,RMUX08
BramTILE,13,4,IMUX22,BramTILE,13,4,IMUX21
BramTILE,13,4,IMUX26,BramTILE,13,4,IMUX25
BramTILE,13,4,RMUX28,BramTILE,13,4,IMUX04
BramTILE,13,4,BufMUX07,LogicTILE,14,4,RMUX45
BramTILE,13,4,IMUX35,BramTILE,13,4,IMUX36
BramTILE,13,4,IMUX38,BramTILE,13,4,IMUX39
BramTILE,13,4,BufMUX09,LogicTILE,14,4,RMUX55
BramTILE,13,4,BufMUX15,LogicTILE,14,4,RMUX74
LogicTILE,14,4,RMUX26,BramTILE,13,4,RMUX12
LogicTILE,14,4,RMUX63,BramTILE,13,4,RMUX58
BramTILE,13,4,BufMUX00,LogicTILE,14,4,RMUX09
BramTILE,13,4,IMUX55,BramTILE,13,4,IMUX56
LogicTILE,14,4,RMUX78,BramTILE,13,4,IMUX07
LogicTILE,14,4,RMUX54,BramTILE,13,4,IMUX03
BramTILE,13,4,IMUX44,BramTILE,13,4,IMUX45
BramTILE,13,4,BufMUX13,LogicTILE,14,4,RMUX75
BramTILE,13,4,IMUX29,BramTILE,13,4,IMUX28
BramTILE,13,4,IMUX18,BramTILE,13,4,IMUX17
BramTILE,13,4,RMUX12,BramTILE,13,4,IMUX05
BramTILE,13,4,BufMUX12,LogicTILE,14,4,RMUX92
BramTILE,13,4,IMUX34,BramTILE,13,4,IMUX35
BramTILE,13,4,IMUX40,BramTILE,13,4,IMUX41
BramTILE,13,4,IMUX16,BramTILE,13,4,IMUX15
BramTILE,13,4,BufMUX14,LogicTILE,14,4,RMUX80
BramTILE,13,4,BufMUX02,LogicTILE,14,4,RMUX02
BramTILE,13,4,IMUX27,BramTILE,13,4,IMUX26
BramTILE,13,4,SeamMUX01,BramTILE,13,4,TileClkMUX01
BramTILE,13,4,IMUX30,BramTILE,13,4,IMUX20
LogicTILE,14,4,RMUX06,BramTILE,13,4,IMUX09
BramTILE,13,4,IMUX14,BramTILE,13,4,IMUX13
BramTILE,13,4,IMUX61,BramTILE,13,4,RMUX82
BramTILE,13,4,IMUX58,BramTILE,13,4,IMUX59
BramTILE,13,4,IMUX32,BramTILE,13,4,TileAsyncMUX00
BramTILE,13,4,IMUX49,BramTILE,13,4,IMUX50
BramTILE,13,4,IMUX54,BramTILE,13,4,IMUX55
BramTILE,13,4,IMUX23,BramTILE,13,4,IMUX22
BramTILE,13,4,BufMUX06,LogicTILE,14,4,RMUX39
BramTILE,13,4,RMUX82,BramTILE,13,4,IMUX62
BramTILE,13,4,IMUX41,BramTILE,13,4,IMUX42
BramTILE,13,4,RMUX58,BramTILE,13,4,IMUX06
BramTILE,13,4,IMUX20,BramTILE,13,4,IMUX19
BramTILE,13,4,BufMUX11,LogicTILE,14,4,RMUX71
BramTILE,13,4,RMUX77,BramTILE,13,4,IMUX51
BramTILE,13,4,IMUX56,BramTILE,13,4,IMUX57
BramTILE,13,4,IMUX59,BramTILE,13,4,IMUX60
BramTILE,13,4,IMUX45,BramTILE,13,4,IMUX46
LogicTILE,14,4,RMUX36,BramTILE,13,4,IMUX32
BramTILE,13,4,IMUX43,BramTILE,13,4,IMUX44
BramTILE,13,4,IMUX19,BramTILE,13,4,IMUX18
BramTILE,13,4,IMUX53,BramTILE,13,4,IMUX54
LogicTILE,14,4,RMUX00,BramTILE,13,4,IMUX02
BramTILE,13,4,TileClkMUX01,BramTILE,13,4,SeamMUX00
LogicTILE,16,4,RMUX33,BramTILE,13,4,RMUX28
BramTILE,13,4,RMUX81,LogicTILE,15,4,RMUX39
LogicTILE,14,4,RMUX30,BramTILE,13,4,IMUX01
