port,bit,wire,dir
AddressA,0,X13Y4_IMUX12,in
AddressA,1,X13Y4_IMUX11,in
AddressA,2,X13Y4_IMUX10,in
AddressA,3,X13Y4_IMUX09,in
AddressA,4,X13Y4_IMUX08,in
AddressA,5,X13Y4_IMUX07,in
AddressA,6,X13Y4_IMUX06,in
AddressA,7,X13Y4_IMUX05,in
AddressA,8,X13Y4_IMUX04,in
AddressA,9,X13Y4_IMUX03,in
AddressA,10,X13Y4_IMUX02,in
AddressA,11,X13Y4_IMUX01,in
AddressA,12,X13Y4_IMUX00,in
AddressStallA,0,X13Y4_KMUX04,in
AsyncReset0,0,X13Y4_TileAsyncMUX00,in
ByteEnA,0,X13Y4_KMUX01,in
ByteEnA,1,X13Y4_KMUX02,in
Clk0,0,X13Y4_TileClkMUX00,in
Clk1,0,X13Y4_TileClkMUX00,in
ClkEn0,0,X13Y4_TileClkEnMUX00,in
DataInA,0,X13Y4_IMUX30,in
DataInA,1,X13Y4_IMUX29,in
DataInA,2,X13Y4_IMUX28,in
DataInA,3,X13Y4_IMUX27,in
DataInA,4,X13Y4_IMUX26,in
DataInA,5,X13Y4_IMUX25,in
DataInA,6,X13Y4_IMUX24,in
DataInA,7,X13Y4_IMUX23,in
DataInA,8,X13Y4_IMUX22,in
DataInA,9,X13Y4_IMUX21,in
DataInA,10,X13Y4_IMUX20,in
DataInA,11,X13Y4_IMUX19,in
DataInA,12,X13Y4_IMUX18,in
DataInA,13,X13Y4_IMUX17,in
DataInA,14,X13Y4_IMUX16,in
DataInA,15,X13Y4_IMUX15,in
DataInA,16,X13Y4_IMUX14,in
DataInA,17,X13Y4_IMUX13,in
DataOutA,0,X13Y4_BufMUX00,out
DataOutA,1,X13Y4_BufMUX01,out
DataOutA,2,X13Y4_BufMUX02,out
DataOutA,3,X13Y4_BufMUX03,out
DataOutA,4,X13Y4_BufMUX04,out
DataOutA,5,X13Y4_BufMUX05,out
DataOutA,6,X13Y4_BufMUX06,out
DataOutA,7,X13Y4_BufMUX07,out
DataOutA,8,X13Y4_BufMUX32,out
DataOutA,9,X13Y4_BufMUX08,out
DataOutA,10,X13Y4_BufMUX09,out
DataOutA,11,X13Y4_BufMUX10,out
DataOutA,12,X13Y4_BufMUX11,out
DataOutA,13,X13Y4_BufMUX12,out
DataOutA,14,X13Y4_BufMUX13,out
DataOutA,15,X13Y4_BufMUX14,out
DataOutA,16,X13Y4_BufMUX15,out
DataOutA,17,X13Y4_BufMUX33,out
ReA,0,X13Y4_KMUX06,in
WeA,0,X13Y4_KMUX03,in
