src_x,src_y,src_res,dst_x,dst_y,dst_res
9,3,OMUX00,10,3,RMUX09
10,3,RMUX09,10,4,RMUX38
10,4,RMUX38,14,4,RMUX66
11,4,RMUX61,13,4,RMUX70
13,4,IMUX33,13,4,IMUX43
13,4,IMUX34,13,4,IMUX35
13,4,IMUX35,13,4,IMUX36
13,4,IMUX36,13,4,IMUX37
13,4,IMUX37,13,4,IMUX38
13,4,IMUX38,13,4,IMUX39
13,4,IMUX39,13,4,IMUX40
13,4,IMUX40,13,4,IMUX41
13,4,IMUX41,13,4,IMUX42
13,4,IMUX43,13,4,IMUX44
13,4,IMUX44,13,4,IMUX45
13,4,IMUX45,13,4,IMUX46
13,4,IMUX46,13,4,IMUX47
13,4,IMUX47,13,4,IMUX48
13,4,IMUX48,13,4,IMUX49
13,4,IMUX49,13,4,IMUX50
13,4,IMUX50,13,4,IMUX34
13,4,IMUX51,13,4,IMUX61
13,4,IMUX52,13,4,IMUX53
13,4,IMUX53,13,4,IMUX54
13,4,IMUX54,13,4,IMUX55
13,4,IMUX55,13,4,IMUX56
13,4,IMUX56,13,4,IMUX57
13,4,IMUX57,13,4,IMUX58
13,4,IMUX58,13,4,IMUX59
13,4,IMUX59,13,4,IMUX60
13,4,IMUX60,13,4,IMUX33
13,4,IMUX61,11,4,RMUX61
13,4,IMUX62,13,4,IMUX63
13,4,IMUX63,13,4,IMUX52
13,4,RMUX04,13,4,IMUX22
13,4,RMUX05,13,4,IMUX29
13,4,RMUX06,13,4,IMUX02
13,4,RMUX10,13,4,IMUX00
13,4,RMUX12,13,4,IMUX03
13,4,RMUX17,13,4,IMUX21
13,4,RMUX22,13,4,IMUX24
13,4,RMUX23,13,4,IMUX15
13,4,RMUX28,13,4,IMUX28
13,4,RMUX34,13,4,IMUX08
13,4,RMUX35,13,4,IMUX11
13,4,RMUX36,13,4,IMUX27
13,4,RMUX40,13,4,IMUX06
13,4,RMUX42,13,4,IMUX17
13,4,RMUX52,13,4,IMUX30
13,4,RMUX53,13,4,IMUX09
13,4,RMUX58,13,4,IMUX16
13,4,RMUX64,13,4,IMUX20
13,4,RMUX70,13,4,IMUX62
13,4,RMUX77,13,4,IMUX19
13,4,RMUX83,13,4,IMUX25
13,4,RMUX88,13,4,IMUX18
13,4,RMUX94,13,4,IMUX14
13,4,RMUX95,13,4,IMUX07
13,5,BufMUX19,14,5,RMUX80
13,10,BufMUX12,14,10,RMUX14
13,10,BufMUX13,14,10,RMUX08
13,10,BufMUX14,14,10,RMUX44
13,10,BufMUX15,14,10,RMUX32
13,10,BufMUX16,14,10,RMUX51
13,10,BufMUX17,14,10,RMUX50
13,10,BufMUX18,14,10,RMUX81
13,10,BufMUX19,14,10,RMUX80
13,10,InputMUX02,16,10,RMUX21
13,10,InputMUX03,14,10,RMUX47
13,10,InputMUX04,17,10,RMUX27
13,10,InputMUX05,16,10,RMUX44
13,10,InputMUX06,14,10,RMUX65
13,10,InputMUX07,14,10,RMUX67
13,10,InputMUX08,16,10,RMUX68
13,10,InputMUX09,14,10,RMUX73
13,10,InputMUX10,15,10,RMUX80
13,10,InputMUX11,14,10,RMUX87
13,11,InputMUX00,14,11,RMUX07
13,11,InputMUX01,15,11,RMUX03
13,11,InputMUX02,16,11,RMUX14
13,12,BufMUX12,14,12,RMUX14
13,12,BufMUX13,14,12,RMUX21
13,12,BufMUX14,14,12,RMUX44
13,12,BufMUX15,14,12,RMUX45
13,12,BufMUX16,14,12,RMUX51
13,12,BufMUX17,14,12,RMUX67
13,12,BufMUX18,14,12,RMUX73
13,12,BufMUX19,14,12,RMUX87
13,12,InputMUX10,14,12,RMUX80
13,12,InputMUX11,16,12,RMUX87
14,4,RMUX00,13,4,IMUX26
14,4,RMUX03,13,4,RMUX04
14,4,RMUX06,13,4,IMUX05
14,4,RMUX13,13,4,RMUX64
14,4,RMUX24,13,4,IMUX04
14,4,RMUX30,13,4,IMUX23
14,4,RMUX33,13,4,RMUX34
14,4,RMUX36,13,4,IMUX32
14,4,RMUX43,13,4,RMUX88
14,4,RMUX48,13,4,IMUX12
14,4,RMUX49,13,4,RMUX06
14,4,RMUX54,13,4,IMUX13
14,4,RMUX56,13,4,RMUX42
14,4,RMUX63,13,4,RMUX53
14,4,RMUX66,13,4,IMUX51
14,4,RMUX72,13,4,IMUX10
14,4,RMUX78,13,4,IMUX01
14,4,RMUX93,13,4,RMUX83
14,5,RMUX80,14,4,RMUX36
14,6,RMUX07,14,4,RMUX30
14,6,RMUX37,14,4,RMUX54
14,6,RMUX50,14,4,RMUX13
14,6,RMUX62,14,7,RMUX50
14,6,RMUX73,14,4,RMUX00
14,6,RMUX80,14,4,RMUX43
14,7,OMUX17,14,7,RMUX37
14,7,RMUX14,14,4,RMUX56
14,7,RMUX37,14,4,RMUX49
14,7,RMUX41,14,7,IMUX23
14,7,RMUX50,14,4,RMUX03
14,7,RMUX67,14,4,RMUX78
14,8,RMUX07,14,4,RMUX24
14,8,RMUX08,16,8,RMUX37
14,8,RMUX21,14,4,RMUX93
14,8,RMUX37,14,4,RMUX48
14,8,RMUX67,14,4,RMUX72
14,8,RMUX68,15,8,RMUX80
14,8,RMUX73,14,4,RMUX06
14,8,RMUX80,14,4,RMUX33
14,8,RMUX87,14,4,RMUX63
14,10,OMUX00,15,10,RMUX14
14,10,OMUX23,14,10,RMUX27
14,10,RMUX08,15,10,RMUX27
14,10,RMUX14,14,6,RMUX50
14,10,RMUX27,14,8,RMUX21
14,10,RMUX32,14,11,RMUX27
14,10,RMUX44,14,6,RMUX80
14,10,RMUX47,14,10,IMUX03
14,10,RMUX50,14,8,RMUX08
14,10,RMUX51,15,10,RMUX21
14,10,RMUX65,14,10,IMUX31
14,10,RMUX67,14,6,RMUX73
14,10,RMUX73,14,6,RMUX07
14,10,RMUX80,14,6,RMUX37
14,10,RMUX81,15,10,RMUX44
14,10,RMUX87,14,6,RMUX62
14,11,RMUX07,14,7,RMUX41
14,11,RMUX14,14,7,RMUX67
14,11,RMUX27,14,7,RMUX14
14,12,RMUX14,14,8,RMUX67
14,12,RMUX21,14,8,RMUX87
14,12,RMUX44,14,8,RMUX80
14,12,RMUX45,15,12,RMUX87
14,12,RMUX51,15,12,RMUX14
14,12,RMUX67,14,8,RMUX73
14,12,RMUX73,14,8,RMUX07
14,12,RMUX80,14,8,RMUX37
14,12,RMUX87,14,8,RMUX68
15,4,RMUX03,13,4,RMUX05
15,4,RMUX26,13,4,RMUX12
