x,y,mux,sel,byte,mask
13,4,CFG_CLKMODE,0,71558,128
13,4,CFG_CLKMODE,1,71558,64
13,4,CFG_CtrlMUX,0,69588,16
13,4,CFG_CtrlMUX,1,69704,16
13,4,CFG_CtrlMUX,2,69588,32
13,4,CFG_CtrlMUX,3,69704,32
13,4,CFG_CtrlMUX,4,69588,64
13,4,CFG_CtrlMUX,5,69704,64
13,4,CFG_CtrlMUX,6,69588,128
13,4,CFG_CtrlMUX,7,69704,128
13,4,CFG_CtrlMUX,8,69703,2
13,4,CFG_CtrlMUX,9,69703,1
13,4,CFG_CtrlMUX,10,69587,2
13,4,CFG_CtrlMUX,11,69587,1
13,4,CFG_CtrlMUX,12,69587,128
13,4,CFG_CtrlMUX,13,69703,128
13,4,CFG_CtrlMUX,14,69587,64
13,4,CFG_CtrlMUX,15,69703,64
13,4,CFG_CtrlMUX,16,69587,32
13,4,CFG_CtrlMUX,17,69703,32
13,4,CFG_CtrlMUX,18,69587,16
13,4,CFG_CtrlMUX,19,69703,16
13,4,CFG_CtrlMUX,20,69703,4
13,4,CFG_CtrlMUX,21,69703,8
13,4,CFG_CtrlMUX,22,69587,4
13,4,CFG_CtrlMUX,23,69587,8
13,4,CFG_CtrlMUX,24,69936,16
13,4,CFG_CtrlMUX,25,69820,16
13,4,CFG_CtrlMUX,26,69936,32
13,4,CFG_CtrlMUX,27,69820,32
13,4,CFG_CtrlMUX,28,69936,64
13,4,CFG_CtrlMUX,29,69820,64
13,4,CFG_CtrlMUX,30,69936,128
13,4,CFG_CtrlMUX,31,69820,128
13,4,CFG_CtrlMUX,32,69819,2
13,4,CFG_CtrlMUX,33,69819,1
13,4,CFG_CtrlMUX,34,69935,2
13,4,CFG_CtrlMUX,35,69935,1
13,4,CFG_CtrlMUX,36,69935,128
13,4,CFG_CtrlMUX,37,69819,128
13,4,CFG_CtrlMUX,38,69935,64
13,4,CFG_CtrlMUX,39,69819,64
13,4,CFG_CtrlMUX,40,69935,32
13,4,CFG_CtrlMUX,41,69819,32
13,4,CFG_CtrlMUX,42,69935,16
13,4,CFG_CtrlMUX,43,69819,16
13,4,CFG_CtrlMUX,44,69819,4
13,4,CFG_CtrlMUX,45,69819,8
13,4,CFG_CtrlMUX,46,69935,4
13,4,CFG_CtrlMUX,47,69935,8
13,4,CFG_DLYTIME,0,68774,64
13,4,CFG_DLYTIME,1,70398,64
13,4,CFG_DWSEL_A,0,68774,128
13,4,CFG_DWSEL_A,1,68542,128
13,4,CFG_DWSEL_A,2,68078,64
13,4,CFG_DWSEL_A,3,67382,128
13,4,CFG_DWSEL_A,4,71094,64
13,4,CFG_DWSEL_B,0,70862,128
13,4,CFG_DWSEL_B,1,70862,64
13,4,CFG_DWSEL_B,2,71558,32
13,4,CFG_DWSEL_B,3,72254,64
13,4,CFG_DWSEL_B,4,71094,128
13,4,CFG_IMUX0,0,65876,16
13,4,CFG_IMUX0,1,65992,16
13,4,CFG_IMUX0,2,65876,32
13,4,CFG_IMUX0,3,65992,32
13,4,CFG_IMUX0,4,65876,64
13,4,CFG_IMUX0,5,65992,64
13,4,CFG_IMUX0,6,65876,128
13,4,CFG_IMUX0,7,65992,128
13,4,CFG_IMUX0,8,65875,1
13,4,CFG_IMUX0,9,65875,2
13,4,CFG_IMUX0,10,65991,2
13,4,CFG_IMUX0,11,65991,1
13,4,CFG_IMUX0,12,65875,128
13,4,CFG_IMUX0,13,65991,128
13,4,CFG_IMUX0,14,65875,64
13,4,CFG_IMUX0,15,65991,64
13,4,CFG_IMUX0,16,65875,32
13,4,CFG_IMUX0,17,65991,32
13,4,CFG_IMUX0,18,65875,16
13,4,CFG_IMUX0,19,65991,16
13,4,CFG_IMUX0,20,65875,8
13,4,CFG_IMUX0,21,65875,4
13,4,CFG_IMUX0,22,65991,4
13,4,CFG_IMUX0,23,65991,8
13,4,CFG_IMUX0,24,66108,16
13,4,CFG_IMUX0,25,66224,16
13,4,CFG_IMUX0,26,66108,32
13,4,CFG_IMUX0,27,66224,32
13,4,CFG_IMUX0,28,66108,64
13,4,CFG_IMUX0,29,66224,64
13,4,CFG_IMUX0,30,66108,128
13,4,CFG_IMUX0,31,66224,128
13,4,CFG_IMUX0,32,66107,1
13,4,CFG_IMUX0,33,66107,2
13,4,CFG_IMUX0,34,66223,2
13,4,CFG_IMUX0,35,66223,1
13,4,CFG_IMUX0,36,66107,128
13,4,CFG_IMUX0,37,66223,128
13,4,CFG_IMUX0,38,66107,64
13,4,CFG_IMUX0,39,66223,64
13,4,CFG_IMUX0,40,66107,32
13,4,CFG_IMUX0,41,66223,32
13,4,CFG_IMUX0,42,66107,16
13,4,CFG_IMUX0,43,66223,16
13,4,CFG_IMUX0,44,66107,8
13,4,CFG_IMUX0,45,66107,4
13,4,CFG_IMUX0,46,66223,4
13,4,CFG_IMUX0,47,66223,8
13,4,CFG_IMUX1,0,66340,16
13,4,CFG_IMUX1,1,66456,16
13,4,CFG_IMUX1,2,66340,32
13,4,CFG_IMUX1,3,66456,32
13,4,CFG_IMUX1,4,66340,64
13,4,CFG_IMUX1,5,66456,64
13,4,CFG_IMUX1,6,66340,128
13,4,CFG_IMUX1,7,66456,128
13,4,CFG_IMUX1,8,66339,1
13,4,CFG_IMUX1,9,66339,2
13,4,CFG_IMUX1,10,66455,2
13,4,CFG_IMUX1,11,66455,1
13,4,CFG_IMUX1,12,66339,128
13,4,CFG_IMUX1,13,66455,128
13,4,CFG_IMUX1,14,66339,64
13,4,CFG_IMUX1,15,66455,64
13,4,CFG_IMUX1,16,66339,32
13,4,CFG_IMUX1,17,66455,32
