dst_family,dst_index,src_family,src_index,ddx,ddy,set_selections
KMUX,0,TMUX,4,0,0,4;5
KMUX,1,TMUX,4,0,0,12;14
KMUX,2,TMUX,10,0,0,22;24
KMUX,3,TMUX,13,0,0,29;34
KMUX,4,TMUX,2,0,0,38;41
KMUX,4,TMUX,9,0,0,39;42
KMUX,4,TMUX,11,0,0,36;43
KMUX,4,TMUX,15,0,0,40;43
KMUX,5,TMUX,0,0,0,45;50
KMUX,6,TMUX,9,0,0,57;60
KMUX,7,TMUX,9,0,0,66;69
KMUX,8,TMUX,3,0,0,75;77
KMUX,9,TMUX,15,0,0,85;88
TMUX,0,RMUX,0,-1,0,3;7
TMUX,2,RMUX,12,-1,0,19;23
TMUX,3,RMUX,3,-2,0,25;29
TMUX,4,RMUX,24,-1,0,35;39
TMUX,4,RMUX,79,-3,0,33;38
TMUX,4,RMUX,79,-2,0,32;38
TMUX,9,RMUX,86,-2,0,76;78
TMUX,10,RMUX,60,-1,0,83;87
TMUX,11,RMUX,66,-1,0,91;95
TMUX,13,RMUX,20,-3,0,104;111
TMUX,13,RMUX,20,-2,0,108;110
TMUX,15,RMUX,93,-2,0,121;125
TMUX,15,RMUX,93,-1,0,120;125
