x,y,z,init,source_wire,dest_wire,byte,value,write_mask,selector_mask,sparse_policy
14,9,9,65280,X14Y9_RMUX41,X14Y9_IMUX39,31052,120,255,0,fail_closed
14,9,9,65280,X14Y9_RMUX41,X14Y9_IMUX39,31168,120,255,0,fail_closed
14,9,9,65280,X14Y9_RMUX41,X14Y9_IMUX39,31284,0,255,0,fail_closed
14,9,9,65280,X14Y9_RMUX41,X14Y9_IMUX39,31400,0,255,0,fail_closed
14,8,14,65280,X14Y8_RMUX47,X14Y8_IMUX59,41260,120,255,0,fail_closed
14,8,14,65280,X14Y8_RMUX47,X14Y8_IMUX59,41376,120,255,0,fail_closed
14,8,14,65280,X14Y8_RMUX47,X14Y8_IMUX59,41492,4,255,0,fail_closed
14,8,14,65280,X14Y8_RMUX47,X14Y8_IMUX59,41608,0,255,0,fail_closed
14,8,9,65280,X14Y8_RMUX71,X14Y8_IMUX39,38940,120,255,0,fail_closed
14,8,9,65280,X14Y8_RMUX71,X14Y8_IMUX39,39056,120,255,0,fail_closed
14,8,9,65280,X14Y8_RMUX71,X14Y8_IMUX39,39172,1,255,0,fail_closed
14,8,9,65280,X14Y8_RMUX71,X14Y8_IMUX39,39288,0,255,0,fail_closed
14,7,14,65280,X14Y7_RMUX41,X14Y7_IMUX59,49148,120,255,0,fail_closed
14,7,14,65280,X14Y7_RMUX41,X14Y7_IMUX59,49264,120,255,0,fail_closed
14,7,14,65280,X14Y7_RMUX41,X14Y7_IMUX59,49380,0,255,0,fail_closed
14,7,14,65280,X14Y7_RMUX41,X14Y7_IMUX59,49496,0,255,0,fail_closed
14,5,7,65280,X14Y5_RMUX41,X14Y5_IMUX31,61212,120,255,0,fail_closed
14,5,7,65280,X14Y5_RMUX41,X14Y5_IMUX31,61328,120,255,0,fail_closed
14,5,7,65280,X14Y5_RMUX41,X14Y5_IMUX31,61444,0,255,0,fail_closed
14,5,7,65280,X14Y5_RMUX41,X14Y5_IMUX31,61560,0,255,0,fail_closed
14,5,4,65280,X14Y5_RMUX41,X14Y5_IMUX19,59820,120,255,0,fail_closed
14,5,4,65280,X14Y5_RMUX41,X14Y5_IMUX19,59936,120,255,0,fail_closed
14,5,4,65280,X14Y5_RMUX41,X14Y5_IMUX19,60052,0,255,0,fail_closed
14,5,4,65280,X14Y5_RMUX41,X14Y5_IMUX19,60168,0,255,0,fail_closed
14,4,3,65280,X14Y4_RMUX47,X14Y4_IMUX15,67244,120,255,0,fail_closed
14,4,3,65280,X14Y4_RMUX47,X14Y4_IMUX15,67360,120,255,0,fail_closed
14,4,3,65280,X14Y4_RMUX47,X14Y4_IMUX15,67476,4,255,0,fail_closed
14,4,3,65280,X14Y4_RMUX47,X14Y4_IMUX15,67592,0,255,0,fail_closed
