src_wire,dst_wire,pip_type,cfg_group,clear_selectors,set_selectors,evidence
X14Y1_RMUX04,X14Y1_IMUX04,ROUTE,CFG_IMUX1,0;1;2;3;4;5;6;7;8;9;10;11,2;10,bram-fullword-x18-two-site-20260906
X14Y1_RMUX46,X14Y1_IMUX04,ROUTE,CFG_IMUX1,0;1;2;3;4;5;6;7;8;9;10;11,0;11,bram-fullword-physical-bit8-20260906
X14Y1_RMUX64,X14Y1_IMUX08,ROUTE,CFG_IMUX2,0;1;2;3;4;5;6;7;8;9;10;11,3;11,bram-fullword-x18-two-site-20260906
X14Y1_RMUX94,X14Y1_IMUX00,ROUTE,CFG_IMUX0,0;1;2;3;4;5;6;7;8;9;10;11,8;11,bram-fullword-x18-two-site-20260906
X14Y2_RMUX32,X14Y4_RMUX26,ROUTE,CFG_RMUX4,20;21;22;23;24;25;26;27;28;29,20;29,bram-fullword-x18-two-site-20260906
X14Y3_RMUX04,X14Y3_IMUX32,ROUTE,CFG_IMUX8,0;1;2;3;4;5;6;7;8;9;10;11,2;10,bram-fullword-x18-two-site-20260906
X14Y3_RMUX04,X14Y3_IMUX48,ROUTE,CFG_IMUX12,0;1;2;3;4;5;6;7;8;9;10;11,2;10,bram-fullword-physical-bit8-20260906
X14Y3_RMUX10,X14Y3_IMUX48,ROUTE,CFG_IMUX12,0;1;2;3;4;5;6;7;8;9;10;11,3;10,bram-fullword-x18-two-site-20260906
X14Y3_RMUX22,X14Y3_IMUX40,ROUTE,CFG_IMUX10,0;1;2;3;4;5;6;7;8;9;10;11,5;10,bram-fullword-physical-bit8-20260906
X14Y3_RMUX34,X14Y3_IMUX56,ROUTE,CFG_IMUX14,0;1;2;3;4;5;6;7;8;9;10;11,7;10,bram-fullword-x18-two-site-20260906
X14Y3_RMUX40,X14Y3_IMUX24,ROUTE,CFG_IMUX6,0;1;2;3;4;5;6;7;8;9;10;11,8;10,bram-fullword-x18-two-site-20260906
X14Y3_RMUX67,X14Y1_RMUX94,ROUTE,CFG_RMUX15,40;41;42;43;44;45;46;47;48;49,44;49,bram-fullword-x18-two-site-20260906
X14Y3_RMUX73,X14Y1_RMUX22,ROUTE,CFG_RMUX3,40;41;42;43;44;45;46;47;48;49,44;49,bram-fullword-x18-two-site-20260906
X14Y3_RMUX80,X14Y2_RMUX32,ROUTE,CFG_RMUX5,20;21;22;23;24;25;26;27;28;29,23;29,bram-fullword-x18-two-site-20260906
X14Y3_RMUX89,X14Y3_IMUX61,ROUTE,CFG_IMUX15,12;13;14;15;16;17;18;19;20;21;22;23,19;23,bram-fullword-x18-two-site-20260906
X14Y4_RMUX16,X14Y4_IMUX32,ROUTE,CFG_IMUX8,0;1;2;3;4;5;6;7;8;9;10;11,4;10,bram-fullword-x18-two-site-20260906
X14Y4_RMUX16,X14Y4_IMUX60,ROUTE,CFG_IMUX15,0;1;2;3;4;5;6;7;8;9;10;11,4;10,bram-fullword-physical-bit8-20260906
X14Y4_RMUX26,X14Y4_RMUX28,ROUTE,CFG_RMUX4,40;41;42;43;44;45;46;47;48;49,44;47,bram-fullword-x18-two-site-20260906
X14Y4_RMUX28,X14Y4_IMUX24,ROUTE,CFG_IMUX6,0;1;2;3;4;5;6;7;8;9;10;11,6;10,bram-fullword-x18-two-site-20260906
X14Y4_RMUX34,X14Y4_IMUX00,ROUTE,CFG_IMUX0,0;1;2;3;4;5;6;7;8;9;10;11,7;10,bram-fullword-x18-two-site-20260906
X14Y4_RMUX46,X14Y4_IMUX08,ROUTE,CFG_IMUX2,0;1;2;3;4;5;6;7;8;9;10;11,0;11,bram-fullword-x18-two-site-20260906
X14Y4_RMUX82,X14Y4_IMUX48,ROUTE,CFG_IMUX12,0;1;2;3;4;5;6;7;8;9;10;11,6;11,bram-fullword-x18-two-site-20260906
X14Y4_RMUX88,X14Y4_IMUX56,ROUTE,CFG_IMUX14,0;1;2;3;4;5;6;7;8;9;10;11,7;11,bram-fullword-x18-two-site-20260906
X14Y4_RMUX94,X14Y4_IMUX40,ROUTE,CFG_IMUX10,0;1;2;3;4;5;6;7;8;9;10;11,8;11,bram-fullword-x18-two-site-20260906
X14Y4_RMUX94,X14Y4_IMUX56,ROUTE,CFG_IMUX14,0;1;2;3;4;5;6;7;8;9;10;11,8;11,bram-fullword-physical-bit8-20260906
X14Y6_RMUX73,X14Y3_RMUX00,ROUTE,CFG_RMUX0,0;1;2;3;4;5;6;7;8;9,5;9,bram-fullword-physical-bit8-20260906
X14Y7_RMUX07,X14Y4_RMUX24,ROUTE,CFG_RMUX4,0;1;2;3;4;5;6;7;8;9,5;9,bram-fullword-x18-two-site-20260906
X14Y7_RMUX37,X14Y3_RMUX48,ROUTE,CFG_RMUX8,0;1;2;3;4;5;6;7;8;9,6;9,bram-fullword-x18-two-site-20260906
X14Y7_RMUX67,X14Y3_RMUX78,ROUTE,CFG_RMUX13,0;1;2;3;4;5;6;7;8;9,6;9,bram-fullword-x18-two-site-20260906
X15Y11_RMUX63,X14Y11_RMUX62,ROUTE,CFG_RMUX10,20;21;22;23;24;25;26;27;28;29,25;27,bram-fullword-physical-bit8-20260906
X16Y7_RMUX44,X16Y3_RMUX74,ROUTE,CFG_RMUX12,20;21;22;23;24;25;26;27;28;29,26;29,bram-fullword-x18-two-site-20260906
X16Y8_RMUX44,X16Y4_RMUX74,ROUTE,CFG_RMUX12,20;21;22;23;24;25;26;27;28;29,26;29,bram-fullword-physical-bit8-20260906
X16Y9_RMUX87,X16Y5_RMUX62,ROUTE,CFG_RMUX10,20;21;22;23;24;25;26;27;28;29,26;29,bram-fullword-physical-bit8-20260906
X17Y11_RMUX63,X14Y11_RMUX62,ROUTE,CFG_RMUX10,20;21;22;23;24;25;26;27;28;29,20;28,bram-fullword-x18-two-site-20260906
X18Y4_RMUX49,X14Y4_RMUX00,ROUTE,CFG_RMUX0,0;1;2;3;4;5;6;7;8;9,1;8,bram-fullword-physical-bit8-20260906
X18Y4_RMUX49,X14Y4_RMUX06,ROUTE,CFG_RMUX1,0;1;2;3;4;5;6;7;8;9,1;8,bram-fullword-x18-two-site-20260906
X18Y4_RMUX79,X14Y4_RMUX30,ROUTE,CFG_RMUX5,0;1;2;3;4;5;6;7;8;9,1;8,bram-fullword-physical-bit8-20260906
X18Y7_RMUX44,X18Y3_RMUX85,ROUTE,CFG_RMUX14,10;11;12;13;14;15;16;17;18;19,16;19,bram-fullword-x18-two-site-20260906
