src_wire,dst_wire,pip_type,cfg_group,clear_selectors,set_selectors,evidence
X13Y0_BufMUX05,X13Y3_SeamMUX01,GCLK0_BRAM_BRANCH,CFG_SeamMUX,6;7;8;9;10;11,11,bram-fullword-x18-two-site-20260906
X13Y0_BufMUX05,X13Y4_SeamMUX01,GCLK0_BRAM_BRANCH,CFG_SeamMUX,6;7;8;9;10;11,11,bram-fullword-x18-two-site-20260906
X13Y3_BufMUX00,X14Y3_RMUX16,ROUTE,CFG_RMUX2,40;41;42;43;44;45;46;47;48;49,40;47,bram-fullword-physical-bit8-20260906
X13Y3_BufMUX00,X14Y3_RMUX22,ROUTE,CFG_RMUX3,40;41;42;43;44;45;46;47;48;49,40;47,bram-fullword-x18-two-site-20260906
X13Y3_BufMUX01,X14Y3_RMUX16,ROUTE,CFG_RMUX2,40;41;42;43;44;45;46;47;48;49,41;47,bram-fullword-x18-two-site-20260906
X13Y3_BufMUX01,X14Y3_RMUX22,ROUTE,CFG_RMUX3,40;41;42;43;44;45;46;47;48;49,41;47,bram-fullword-physical-bit8-20260906
X13Y3_BufMUX02,X14Y3_RMUX23,ROUTE,CFG_RMUX3,50;51;52;53;54;55;56;57;58;59,52;57,bram-fullword-x18-two-site-20260906
X13Y3_BufMUX03,X14Y3_RMUX04,ROUTE,CFG_RMUX0,40;41;42;43;44;45;46;47;48;49,43;47,bram-fullword-x18-two-site-20260906
X13Y3_BufMUX03,X14Y3_RMUX10,ROUTE,CFG_RMUX1,40;41;42;43;44;45;46;47;48;49,43;47,bram-fullword-physical-bit8-20260906
X13Y3_BufMUX04,X14Y3_RMUX35,ROUTE,CFG_RMUX5,50;51;52;53;54;55;56;57;58;59,50;57,bram-fullword-x18-two-site-20260906
X13Y3_BufMUX05,X14Y3_RMUX40,ROUTE,CFG_RMUX6,40;41;42;43;44;45;46;47;48;49,41;47,bram-fullword-x18-two-site-20260906
X13Y3_BufMUX06,X14Y3_RMUX47,ROUTE,CFG_RMUX7,50;51;52;53;54;55;56;57;58;59,52;57,bram-fullword-x18-two-site-20260906
X13Y3_BufMUX07,X14Y3_RMUX41,ROUTE,CFG_RMUX6,50;51;52;53;54;55;56;57;58;59,53;57,bram-fullword-x18-two-site-20260906
X13Y3_BufMUX08,X14Y3_RMUX57,ROUTE,CFG_RMUX9,30;31;32;33;34;35;36;37;38;39,30;37,bram-fullword-x18-two-site-20260906
X13Y3_BufMUX09,X14Y3_RMUX55,ROUTE,CFG_RMUX9,10;11;12;13;14;15;16;17;18;19,11;17,bram-fullword-x18-two-site-20260906
X13Y3_BufMUX10,X14Y3_RMUX67,ROUTE,CFG_RMUX11,10;11;12;13;14;15;16;17;18;19,12;17,bram-fullword-x18-two-site-20260906
X13Y3_BufMUX11,X14Y3_RMUX50,ROUTE,CFG_RMUX8,20;21;22;23;24;25;26;27;28;29,23;27,bram-fullword-x18-two-site-20260906
X13Y3_BufMUX11,X14Y3_RMUX63,ROUTE,CFG_RMUX10,30;31;32;33;34;35;36;37;38;39,33;37,bram-fullword-physical-bit8-20260906
X13Y3_BufMUX12,X14Y3_RMUX73,ROUTE,CFG_RMUX12,10;11;12;13;14;15;16;17;18;19,10;17,bram-fullword-x18-two-site-20260906
X13Y3_BufMUX13,X14Y3_RMUX75,ROUTE,CFG_RMUX12,30;31;32;33;34;35;36;37;38;39,31;37,bram-fullword-x18-two-site-20260906
X13Y3_BufMUX14,X14Y3_RMUX85,ROUTE,CFG_RMUX14,10;11;12;13;14;15;16;17;18;19,12;17,bram-fullword-x18-two-site-20260906
X13Y3_BufMUX15,X14Y3_RMUX80,ROUTE,CFG_RMUX13,20;21;22;23;24;25;26;27;28;29,23;27,bram-fullword-x18-two-site-20260906
X13Y3_BufMUX15,X14Y3_RMUX87,ROUTE,CFG_RMUX14,30;31;32;33;34;35;36;37;38;39,33;37,bram-fullword-physical-bit8-20260906
X13Y3_BufMUX32,X13Y3_RMUX15,ROUTE,CFG_RMUX2,30;31;32;33;34;35;36;37;38;39,34;37,bram-fullword-physical-bit8-20260906
X13Y3_RMUX00,X13Y3_IMUX08,ROUTE,CFG_IMUX2,0;1;2;3;4;5;6;7;8;9;10;11,8;9,bram-fullword-physical-bit8-20260906
X13Y3_RMUX05,X13Y3_IMUX01,ROUTE,CFG_IMUX0,12;13;14;15;16;17;18;19;20;21;22;23,20;21,bram-fullword-x18-two-site-20260906
X13Y3_RMUX11,X13Y3_IMUX21,ROUTE,CFG_IMUX5,12;13;14;15;16;17;18;19;20;21;22;23,12;22,bram-fullword-physical-bit8-20260906
