dst_res,src_res,ddx,ddy,byte,mask
IMUX0,RMUX10,0,0,65876,32
IMUX0,RMUX10,0,0,65991,2
IMUX0,RMUX48,-1,0,65875,2
IMUX0,RMUX48,-1,0,65876,128
IMUX0,RMUX48,-1,0,65992,64
IMUX1,RMUX30,-1,0,65875,4
IMUX1,RMUX30,-1,0,65875,32
IMUX1,RMUX30,-1,0,65991,32
IMUX1,RMUX78,-1,0,65875,4
IMUX1,RMUX78,-1,0,65991,16
IMUX10,RMUX72,-1,0,67035,2
IMUX10,RMUX72,-1,0,67152,128
IMUX11,RMUX35,0,0,67035,16
IMUX11,RMUX35,0,0,67151,4
IMUX12,RMUX48,-1,0,67267,2
IMUX12,RMUX48,-1,0,67268,128
IMUX13,IMUX14,0,0,67267,32
IMUX13,IMUX14,0,0,67383,8
IMUX13,RMUX54,-1,0,67267,4
IMUX13,RMUX54,-1,0,67267,16
IMUX14,IMUX15,0,0,67615,1
IMUX14,IMUX15,0,0,67616,64
IMUX14,RMUX94,0,0,67615,1
IMUX14,RMUX94,0,0,67616,128
IMUX15,IMUX16,0,0,67499,32
IMUX15,IMUX16,0,0,67615,8
IMUX15,RMUX23,0,0,67499,32
IMUX15,RMUX23,0,0,67615,4
IMUX16,IMUX17,0,0,67847,1
IMUX16,IMUX17,0,0,67848,64
IMUX16,RMUX58,0,0,67847,1
IMUX16,RMUX58,0,0,67848,16
IMUX17,IMUX18,0,0,67731,32
IMUX17,IMUX18,0,0,67847,8
IMUX17,RMUX42,0,0,67847,4
IMUX17,RMUX42,0,0,67847,16
IMUX18,IMUX19,0,0,68079,1
IMUX18,IMUX19,0,0,68080,64
IMUX18,RMUX88,0,0,67964,128
IMUX18,RMUX88,0,0,68079,1
IMUX19,IMUX20,0,0,67963,32
IMUX19,IMUX20,0,0,68079,8
IMUX19,RMUX77,0,0,67963,32
IMUX19,RMUX77,0,0,68079,8
IMUX2,RMUX0,-1,0,66107,2
IMUX2,RMUX0,-1,0,66108,64
IMUX2,RMUX6,0,0,66223,2
IMUX2,RMUX6,0,0,66224,16
IMUX20,IMUX30,0,0,68311,1
IMUX20,IMUX30,0,0,68312,64
IMUX20,RMUX64,0,0,68196,32
IMUX20,RMUX64,0,0,68311,1
IMUX21,IMUX22,0,0,68195,32
IMUX21,IMUX22,0,0,68311,8
IMUX21,RMUX17,0,0,68311,4
IMUX21,RMUX17,0,0,68311,128
IMUX22,IMUX23,0,0,68543,1
IMUX22,IMUX23,0,0,68544,64
IMUX22,RMUX4,0,0,68427,1
IMUX22,RMUX4,0,0,68427,2
IMUX23,IMUX24,0,0,68427,32
IMUX23,IMUX24,0,0,68543,8
IMUX23,RMUX30,-1,0,68427,4
IMUX23,RMUX30,-1,0,68543,32
IMUX24,IMUX25,0,0,68775,1
IMUX24,IMUX25,0,0,68776,64
IMUX24,RMUX22,0,0,68660,32
IMUX24,RMUX22,0,0,68775,2
IMUX25,IMUX26,0,0,68659,32
IMUX25,IMUX26,0,0,68775,8
IMUX25,RMUX83,0,0,68775,8
IMUX25,RMUX83,0,0,68775,32
IMUX26,IMUX27,0,0,69007,1
IMUX26,IMUX27,0,0,69008,64
IMUX26,RMUX0,-1,0,68891,2
IMUX26,RMUX0,-1,0,68892,64
IMUX27,IMUX28,0,0,68891,32
IMUX27,IMUX28,0,0,69007,8
IMUX27,RMUX36,0,0,69007,4
IMUX27,RMUX36,0,0,69007,32
IMUX28,IMUX29,0,0,69239,1
IMUX28,IMUX29,0,0,69240,64
IMUX28,RMUX28,0,0,69124,64
IMUX28,RMUX28,0,0,69239,2
IMUX29,IMUX13,0,0,69123,32
IMUX29,IMUX13,0,0,69239,8
IMUX29,RMUX5,0,0,69123,4
IMUX29,RMUX5,0,0,69123,8
IMUX3,RMUX12,0,0,66223,4
IMUX3,RMUX12,0,0,66223,128
IMUX3,RMUX54,-1,0,66107,4
IMUX3,RMUX54,-1,0,66107,16
IMUX3,RMUX54,-1,0,66223,16
IMUX30,IMUX60,0,0,69471,1
IMUX30,IMUX60,0,0,69472,64
IMUX30,RMUX52,0,0,69356,16
IMUX30,RMUX52,0,0,69471,1
IMUX32,RMUX36,-1,0,70051,2
IMUX32,RMUX36,-1,0,70168,64
IMUX33,IMUX21,0,0,70051,32
IMUX33,IMUX21,0,0,70167,8
IMUX33,IMUX60,0,0,70051,4
IMUX33,IMUX60,0,0,70051,16
IMUX34,IMUX50,0,0,70399,1
IMUX34,IMUX50,0,0,70400,32
IMUX34,IMUX50,0,0,70400,64
IMUX35,IMUX34,0,0,70283,4
IMUX35,IMUX34,0,0,70283,16
IMUX35,IMUX34,0,0,70283,32
IMUX35,IMUX34,0,0,70399,8
IMUX36,IMUX35,0,0,70631,1
IMUX36,IMUX35,0,0,70632,32
IMUX36,IMUX35,0,0,70632,64
IMUX37,IMUX36,0,0,70515,4
IMUX37,IMUX36,0,0,70515,16
IMUX37,IMUX36,0,0,70515,32
IMUX37,IMUX36,0,0,70631,8
IMUX38,IMUX37,0,0,70863,1
IMUX38,IMUX37,0,0,70864,32
IMUX38,IMUX37,0,0,70864,64
IMUX39,IMUX38,0,0,70747,4
IMUX39,IMUX38,0,0,70747,16
IMUX39,IMUX38,0,0,70747,32
IMUX39,IMUX38,0,0,70863,8
IMUX4,RMUX24,-1,0,66339,2
IMUX4,RMUX24,-1,0,66456,64
IMUX4,RMUX28,0,0,66455,1
IMUX4,RMUX28,0,0,66455,2
IMUX4,RMUX28,0,0,66456,64
IMUX4,RMUX28,0,0,66456,128
IMUX40,IMUX39,0,0,71095,1
IMUX40,IMUX39,0,0,71096,32
IMUX40,IMUX39,0,0,71096,64
IMUX41,IMUX40,0,0,70979,4
IMUX41,IMUX40,0,0,70979,16
IMUX41,IMUX40,0,0,70979,32
IMUX41,IMUX40,0,0,71095,8
IMUX42,IMUX41,0,0,71327,1
IMUX42,IMUX41,0,0,71328,32
IMUX42,IMUX41,0,0,71328,64
IMUX43,IMUX33,0,0,71211,4
IMUX43,IMUX33,0,0,71211,16
IMUX43,IMUX33,0,0,71211,32
IMUX43,IMUX33,0,0,71327,8
IMUX44,IMUX43,0,0,71559,1
IMUX44,IMUX43,0,0,71560,32
IMUX44,IMUX43,0,0,71560,64
IMUX45,IMUX44,0,0,71443,4
IMUX45,IMUX44,0,0,71443,16
IMUX45,IMUX44,0,0,71443,32
IMUX45,IMUX44,0,0,71559,8
IMUX46,IMUX45,0,0,71791,1
IMUX46,IMUX45,0,0,71792,32
IMUX46,IMUX45,0,0,71792,64
IMUX47,IMUX46,0,0,71675,4
IMUX47,IMUX46,0,0,71675,16
IMUX47,IMUX46,0,0,71675,32
IMUX47,IMUX46,0,0,71791,8
IMUX48,IMUX47,0,0,72023,1
IMUX48,IMUX47,0,0,72024,16
IMUX48,IMUX47,0,0,72024,64
IMUX49,IMUX48,0,0,71907,4
IMUX49,IMUX48,0,0,71907,16
IMUX49,IMUX48,0,0,71907,64
IMUX49,IMUX48,0,0,72023,8
IMUX5,RMUX12,0,0,66339,128
IMUX5,RMUX12,0,0,66455,4
IMUX5,RMUX12,0,0,66455,8
IMUX5,RMUX12,0,0,66455,128
IMUX5,RMUX6,-1,0,66339,4
IMUX5,RMUX6,-1,0,66339,32
IMUX50,IMUX49,0,0,72255,1
IMUX50,IMUX49,0,0,72256,16
IMUX50,IMUX49,0,0,72256,64
IMUX51,RMUX66,-1,0,72139,4
IMUX51,RMUX66,-1,0,72139,16
IMUX51,RMUX77,0,0,72139,64
IMUX51,RMUX77,0,0,72255,8
IMUX52,IMUX63,0,0,72487,1
IMUX52,IMUX63,0,0,72488,16
IMUX52,IMUX63,0,0,72488,64
IMUX53,IMUX52,0,0,72371,4
IMUX53,IMUX52,0,0,72371,16
IMUX53,IMUX52,0,0,72371,64
IMUX53,IMUX52,0,0,72487,8
IMUX54,IMUX53,0,0,72719,1
IMUX54,IMUX53,0,0,72720,16
IMUX54,IMUX53,0,0,72720,64
IMUX55,IMUX54,0,0,72603,4
IMUX55,IMUX54,0,0,72603,16
IMUX55,IMUX54,0,0,72603,64
IMUX55,IMUX54,0,0,72719,8
IMUX56,IMUX55,0,0,72951,1
IMUX56,IMUX55,0,0,72952,16
IMUX56,IMUX55,0,0,72952,64
IMUX57,IMUX56,0,0,72835,4
IMUX57,IMUX56,0,0,72835,16
IMUX57,IMUX56,0,0,72835,64
IMUX57,IMUX56,0,0,72951,8
IMUX58,IMUX57,0,0,73183,1
IMUX58,IMUX57,0,0,73184,16
IMUX58,IMUX57,0,0,73184,64
IMUX59,IMUX58,0,0,73067,4
IMUX59,IMUX58,0,0,73067,16
IMUX59,IMUX58,0,0,73067,64
IMUX59,IMUX58,0,0,73183,8
IMUX6,RMUX40,0,0,66687,2
IMUX6,RMUX40,0,0,66688,128
IMUX6,RMUX58,0,0,66571,2
IMUX6,RMUX58,0,0,66687,1
IMUX6,RMUX58,0,0,66688,16
IMUX6,RMUX58,0,0,66688,128
IMUX60,IMUX59,0,0,73415,1
IMUX60,IMUX59,0,0,73416,16
IMUX60,IMUX59,0,0,73416,64
IMUX61,IMUX51,0,0,73299,4
IMUX61,IMUX51,0,0,73299,16
IMUX61,IMUX51,0,0,73299,64
IMUX61,IMUX51,0,0,73415,8
IMUX62,RMUX70,0,0,73647,1
IMUX62,RMUX70,0,0,73648,16
IMUX62,RMUX82,0,0,73647,1
IMUX62,RMUX82,0,0,73648,64
IMUX63,IMUX62,0,0,73531,4
IMUX63,IMUX62,0,0,73531,16
IMUX63,IMUX62,0,0,73531,64
IMUX63,IMUX62,0,0,73647,8
IMUX7,RMUX78,-1,0,66571,4
IMUX7,RMUX78,-1,0,66687,4
IMUX7,RMUX78,-1,0,66687,16
IMUX7,RMUX78,-1,0,66687,128
IMUX7,RMUX95,0,0,66687,8
IMUX7,RMUX95,0,0,66687,16
IMUX8,RMUX34,0,0,66804,128
IMUX8,RMUX34,0,0,66919,2
IMUX8,RMUX72,-1,0,66803,2
IMUX8,RMUX72,-1,0,66804,128
IMUX8,RMUX72,-1,0,66920,128
IMUX9,RMUX53,0,0,66803,128
IMUX9,RMUX53,0,0,66919,8
IMUX9,RMUX6,-1,0,66803,4
IMUX9,RMUX6,-1,0,66803,32
RMUX10,RMUX3,-3,0,66108,8
RMUX10,RMUX3,-3,0,66225,128
RMUX12,RMUX26,-2,0,67269,32
RMUX12,RMUX26,-2,0,67269,64
RMUX12,RMUX26,-1,0,67269,32
RMUX12,RMUX26,-1,0,67269,64
RMUX12,RMUX26,-1,0,67385,16
RMUX17,RMUX49,-2,0,66342,32
RMUX17,RMUX49,-2,0,66342,64
RMUX19,BufMUX3,1,0,66550,2
RMUX19,BufMUX3,1,0,66667,64
RMUX2,BufMUX2,1,0,65854,2
RMUX2,BufMUX2,1,0,65855,64
RMUX20,BufMUX1,1,0,67478,4
RMUX20,BufMUX1,1,0,67594,64
RMUX22,RMUX49,-4,0,67617,2
RMUX22,RMUX49,-4,0,67618,32
RMUX23,RMUX49,-3,0,66573,2
RMUX23,RMUX49,-3,0,66690,32
RMUX25,BufMUX4,1,0,68639,1
RMUX25,BufMUX4,1,0,68639,16
RMUX25,BufMUX5,1,0,68639,1
RMUX25,BufMUX5,1,0,68755,16
RMUX28,RMUX33,-3,0,67732,8
RMUX28,RMUX33,-3,0,67849,128
RMUX32,BufMUX7,1,0,67942,2
RMUX32,BufMUX7,1,0,68059,64
RMUX34,RMUX33,-1,0,67965,128
RMUX34,RMUX33,-1,0,68080,2
RMUX35,RMUX33,-4,0,69008,8
RMUX35,RMUX33,-4,0,69009,128
RMUX36,RMUX56,-4,0,69241,4
RMUX36,RMUX56,-4,0,69241,64
RMUX38,BufMUX4,1,0,69102,4
RMUX38,BufMUX4,1,0,69102,64
RMUX38,BufMUX5,1,0,69102,4
RMUX38,BufMUX5,1,0,69218,64
RMUX39,BufMUX6,1,0,68174,4
RMUX39,BufMUX6,1,0,68174,32
RMUX4,RMUX3,-1,0,65877,128
RMUX4,RMUX3,-1,0,65992,2
RMUX40,RMUX79,-2,0,69126,32
RMUX40,RMUX79,-2,0,69126,64
RMUX42,RMUX56,-1,0,69357,64
RMUX42,RMUX56,-1,0,69473,16
RMUX44,BufMUX33,0,0,69356,2
RMUX44,BufMUX33,0,0,69357,128
RMUX45,BufMUX7,1,0,68406,4
RMUX45,BufMUX7,1,0,68522,32
RMUX5,RMUX3,-2,0,66804,1
RMUX5,RMUX3,-2,0,66805,128
RMUX52,RMUX63,-3,0,70052,8
RMUX52,RMUX63,-3,0,70169,128
RMUX53,RMUX63,-1,0,70981,128
