byte,mask,feature
70518,32,CFG_RMUX10[57]
70634,128,CFG_RMUX10[55]
71446,32,CFG_RMUX10[47]
71562,128,CFG_RMUX10[45]
65875,2,CFG_IMUX0[9]
65875,4,CFG_IMUX0[21]
65875,32,CFG_IMUX0[16]
65876,64,CFG_IMUX0[4]
66107,2,CFG_IMUX0[33]
66107,4,CFG_IMUX0[45]
66107,32,CFG_IMUX0[40]
66108,64,CFG_IMUX0[28]
66339,2,CFG_IMUX1[9]
66339,4,CFG_IMUX1[21]
66339,32,CFG_IMUX1[16]
66340,64,CFG_IMUX1[4]
66571,2,CFG_IMUX1[33]
66571,4,CFG_IMUX1[45]
66571,32,CFG_IMUX1[40]
66572,64,CFG_IMUX1[28]
66803,2,CFG_IMUX2[9]
66803,4,CFG_IMUX2[21]
66803,32,CFG_IMUX2[16]
66804,64,CFG_IMUX2[4]
67035,2,CFG_IMUX2[33]
67035,4,CFG_IMUX2[45]
67035,32,CFG_IMUX2[40]
67036,64,CFG_IMUX2[28]
67267,2,CFG_IMUX3[9]
67267,64,CFG_IMUX3[14]
67268,64,CFG_IMUX3[4]
67383,8,CFG_IMUX3[23]
67499,64,CFG_IMUX3[38]
67500,32,CFG_IMUX3[26]
67615,1,CFG_IMUX3[35]
67615,8,CFG_IMUX3[47]
67731,64,CFG_IMUX4[14]
67732,32,CFG_IMUX4[2]
67847,1,CFG_IMUX4[11]
67847,8,CFG_IMUX4[23]
67963,64,CFG_IMUX4[38]
67964,32,CFG_IMUX4[26]
68079,1,CFG_IMUX4[35]
68079,8,CFG_IMUX4[47]
68195,64,CFG_IMUX5[14]
68196,32,CFG_IMUX5[2]
68311,1,CFG_IMUX5[11]
68311,8,CFG_IMUX5[23]
68427,64,CFG_IMUX5[38]
68428,32,CFG_IMUX5[26]
68543,1,CFG_IMUX5[35]
68543,8,CFG_IMUX5[47]
68659,64,CFG_IMUX6[14]
68660,32,CFG_IMUX6[2]
68775,1,CFG_IMUX6[11]
68775,8,CFG_IMUX6[23]
68891,64,CFG_IMUX6[38]
68892,32,CFG_IMUX6[26]
69007,1,CFG_IMUX6[35]
69007,8,CFG_IMUX6[47]
69123,64,CFG_IMUX7[14]
69124,32,CFG_IMUX7[2]
69239,1,CFG_IMUX7[11]
69239,8,CFG_IMUX7[23]
69356,32,CFG_IMUX7[26]
69471,1,CFG_IMUX7[35]
70167,8,CFG_IMUX8[23]
70167,128,CFG_IMUX8[13]
70284,32,CFG_IMUX8[26]
70399,1,CFG_IMUX8[35]
70399,8,CFG_IMUX8[47]
70399,128,CFG_IMUX8[37]
70516,32,CFG_IMUX9[2]
70631,1,CFG_IMUX9[11]
70631,8,CFG_IMUX9[23]
70631,128,CFG_IMUX9[13]
70748,32,CFG_IMUX9[26]
70863,1,CFG_IMUX9[35]
70863,8,CFG_IMUX9[47]
70863,128,CFG_IMUX9[37]
70980,32,CFG_IMUX10[2]
71095,1,CFG_IMUX10[11]
71095,8,CFG_IMUX10[23]
71095,128,CFG_IMUX10[13]
71212,32,CFG_IMUX10[26]
71327,1,CFG_IMUX10[35]
71327,8,CFG_IMUX10[47]
71327,128,CFG_IMUX10[37]
71444,32,CFG_IMUX11[2]
71559,1,CFG_IMUX11[11]
71559,8,CFG_IMUX11[23]
71559,128,CFG_IMUX11[13]
71676,32,CFG_IMUX11[26]
71791,1,CFG_IMUX11[35]
71791,8,CFG_IMUX11[47]
71791,128,CFG_IMUX11[37]
71907,128,CFG_IMUX12[12]
71908,16,CFG_IMUX12[0]
72023,1,CFG_IMUX12[11]
72023,8,CFG_IMUX12[23]
72140,16,CFG_IMUX12[24]
72255,1,CFG_IMUX12[35]
72603,128,CFG_IMUX13[36]
72604,16,CFG_IMUX13[24]
72719,1,CFG_IMUX13[35]
72719,8,CFG_IMUX13[47]
72835,128,CFG_IMUX14[12]
72836,16,CFG_IMUX14[0]
72951,1,CFG_IMUX14[11]
72951,8,CFG_IMUX14[23]
73067,128,CFG_IMUX14[36]
73068,16,CFG_IMUX14[24]
73183,1,CFG_IMUX14[35]
73183,8,CFG_IMUX14[47]
73299,128,CFG_IMUX15[12]
73300,16,CFG_IMUX15[0]
73415,1,CFG_IMUX15[11]
73415,8,CFG_IMUX15[23]
73531,128,CFG_IMUX15[36]
73532,16,CFG_IMUX15[24]
73647,1,CFG_IMUX15[35]
73647,8,CFG_IMUX15[47]
