lane,order,src_tile,src_x,src_y,src_res,dst_tile,dst_x,dst_y,dst_res,evidence
0,0,LogicTILE,14,10,OMUX20,LogicTILE,14,10,RMUX44,vendor-independent-fabric-portb-bus-route
0,1,LogicTILE,14,10,RMUX44,LogicTILE,14,8,RMUX80,vendor-independent-fabric-portb-bus-route
0,2,LogicTILE,14,8,RMUX80,LogicTILE,14,4,RMUX33,vendor-independent-fabric-portb-bus-route
0,3,LogicTILE,14,4,RMUX33,BramTILE,13,4,RMUX35,vendor-independent-fabric-portb-bus-route
0,4,BramTILE,13,4,RMUX35,BramTILE,13,4,IMUX51,vendor-independent-fabric-portb-bus-route
1,0,LogicTILE,14,10,OMUX29,LogicTILE,14,10,RMUX50,vendor-independent-fabric-portb-bus-route
1,1,LogicTILE,14,10,RMUX50,LogicTILE,14,8,RMUX08,vendor-independent-fabric-portb-bus-route
1,2,LogicTILE,14,8,RMUX08,LogicTILE,15,8,RMUX37,vendor-independent-fabric-portb-bus-route
1,3,LogicTILE,15,8,RMUX37,LogicTILE,15,4,RMUX49,vendor-independent-fabric-portb-bus-route
1,4,LogicTILE,15,4,RMUX49,BramTILE,13,4,RMUX22,vendor-independent-fabric-portb-bus-route
1,5,BramTILE,13,4,RMUX22,BramTILE,13,4,IMUX52,vendor-independent-fabric-portb-bus-route
2,0,LogicTILE,14,4,OMUX38,LogicTILE,14,4,RMUX93,vendor-independent-fabric-portb-bus-route
2,1,LogicTILE,14,4,RMUX93,BramTILE,13,4,RMUX77,vendor-independent-fabric-portb-bus-route
2,2,BramTILE,13,4,RMUX77,BramTILE,13,4,IMUX53,vendor-independent-fabric-portb-bus-route
3,0,LogicTILE,14,4,OMUX08,LogicTILE,14,4,RMUX12,vendor-independent-fabric-portb-bus-route
3,1,LogicTILE,14,4,RMUX12,BramTILE,13,4,IMUX54,vendor-independent-fabric-portb-bus-route
4,0,LogicTILE,14,4,OMUX23,LogicTILE,14,4,RMUX42,vendor-independent-fabric-portb-bus-route
4,1,LogicTILE,14,4,RMUX42,BramTILE,13,4,IMUX55,vendor-independent-fabric-portb-bus-route
5,0,LogicTILE,14,4,OMUX20,LogicTILE,14,4,RMUX36,vendor-independent-fabric-portb-bus-route
5,1,LogicTILE,14,4,RMUX36,BramTILE,13,4,IMUX56,vendor-independent-fabric-portb-bus-route
6,0,LogicTILE,14,4,OMUX11,LogicTILE,14,4,RMUX18,vendor-independent-fabric-portb-bus-route
6,1,LogicTILE,14,4,RMUX18,BramTILE,13,4,IMUX57,vendor-independent-fabric-portb-bus-route
7,0,LogicTILE,14,10,OMUX12,LogicTILE,15,10,RMUX33,vendor-independent-fabric-portb-bus-route
7,1,LogicTILE,15,10,RMUX33,LogicTILE,16,10,RMUX44,vendor-independent-fabric-portb-bus-route
7,2,LogicTILE,16,10,RMUX44,LogicTILE,16,8,RMUX80,vendor-independent-fabric-portb-bus-route
7,3,LogicTILE,16,8,RMUX80,LogicTILE,16,4,RMUX33,vendor-independent-fabric-portb-bus-route
7,4,LogicTILE,16,4,RMUX33,BramTILE,13,4,RMUX28,vendor-independent-fabric-portb-bus-route
7,5,BramTILE,13,4,RMUX28,BramTILE,13,4,IMUX58,vendor-independent-fabric-portb-bus-route
8,0,LogicTILE,14,10,OMUX45,LogicTILE,15,10,RMUX80,vendor-independent-fabric-portb-bus-route
8,1,LogicTILE,15,10,RMUX80,LogicTILE,15,8,RMUX27,vendor-independent-fabric-portb-bus-route
8,2,LogicTILE,15,8,RMUX27,LogicTILE,15,4,RMUX20,vendor-independent-fabric-portb-bus-route
8,3,LogicTILE,15,4,RMUX20,BramTILE,13,4,RMUX90,vendor-independent-fabric-portb-bus-route
8,4,BramTILE,13,4,RMUX90,BramTILE,13,4,IMUX59,vendor-independent-fabric-portb-bus-route
9,0,LogicTILE,14,4,OMUX32,LogicTILE,14,4,RMUX60,vendor-independent-fabric-portb-bus-route
9,1,LogicTILE,14,4,RMUX60,BramTILE,13,4,IMUX60,vendor-independent-fabric-portb-bus-route
10,0,LogicTILE,14,4,OMUX35,LogicTILE,14,4,RMUX66,vendor-independent-fabric-portb-bus-route
10,1,LogicTILE,14,4,RMUX66,BramTILE,13,4,IMUX61,vendor-independent-fabric-portb-bus-route
11,0,LogicTILE,14,4,OMUX44,LogicTILE,14,4,RMUX84,vendor-independent-fabric-portb-bus-route
11,1,LogicTILE,14,4,RMUX84,BramTILE,13,4,IMUX62,vendor-independent-fabric-portb-bus-route
12,0,LogicTILE,14,4,OMUX47,LogicTILE,14,4,RMUX90,vendor-independent-fabric-portb-bus-route
12,1,LogicTILE,14,4,RMUX90,BramTILE,13,4,IMUX63,vendor-independent-fabric-portb-bus-route
