port,step,src_wire,dst_wire,evidence
DataInA[0],0,X15Y4_OMUX02,X15Y4_RMUX15,qualified-serv-dependent-store
DataInA[0],1,X15Y4_RMUX15,X16Y4_RMUX63,qualified-serv-dependent-store
DataInA[0],2,X16Y4_RMUX63,X13Y4_RMUX52,qualified-serv-dependent-store
DataInA[0],3,X13Y4_RMUX52,X13Y4_IMUX30,qualified-serv-dependent-store
DataInA[1],0,X15Y4_OMUX05,X15Y4_RMUX02,qualified-serv-dependent-store
DataInA[1],1,X15Y4_RMUX02,X15Y8_RMUX03,qualified-serv-dependent-store
DataInA[1],2,X15Y8_RMUX03,X15Y8_RMUX21,qualified-serv-dependent-store
DataInA[1],3,X15Y8_RMUX21,X15Y6_RMUX87,qualified-serv-dependent-store
DataInA[1],4,X15Y6_RMUX87,X15Y4_RMUX63,qualified-serv-dependent-store
DataInA[1],5,X15Y4_RMUX63,X13Y4_RMUX53,qualified-serv-dependent-store
DataInA[1],6,X13Y4_RMUX53,X13Y4_IMUX29,qualified-serv-dependent-store
WeA,0,X15Y4_OMUX08,X15Y4_RMUX09,qualified-serv-dependent-store
WeA,1,X15Y4_RMUX09,X15Y6_RMUX39,qualified-serv-dependent-store
WeA,2,X15Y6_RMUX39,X15Y10_RMUX68,qualified-serv-dependent-store
WeA,3,X15Y10_RMUX68,X16Y10_RMUX80,qualified-serv-dependent-store
WeA,4,X16Y10_RMUX80,X16Y6_RMUX27,qualified-serv-dependent-store
WeA,5,X16Y6_RMUX27,X16Y4_RMUX20,qualified-serv-dependent-store
WeA,6,X16Y4_RMUX20,X13Y4_TMUX13,qualified-serv-dependent-store
WeA,7,X13Y4_TMUX13,X13Y4_KMUX03,qualified-serv-dependent-store
