class,net,segment,hop,src_wire,dst_wire
address,mem_ahb_haddr[10],0,0,X13Y11_BufMUX00,X13Y11_InputMUX00
address,mem_ahb_haddr[10],0,1,X13Y11_InputMUX00,X14Y11_RMUX07
address,mem_ahb_haddr[10],0,2,X14Y11_RMUX07,X14Y9_RMUX47
address,mem_ahb_haddr[10],0,3,X14Y9_RMUX47,X14Y9_IMUX03
address,mem_ahb_haddr[10],0,4,X14Y9_IMUX03,X14Y9_alta_slice00
address,mem_ahb_haddr[10],0,5,X14Y9_alta_slice00,X14Y9_OMUX00
address,mem_ahb_haddr[10],0,6,X14Y9_OMUX00,X15Y9_RMUX14
address,mem_ahb_haddr[10],0,7,X15Y9_RMUX14,X15Y5_RMUX50
address,mem_ahb_haddr[10],0,8,X15Y5_RMUX50,X15Y1_RMUX03
address,mem_ahb_haddr[10],0,9,X15Y1_RMUX03,X13Y1_RMUX04
address,mem_ahb_haddr[10],0,10,X13Y1_RMUX04,X13Y1_IMUX62
address,mem_ahb_haddr[10],1,-1,X13Y1_RMUX04,X13Y1_IMUX00
address,mem_ahb_haddr[10],2,-1,X15Y5_RMUX50,X15Y2_RMUX03
address,mem_ahb_haddr[10],2,0,X15Y2_RMUX03,X13Y2_RMUX04
address,mem_ahb_haddr[10],2,1,X13Y2_RMUX04,X13Y2_IMUX62
address,mem_ahb_haddr[10],3,-1,X13Y2_RMUX04,X13Y2_IMUX00
address,mem_ahb_haddr[10],4,-1,X14Y11_RMUX07,X14Y7_RMUX41
address,mem_ahb_haddr[10],4,0,X14Y7_RMUX41,X14Y7_IMUX59
address,mem_ahb_haddr[10],4,1,X14Y7_IMUX59,X14Y7_alta_slice14
address,mem_ahb_haddr[10],4,2,X14Y7_alta_slice14,X14Y7_OMUX42
address,mem_ahb_haddr[10],4,3,X14Y7_OMUX42,X15Y7_RMUX87
address,mem_ahb_haddr[10],4,4,X15Y7_RMUX87,X15Y3_RMUX63
address,mem_ahb_haddr[10],4,5,X15Y3_RMUX63,X13Y3_RMUX52
address,mem_ahb_haddr[10],4,6,X13Y3_RMUX52,X13Y3_IMUX62
address,mem_ahb_haddr[10],5,-1,X13Y3_RMUX52,X13Y3_IMUX00
address,mem_ahb_haddr[10],6,-1,X15Y7_RMUX87,X15Y4_RMUX63
address,mem_ahb_haddr[10],6,0,X15Y4_RMUX63,X13Y4_RMUX58
address,mem_ahb_haddr[10],6,1,X13Y4_RMUX58,X13Y4_IMUX62
address,mem_ahb_haddr[10],7,-1,X13Y4_RMUX58,X13Y4_IMUX00
address,mem_ahb_haddr[2],0,0,X13Y12_BufMUX12,X14Y12_RMUX14
address,mem_ahb_haddr[2],0,1,X14Y12_RMUX14,X14Y8_RMUX67
address,mem_ahb_haddr[2],0,2,X14Y8_RMUX67,X14Y4_RMUX79
address,mem_ahb_haddr[2],0,3,X14Y4_RMUX79,X13Y4_RMUX25
address,mem_ahb_haddr[2],0,4,X13Y4_RMUX25,X13Y2_RMUX22
address,mem_ahb_haddr[2],0,5,X13Y2_RMUX22,X13Y2_IMUX54
address,mem_ahb_haddr[2],1,-1,X13Y4_RMUX25,X13Y3_RMUX22
address,mem_ahb_haddr[2],1,0,X13Y3_RMUX22,X13Y3_IMUX54
address,mem_ahb_haddr[2],2,-1,X13Y3_RMUX22,X13Y3_IMUX08
address,mem_ahb_haddr[2],3,-1,X14Y8_RMUX67,X14Y4_RMUX73
address,mem_ahb_haddr[2],3,0,X14Y4_RMUX73,X14Y1_RMUX00
address,mem_ahb_haddr[2],3,1,X14Y1_RMUX00,X13Y1_IMUX08
address,mem_ahb_haddr[2],4,-1,X14Y12_RMUX14,X14Y8_RMUX57
address,mem_ahb_haddr[2],4,0,X14Y8_RMUX57,X14Y4_RMUX44
address,mem_ahb_haddr[2],4,1,X14Y4_RMUX44,X14Y1_RMUX84
address,mem_ahb_haddr[2],4,2,X14Y1_RMUX84,X13Y1_IMUX54
address,mem_ahb_haddr[2],5,-1,X14Y4_RMUX73,X14Y2_RMUX00
address,mem_ahb_haddr[2],5,0,X14Y2_RMUX00,X13Y2_IMUX08
address,mem_ahb_haddr[2],6,-1,X14Y4_RMUX79,X13Y4_RMUX46
address,mem_ahb_haddr[2],6,0,X13Y4_RMUX46,X13Y4_IMUX54
address,mem_ahb_haddr[2],7,-1,X13Y4_RMUX46,X13Y4_IMUX08
address,mem_ahb_haddr[3],0,0,X13Y12_BufMUX13,X14Y12_RMUX21
address,mem_ahb_haddr[3],0,1,X14Y12_RMUX21,X14Y8_RMUX87
address,mem_ahb_haddr[3],0,2,X14Y8_RMUX87,X14Y4_RMUX68
address,mem_ahb_haddr[3],0,3,X14Y4_RMUX68,X15Y4_RMUX80
address,mem_ahb_haddr[3],0,4,X15Y4_RMUX80,X15Y1_RMUX26
address,mem_ahb_haddr[3],0,5,X15Y1_RMUX26,X13Y1_RMUX18
address,mem_ahb_haddr[3],0,6,X13Y1_RMUX18,X13Y1_IMUX07
address,mem_ahb_haddr[3],1,-1,X15Y4_RMUX80,X15Y2_RMUX33
address,mem_ahb_haddr[3],1,0,X15Y2_RMUX33,X13Y2_RMUX29
address,mem_ahb_haddr[3],1,1,X13Y2_RMUX29,X13Y2_IMUX55
address,mem_ahb_haddr[3],2,-1,X13Y2_RMUX29,X13Y2_IMUX07
address,mem_ahb_haddr[3],3,-1,X15Y4_RMUX80,X15Y3_RMUX43
address,mem_ahb_haddr[3],3,0,X15Y3_RMUX43,X13Y3_RMUX89
address,mem_ahb_haddr[3],3,1,X13Y3_RMUX89,X13Y3_IMUX55
address,mem_ahb_haddr[3],4,-1,X13Y3_RMUX89,X13Y3_IMUX07
address,mem_ahb_haddr[3],5,-1,X14Y8_RMUX87,X14Y4_RMUX62
