src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,evidence
X13Y0_BufMUX05,X13Y1_SeamMUX00,fabric,13,1,CFG_SeamMUX,,,bram-four-site-simultaneous-x18-full-depth-read-20260816
X13Y0_BufMUX05,X13Y1_SeamMUX01,fabric,13,1,CFG_SeamMUX,,,bram-four-site-simultaneous-x18-full-depth-read-20260816
X13Y0_BufMUX05,X13Y2_SeamMUX00,fabric,13,2,CFG_SeamMUX,,,bram-four-site-simultaneous-x18-full-depth-read-20260816
X13Y0_BufMUX05,X13Y2_SeamMUX01,fabric,13,2,CFG_SeamMUX,,,bram-four-site-simultaneous-x18-full-depth-read-20260816
X13Y0_BufMUX05,X13Y3_SeamMUX00,fabric,13,3,CFG_SeamMUX,,,bram-four-site-simultaneous-x18-full-depth-read-20260816
X13Y0_BufMUX05,X13Y3_SeamMUX01,fabric,13,3,CFG_SeamMUX,,,bram-four-site-simultaneous-x18-full-depth-read-20260816
X13Y0_BufMUX05,X13Y4_SeamMUX00,fabric,13,4,CFG_SeamMUX,,,bram-four-site-simultaneous-x18-full-depth-read-20260816
X13Y0_BufMUX05,X13Y4_SeamMUX01,fabric,13,4,CFG_SeamMUX,,,bram-four-site-simultaneous-x18-full-depth-read-20260816
X13Y11_InputMUX00,X14Y11_RMUX07,fabric,14,11,CFG_RMUX1,10;11;12;13;14;15;16;17;18;19,12;18,bram-four-site-simultaneous-x18-full-depth-read-20260816
X13Y12_BufMUX12,X14Y12_RMUX14,fabric,14,12,CFG_RMUX2,20;21;22;23;24;25;26;27;28;29,20;27,bram-four-site-simultaneous-x18-full-depth-read-20260816
X13Y12_BufMUX13,X14Y12_RMUX08,fabric,14,12,CFG_RMUX1,20;21;22;23;24;25;26;27;28;29,22;27,bram-four-site-simultaneous-x18-full-depth-read-20260816
X13Y12_BufMUX13,X14Y12_RMUX21,fabric,14,12,CFG_RMUX3,30;31;32;33;34;35;36;37;38;39,32;37,bram-four-site-simultaneous-x18-full-depth-read-20260816
X13Y12_BufMUX14,X14Y12_RMUX27,fabric,14,12,CFG_RMUX4,30;31;32;33;34;35;36;37;38;39,30;37,bram-four-site-simultaneous-x18-full-depth-read-20260816
X13Y12_BufMUX14,X14Y12_RMUX44,fabric,14,12,CFG_RMUX7,20;21;22;23;24;25;26;27;28;29,20;27,bram-four-site-simultaneous-x18-full-depth-read-20260816
X13Y12_BufMUX15,X14Y12_RMUX37,fabric,14,12,CFG_RMUX6,10;11;12;13;14;15;16;17;18;19,12;17,bram-four-site-simultaneous-x18-full-depth-read-20260816
X13Y12_BufMUX15,X14Y12_RMUX45,fabric,14,12,CFG_RMUX7,30;31;32;33;34;35;36;37;38;39,32;37,bram-four-site-simultaneous-x18-full-depth-read-20260816
X13Y12_BufMUX16,X14Y12_RMUX51,fabric,14,12,CFG_RMUX8,30;31;32;33;34;35;36;37;38;39,30;37,bram-four-site-simultaneous-x18-full-depth-read-20260816
X13Y12_BufMUX16,X14Y12_RMUX57,fabric,14,12,CFG_RMUX9,30;31;32;33;34;35;36;37;38;39,30;37,bram-four-site-simultaneous-x18-full-depth-read-20260816
X13Y12_BufMUX17,X14Y12_RMUX50,fabric,14,12,CFG_RMUX8,20;21;22;23;24;25;26;27;28;29,22;27,bram-four-site-simultaneous-x18-full-depth-read-20260816
X13Y12_BufMUX17,X14Y12_RMUX67,fabric,14,12,CFG_RMUX11,10;11;12;13;14;15;16;17;18;19,12;17,bram-four-site-simultaneous-x18-full-depth-read-20260816
X13Y12_BufMUX18,X14Y12_RMUX81,fabric,14,12,CFG_RMUX13,30;31;32;33;34;35;36;37;38;39,30;37,bram-four-site-simultaneous-x18-full-depth-read-20260816
X13Y12_BufMUX19,X14Y12_RMUX80,fabric,14,12,CFG_RMUX13,20;21;22;23;24;25;26;27;28;29,22;27,bram-four-site-simultaneous-x18-full-depth-read-20260816
X13Y1_BufMUX00,X14Y1_RMUX09,fabric,14,1,CFG_RMUX1,30;31;32;33;34;35;36;37;38;39,30;37,bram-four-site-simultaneous-x18-full-depth-read-20260816
X13Y1_BufMUX01,X14Y1_RMUX03,fabric,14,1,CFG_RMUX0,30;31;32;33;34;35;36;37;38;39,31;37,bram-four-site-simultaneous-x18-full-depth-read-20260816
X13Y1_BufMUX02,X14Y1_RMUX02,fabric,14,1,CFG_RMUX0,20;21;22;23;24;25;26;27;28;29,22;27,bram-four-site-simultaneous-x18-full-depth-read-20260816
X13Y1_BufMUX03,X14Y1_RMUX15,fabric,14,1,CFG_RMUX2,30;31;32;33;34;35;36;37;38;39,33;37,bram-four-site-simultaneous-x18-full-depth-read-20260816
X13Y1_BufMUX04,X14Y1_RMUX33,fabric,14,1,CFG_RMUX5,30;31;32;33;34;35;36;37;38;39,30;37,bram-four-site-simultaneous-x18-full-depth-read-20260816
X13Y1_BufMUX05,X14Y1_RMUX25,fabric,14,1,CFG_RMUX4,10;11;12;13;14;15;16;17;18;19,11;17,bram-four-site-simultaneous-x18-full-depth-read-20260816
X13Y1_BufMUX06,X14Y1_RMUX32,fabric,14,1,CFG_RMUX5,20;21;22;23;24;25;26;27;28;29,22;27,bram-four-site-simultaneous-x18-full-depth-read-20260816
X13Y1_BufMUX07,X14Y1_RMUX39,fabric,14,1,CFG_RMUX6,30;31;32;33;34;35;36;37;38;39,33;37,bram-four-site-simultaneous-x18-full-depth-read-20260816
X13Y1_RMUX04,X13Y1_IMUX00,fabric,13,1,CFG_IMUX0,0;1;2;3;4;5;6;7;8;9;10;11,0;10,bram-four-site-simultaneous-x18-full-depth-read-20260816
X13Y1_RMUX04,X13Y1_IMUX62,fabric,13,1,CFG_IMUX15,24;25;26;27;28;29;30;31;32;33;34;35,32;33,bram-four-site-simultaneous-x18-full-depth-read-20260816
X13Y1_RMUX06,X13Y1_IMUX06,fabric,13,1,CFG_IMUX1,24;25;26;27;28;29;30;31;32;33;34;35,25;34,bram-four-site-simultaneous-x18-full-depth-read-20260816
X13Y1_RMUX15,X14Y1_RMUX69,fabric,14,1,CFG_RMUX11,30;31;32;33;34;35;36;37;38;39,32;38,bram-four-site-simultaneous-x18-full-depth-read-20260816
