src_tile,src_x,src_y,src_res,dst_tile,dst_x,dst_y,dst_res
Bram,13,1,BufMUX00,Logic,14,1,RMUX09
Bram,13,1,BufMUX01,Logic,14,1,RMUX03
Bram,13,1,BufMUX02,Logic,14,1,RMUX02
Bram,13,1,BufMUX03,Logic,14,1,RMUX15
Bram,13,1,BufMUX04,Logic,14,1,RMUX25
Bram,13,1,BufMUX05,Logic,14,1,RMUX38
Bram,13,1,BufMUX06,Logic,14,1,RMUX32
Bram,13,1,BufMUX07,Logic,14,1,RMUX39
Bram,13,1,BufMUX08,Logic,14,1,RMUX62
Bram,13,1,BufMUX09,Logic,14,1,RMUX55
Bram,13,1,BufMUX10,Logic,14,1,RMUX69
Bram,13,1,BufMUX11,Logic,14,1,RMUX71
Bram,13,1,BufMUX12,Logic,14,1,RMUX92
Bram,13,1,BufMUX13,Logic,14,1,RMUX75
Bram,13,1,BufMUX14,Logic,14,1,RMUX74
Bram,13,1,BufMUX15,Logic,14,1,RMUX74
Bram,13,1,BufMUX16,Bram,13,1,RMUX15
Bram,13,1,BufMUX17,Bram,13,1,RMUX08
Bram,13,1,BufMUX18,Bram,13,1,RMUX14
Bram,13,1,BufMUX19,Bram,13,1,RMUX20
Bram,13,1,BufMUX20,Bram,13,1,RMUX45
Bram,13,1,BufMUX21,Bram,13,1,RMUX26
Bram,13,1,BufMUX22,Bram,13,1,RMUX27
Bram,13,1,BufMUX23,Bram,13,1,RMUX44
Bram,13,1,BufMUX24,Bram,13,1,RMUX50
Bram,13,1,BufMUX25,Bram,13,1,RMUX63
Bram,13,1,BufMUX26,Bram,13,1,RMUX51
Bram,13,1,BufMUX27,Bram,13,1,RMUX57
Bram,13,1,BufMUX28,Bram,13,1,RMUX74
Bram,13,1,BufMUX29,Bram,13,1,RMUX74
Bram,13,1,BufMUX30,Bram,13,1,RMUX75
Bram,13,1,BufMUX31,Bram,13,1,RMUX81
Bram,13,1,BufMUX32,Bram,13,1,RMUX08
Bram,13,1,BufMUX33,Bram,13,1,RMUX44
Bram,13,1,BufMUX34,Bram,13,1,RMUX68
Bram,13,1,BufMUX35,Bram,13,1,RMUX87
Bram,13,1,CtrlMUX00,Bram,13,1,TileAsyncMUX01
Bram,13,1,CtrlMUX01,Bram,13,1,TileAsyncMUX01
Bram,13,1,CtrlMUX02,Bram,13,1,TileClkEnMUX00
Bram,13,1,CtrlMUX03,Bram,13,1,TileClkEnMUX00
Bram,13,1,IMUX31,Bram,13,1,TileAsyncMUX00
Bram,13,1,IMUX31,Bram,13,1,TileClkEnMUX01
Bram,13,1,IMUX32,Bram,13,1,TileAsyncMUX00
Bram,13,1,IMUX32,Bram,13,1,TileClkEnMUX01
Bram,13,1,RMUX00,Bram,13,1,IMUX02
Bram,13,1,RMUX00,Bram,13,1,IMUX06
Bram,13,1,RMUX00,Bram,13,1,IMUX14
