net,scope,step,src_wire,dst_wire,evidence
h1,common,0,X14Y8_OMUX08,X14Y8_OMUX06,registered-tmux09-silicon
h1,common,1,X14Y8_OMUX06,X15Y8_RMUX02,registered-tmux09-silicon
h1,common,2,X15Y8_RMUX02,X15Y12_RMUX03,registered-tmux09-silicon
h1,common,3,X15Y12_RMUX03,X14Y12_RMUX20,registered-tmux09-silicon
h1,common,4,X14Y12_RMUX20,X13Y12_BBMUXE03,registered-tmux09-silicon
h1,common,5,X13Y12_BBMUXE03,X0Y5_SinkMUXPseudo03,registered-tmux09-silicon
h1,common,6,X14Y8_OMUX06,X15Y8_RMUX21,registered-tmux09-silicon
h1,common,7,X15Y8_RMUX21,X15Y4_RMUX86,registered-tmux09-silicon
h1,common,8,X15Y4_RMUX86,X11Y4_RMUX66,registered-tmux09-silicon
h1,common,9,X11Y4_RMUX66,X10Y4_IMUX03,registered-tmux09-silicon
h1,common,10,X14Y8_OMUX08,X14Y8_RMUX09,registered-tmux09-silicon
h1,common,11,X14Y8_RMUX09,X14Y12_RMUX29,registered-tmux09-silicon
h1,common,12,X14Y12_RMUX29,X14Y12_IMUX01,registered-tmux09-silicon
h1,high,13,X15Y4_RMUX86,X13Y4_TMUX09,registered-tmux09-silicon
h1,high,14,X13Y4_TMUX09,X13Y4_KMUX03,registered-tmux09-silicon
h2,common,0,X10Y4_OMUX02,X10Y4_RMUX08,registered-tmux09-silicon
h2,common,1,X10Y4_RMUX08,X14Y4_RMUX32,registered-tmux09-silicon
h2,common,2,X14Y4_RMUX32,X14Y8_RMUX32,registered-tmux09-silicon
h2,common,3,X14Y8_RMUX32,X14Y12_RMUX32,registered-tmux09-silicon
h2,common,4,X14Y12_RMUX32,X14Y12_RMUX34,registered-tmux09-silicon
h2,common,5,X14Y12_RMUX34,X14Y12_IMUX00,registered-tmux09-silicon
h2,common,6,X14Y8_RMUX32,X14Y12_RMUX26,registered-tmux09-silicon
h2,common,7,X14Y12_RMUX26,X13Y12_BBMUXE04,registered-tmux09-silicon
h2,common,8,X13Y12_BBMUXE04,X0Y5_SinkMUXPseudo04,registered-tmux09-silicon
h2,common,9,X10Y4_OMUX02,X10Y4_RMUX15,registered-tmux09-silicon
h2,common,10,X10Y4_RMUX15,X14Y4_RMUX69,registered-tmux09-silicon
h2,common,11,X14Y4_RMUX69,X14Y8_RMUX77,registered-tmux09-silicon
h2,common,12,X14Y8_RMUX77,X14Y8_IMUX11,registered-tmux09-silicon
h3,common,0,X14Y12_OMUX02,X14Y12_RMUX13,registered-tmux09-silicon
h3,common,1,X14Y12_RMUX13,X13Y12_BBMUXE05,registered-tmux09-silicon
h3,common,2,X13Y12_BBMUXE05,X0Y5_SinkMUXPseudo05,registered-tmux09-silicon
