src_res,src_x,src_y,dst_res,dst_x,dst_y,source,sel_lo,sel_hi,passing_images
BufMUX32,13,2,RMUX01,13,2,vendor_passing_image,14,17,2
BufMUX32,13,2,RMUX03,13,2,vendor_passing_image,34,37,1
BufMUX32,13,2,RMUX13,13,2,vendor_passing_image,14,17,1
BufMUX32,13,2,RMUX15,13,2,vendor_passing_image,34,37,2
BufMUX33,13,2,RMUX31,13,2,vendor_passing_image,14,17,4
BufMUX33,13,2,RMUX33,13,2,vendor_passing_image,34,37,1
BufMUX33,13,2,RMUX45,13,2,vendor_passing_image,34,37,1
BufMUX34,13,2,RMUX49,13,2,vendor_passing_image,14,17,1
BufMUX34,13,2,RMUX51,13,2,vendor_passing_image,34,37,1
BufMUX34,13,2,RMUX63,13,2,vendor_passing_image,34,37,1
BufMUX34,13,2,RMUX68,13,2,vendor_passing_image,24,27,1
BufMUX35,13,2,RMUX74,13,2,vendor_passing_image,24,27,1
BufMUX35,13,2,RMUX81,13,2,vendor_passing_image,34,37,1
BufMUX35,13,2,RMUX86,13,2,vendor_passing_image,24,27,1
BufMUX35,13,2,RMUX93,13,2,vendor_passing_image,34,37,1
BufMUX32,13,3,RMUX13,13,3,vendor_passing_image,14,17,1
BufMUX33,13,3,RMUX33,13,3,vendor_passing_image,34,37,1
BufMUX34,13,3,RMUX63,13,3,vendor_passing_image,34,37,1
BufMUX35,13,3,RMUX93,13,3,vendor_passing_image,34,37,1
BufMUX16,13,4,RMUX15,13,4,vendor_passing_image,30,37,2
BufMUX17,13,4,RMUX13,13,4,vendor_passing_image,11,17,2
BufMUX18,13,4,RMUX01,13,4,vendor_passing_image,12,17,1
BufMUX18,13,4,RMUX18,13,4,vendor_passing_image,2,7,1
BufMUX19,13,4,RMUX12,13,4,vendor_passing_image,3,7,1
BufMUX20,13,4,RMUX39,13,4,vendor_passing_image,30,37,2
BufMUX21,13,4,RMUX30,13,4,vendor_passing_image,1,7,1
BufMUX21,13,4,RMUX39,13,4,vendor_passing_image,31,37,2
BufMUX21,13,4,RMUX45,13,4,vendor_passing_image,31,37,2
BufMUX22,13,4,RMUX31,13,4,vendor_passing_image,12,17,4
BufMUX22,13,4,RMUX33,13,4,vendor_passing_image,32,37,2
BufMUX23,13,4,RMUX36,13,4,vendor_passing_image,3,7,1
BufMUX23,13,4,RMUX38,13,4,vendor_passing_image,23,27,1
BufMUX24,13,4,RMUX61,13,4,vendor_passing_image,10,17,2
BufMUX24,13,4,RMUX63,13,4,vendor_passing_image,30,37,2
BufMUX25,13,4,RMUX48,13,4,vendor_passing_image,1,7,1
BufMUX25,13,4,RMUX63,13,4,vendor_passing_image,31,37,1
BufMUX26,13,4,RMUX51,13,4,vendor_passing_image,32,37,2
BufMUX26,13,4,RMUX60,13,4,vendor_passing_image,2,7,1
BufMUX27,13,4,RMUX66,13,4,vendor_passing_image,3,7,1
BufMUX27,13,4,RMUX68,13,4,vendor_passing_image,23,27,2
BufMUX28,13,4,RMUX91,13,4,vendor_passing_image,10,17,1
BufMUX29,13,4,RMUX72,13,4,vendor_passing_image,1,7,1
BufMUX29,13,4,RMUX91,13,4,vendor_passing_image,11,17,2
BufMUX30,13,4,RMUX79,13,4,vendor_passing_image,12,17,3
BufMUX30,13,4,RMUX86,13,4,vendor_passing_image,22,27,1
BufMUX31,13,4,RMUX81,13,4,vendor_passing_image,33,37,3
BufMUX31,13,4,RMUX90,13,4,vendor_passing_image,3,7,1
BufMUX32,13,4,RMUX01,13,4,vendor_passing_image,14,17,4
BufMUX32,13,4,RMUX03,13,4,vendor_passing_image,34,37,1
BufMUX32,13,4,RMUX13,13,4,vendor_passing_image,14,17,1
BufMUX33,13,4,RMUX25,13,4,vendor_passing_image,14,17,1
BufMUX33,13,4,RMUX27,13,4,vendor_passing_image,34,37,1
BufMUX33,13,4,RMUX31,13,4,vendor_passing_image,14,17,2
BufMUX33,13,4,RMUX38,13,4,vendor_passing_image,24,27,1
BufMUX33,13,4,RMUX43,13,4,vendor_passing_image,14,17,1
BufMUX34,13,4,RMUX49,13,4,vendor_passing_image,14,17,1
BufMUX35,13,4,RMUX93,13,4,vendor_passing_image,34,37,1
