src_res,src_x,src_y,dst_res,dst_x,dst_y,source
OMUX02,14,5,RMUX21,14,5,silicon
RMUX21,14,5,RMUX86,14,2,silicon
RMUX86,14,2,RMUX50,10,2,silicon
RMUX50,10,2,RMUX08,10,1,silicon
RMUX08,10,1,RMUX32,14,1,silicon
RMUX32,14,1,RMUX33,14,4,silicon
RMUX33,14,4,RMUX34,13,4,silicon
RMUX34,13,4,IMUX08,13,4,silicon
RMUX21,14,5,RMUX86,14,1,silicon
RMUX86,14,1,RMUX50,13,1,silicon
RMUX50,13,1,RMUX08,13,2,silicon
RMUX08,13,2,RMUX27,15,2,silicon
RMUX27,15,2,RMUX15,15,3,silicon
RMUX15,15,3,RMUX62,18,3,silicon
RMUX62,18,3,RMUX56,18,4,silicon
RMUX56,18,4,RMUX43,16,4,silicon
RMUX43,16,4,RMUX95,13,4,silicon
RMUX95,13,4,IMUX07,13,4,silicon
OMUX02,14,5,RMUX15,14,5,silicon
RMUX15,14,5,RMUX68,16,5,silicon
RMUX68,16,5,RMUX80,17,5,silicon
RMUX80,17,5,RMUX43,17,4,silicon
RMUX43,17,4,RMUX79,15,4,silicon
RMUX79,15,4,RMUX40,13,4,silicon
RMUX40,13,4,IMUX06,13,4,silicon
RMUX15,14,5,RMUX69,18,5,silicon
RMUX69,18,5,RMUX92,18,9,silicon
RMUX92,18,9,RMUX80,18,10,silicon
RMUX80,18,10,RMUX37,18,8,silicon
RMUX37,18,8,RMUX49,18,4,silicon
RMUX49,18,4,RMUX06,14,4,silicon
RMUX06,14,4,IMUX05,13,4,silicon
RMUX08,10,1,RMUX27,13,1,silicon
RMUX27,13,1,RMUX15,13,3,silicon
RMUX15,13,3,RMUX68,14,3,silicon
RMUX68,14,3,RMUX75,17,3,silicon
RMUX75,17,3,RMUX20,17,6,silicon
RMUX20,17,6,RMUX80,16,6,silicon
RMUX80,16,6,RMUX33,16,4,silicon
RMUX33,16,4,RMUX28,13,4,silicon
RMUX28,13,4,IMUX04,13,4,silicon
RMUX54,14,4,IMUX03,13,4,vendor
RMUX80,17,5,RMUX32,17,2,silicon
RMUX32,17,2,RMUX33,17,5,silicon
RMUX33,17,5,RMUX44,16,5,silicon
RMUX44,16,5,RMUX74,16,4,silicon
RMUX74,16,4,RMUX13,17,4,silicon
RMUX13,17,4,RMUX49,14,4,silicon
RMUX49,14,4,RMUX06,13,4,silicon
RMUX06,13,4,IMUX02,13,4,silicon
RMUX43,17,4,RMUX78,14,4,silicon
RMUX78,14,4,IMUX01,13,4,silicon
RMUX08,13,2,RMUX32,15,2,silicon
RMUX32,15,2,RMUX33,15,6,silicon
RMUX33,15,6,RMUX38,14,6,silicon
RMUX38,14,6,RMUX50,16,6,silicon
RMUX50,16,6,RMUX03,16,4,silicon
RMUX03,16,4,RMUX10,13,4,silicon
RMUX10,13,4,IMUX00,13,4,silicon
RMUX24,14,4,IMUX02,13,4,vendor-dual-port-oracle
RMUX30,14,4,IMUX03,13,4,vendor-dual-port-oracle
RMUX00,14,4,IMUX04,13,4,vendor-dual-port-oracle
RMUX11,13,4,IMUX05,13,4,vendor-dual-port-oracle
RMUX48,14,4,IMUX06,13,4,vendor-dual-port-oracle
RMUX54,14,4,IMUX07,13,4,vendor-dual-port-oracle
RMUX64,13,4,IMUX08,13,4,vendor-dual-port-oracle
RMUX78,14,4,IMUX03,13,4,vendor-dual-port-shared-oracle
RMUX72,14,4,IMUX10,13,4,vendor-dual-port-shared-oracle
