logical_bit,bram_port,bram_bit,step,src_wire,dst_wire,evidence
2,AddressA,3,0,X13Y12_BufMUX12,X14Y12_RMUX14,vendor-l48-x9-silicon-control
2,AddressA,3,1,X14Y12_RMUX14,X14Y8_RMUX67,vendor-l48-x9-silicon-control
2,AddressA,3,2,X14Y8_RMUX67,X14Y4_RMUX78,vendor-l48-x9-silicon-control
2,AddressA,3,3,X14Y4_RMUX78,X13Y4_IMUX09,vendor-l48-x9-silicon-control
3,AddressA,4,0,X13Y12_BufMUX13,X14Y12_RMUX21,vendor-l48-x9-silicon-control
3,AddressA,4,1,X14Y12_RMUX21,X14Y8_RMUX87,vendor-l48-x9-silicon-control
3,AddressA,4,2,X14Y8_RMUX87,X14Y4_RMUX63,vendor-l48-x9-silicon-control
3,AddressA,4,3,X14Y4_RMUX63,X13Y4_RMUX58,vendor-l48-x9-silicon-control
3,AddressA,4,4,X13Y4_RMUX58,X13Y4_IMUX08,vendor-l48-x9-silicon-control
4,AddressA,5,0,X13Y12_BufMUX14,X14Y12_RMUX27,vendor-l48-x9-silicon-control
4,AddressA,5,1,X14Y12_RMUX27,X14Y8_RMUX21,vendor-l48-x9-silicon-control
4,AddressA,5,2,X14Y8_RMUX21,X14Y4_RMUX93,vendor-l48-x9-silicon-control
4,AddressA,5,3,X14Y4_RMUX93,X13Y4_RMUX77,vendor-l48-x9-silicon-control
4,AddressA,5,4,X13Y4_RMUX77,X13Y4_IMUX07,vendor-l48-x9-silicon-control
5,AddressA,6,0,X13Y12_BufMUX15,X14Y12_RMUX45,vendor-l48-x9-silicon-control
5,AddressA,6,1,X14Y12_RMUX45,X15Y12_RMUX87,vendor-l48-x9-silicon-control
5,AddressA,6,2,X15Y12_RMUX87,X15Y8_RMUX68,vendor-l48-x9-silicon-control
5,AddressA,6,3,X15Y8_RMUX68,X16Y8_RMUX80,vendor-l48-x9-silicon-control
5,AddressA,6,4,X16Y8_RMUX80,X16Y4_RMUX43,vendor-l48-x9-silicon-control
5,AddressA,6,5,X16Y4_RMUX43,X14Y4_RMUX72,vendor-l48-x9-silicon-control
5,AddressA,6,6,X14Y4_RMUX72,X13Y4_IMUX06,vendor-l48-x9-silicon-control
6,AddressA,7,0,X13Y12_BufMUX16,X14Y12_RMUX57,vendor-l48-x9-silicon-control
6,AddressA,7,1,X14Y12_RMUX57,X14Y8_RMUX38,vendor-l48-x9-silicon-control
6,AddressA,7,2,X14Y8_RMUX38,X15Y8_RMUX50,vendor-l48-x9-silicon-control
6,AddressA,7,3,X15Y8_RMUX50,X15Y4_RMUX13,vendor-l48-x9-silicon-control
6,AddressA,7,4,X15Y4_RMUX13,X14Y4_RMUX54,vendor-l48-x9-silicon-control
6,AddressA,7,5,X14Y4_RMUX54,X13Y4_IMUX05,vendor-l48-x9-silicon-control
7,AddressA,8,0,X13Y12_BufMUX17,X14Y12_RMUX67,vendor-l48-x9-silicon-control
7,AddressA,8,1,X14Y12_RMUX67,X14Y8_RMUX73,vendor-l48-x9-silicon-control
7,AddressA,8,2,X14Y8_RMUX73,X14Y4_RMUX00,vendor-l48-x9-silicon-control
7,AddressA,8,3,X14Y4_RMUX00,X13Y4_IMUX04,vendor-l48-x9-silicon-control
8,AddressA,9,0,X13Y12_BufMUX18,X14Y12_RMUX73,vendor-l48-x9-silicon-control
8,AddressA,9,1,X14Y12_RMUX73,X14Y8_RMUX07,vendor-l48-x9-silicon-control
8,AddressA,9,2,X14Y8_RMUX07,X14Y4_RMUX30,vendor-l48-x9-silicon-control
8,AddressA,9,3,X14Y4_RMUX30,X13Y4_IMUX03,vendor-l48-x9-silicon-control
9,AddressA,10,0,X13Y12_BufMUX19,X14Y12_RMUX80,vendor-l48-x9-silicon-control
9,AddressA,10,1,X14Y12_RMUX80,X14Y8_RMUX37,vendor-l48-x9-silicon-control
9,AddressA,10,2,X14Y8_RMUX37,X14Y4_RMUX48,vendor-l48-x9-silicon-control
9,AddressA,10,3,X14Y4_RMUX48,X13Y4_IMUX02,vendor-l48-x9-silicon-control
10,AddressA,11,0,X13Y11_BufMUX00,X13Y11_InputMUX01,vendor-l48-x9-silicon-control
10,AddressA,11,1,X13Y11_InputMUX01,X15Y11_RMUX03,vendor-l48-x9-silicon-control
10,AddressA,11,2,X15Y11_RMUX03,X14Y11_RMUX14,vendor-l48-x9-silicon-control
10,AddressA,11,3,X14Y11_RMUX14,X14Y7_RMUX67,vendor-l48-x9-silicon-control
10,AddressA,11,4,X14Y7_RMUX67,X14Y4_RMUX79,vendor-l48-x9-silicon-control
10,AddressA,11,5,X14Y4_RMUX79,X13Y4_RMUX47,vendor-l48-x9-silicon-control
10,AddressA,11,6,X13Y4_RMUX47,X13Y4_IMUX01,vendor-l48-x9-silicon-control
11,AddressA,12,0,X13Y11_BufMUX01,X13Y11_InputMUX00,vendor-l48-x9-silicon-control
11,AddressA,12,1,X13Y11_InputMUX00,X14Y11_RMUX07,vendor-l48-x9-silicon-control
11,AddressA,12,2,X14Y11_RMUX07,X14Y7_RMUX47,vendor-l48-x9-silicon-control
11,AddressA,12,3,X14Y7_RMUX47,X14Y7_IMUX15,vendor-l48-x9-silicon-control
11,AddressA,12,6,X14Y7_OMUX11,X14Y7_RMUX07,vendor-l48-x9-silicon-control
11,AddressA,12,7,X14Y7_RMUX07,X14Y4_RMUX24,vendor-l48-x9-silicon-control
11,AddressA,12,8,X14Y4_RMUX24,X13Y4_IMUX00,vendor-l48-x9-silicon-control
