src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,evidence
X13Y12_BufMUX12,X14Y12_RMUX14,fabric,14,12,CFG_RMUX2,20;21;22;23;24;25;26;27;28;29,20;27,vendor-l48-x9-silicon-control
X14Y12_RMUX14,X14Y8_RMUX67,fabric,14,8,CFG_RMUX11,10;11;12;13;14;15;16;17;18;19,16;19,vendor-l48-x9-silicon-control
X14Y8_RMUX67,X14Y4_RMUX78,fabric,14,4,CFG_RMUX13,0;1;2;3;4;5;6;7;8;9,6;9,vendor-l48-x9-silicon-control
X14Y4_RMUX78,X13Y4_IMUX09,fabric,13,4,CFG_IMUX2,12;13;14;15;16;17;18;19;20;21;22;23,19;21,vendor-l48-x9-silicon-control
X13Y12_BufMUX13,X14Y12_RMUX21,fabric,14,12,CFG_RMUX3,30;31;32;33;34;35;36;37;38;39,32;37,vendor-l48-x9-silicon-control
X14Y12_RMUX21,X14Y8_RMUX87,fabric,14,8,CFG_RMUX14,30;31;32;33;34;35;36;37;38;39,36;39,vendor-l48-x9-silicon-control
X14Y8_RMUX87,X14Y4_RMUX63,fabric,14,4,CFG_RMUX10,30;31;32;33;34;35;36;37;38;39,36;39,vendor-l48-x9-silicon-control
X14Y4_RMUX63,X13Y4_RMUX58,fabric,13,4,CFG_RMUX9,40;41;42;43;44;45;46;47;48;49,45;47,vendor-l48-x9-silicon-control
X13Y4_RMUX58,X13Y4_IMUX08,fabric,13,4,CFG_IMUX2,0;1;2;3;4;5;6;7;8;9;10;11,1;11,vendor-l48-x9-silicon-control
X13Y12_BufMUX14,X14Y12_RMUX27,fabric,14,12,CFG_RMUX4,30;31;32;33;34;35;36;37;38;39,30;37,vendor-l48-x9-silicon-control
X14Y12_RMUX27,X14Y8_RMUX21,fabric,14,8,CFG_RMUX3,30;31;32;33;34;35;36;37;38;39,36;39,vendor-l48-x9-silicon-control
X14Y8_RMUX21,X14Y4_RMUX93,fabric,14,4,CFG_RMUX15,30;31;32;33;34;35;36;37;38;39,36;39,vendor-l48-x9-silicon-control
X14Y4_RMUX93,X13Y4_RMUX77,fabric,13,4,CFG_RMUX12,50;51;52;53;54;55;56;57;58;59,55;57,vendor-l48-x9-silicon-control
X13Y4_RMUX77,X13Y4_IMUX07,fabric,13,4,CFG_IMUX1,36;37;38;39;40;41;42;43;44;45;46;47,40;47,vendor-l48-x9-silicon-control
X13Y12_BufMUX15,X14Y12_RMUX45,fabric,14,12,CFG_RMUX7,30;31;32;33;34;35;36;37;38;39,32;37,vendor-l48-x9-silicon-control
X14Y12_RMUX45,X15Y12_RMUX87,fabric,15,12,CFG_RMUX14,30;31;32;33;34;35;36;37;38;39,32;38,vendor-l48-x9-silicon-control
