x,y,evidence
1,1,ring:15/15
1,2,ring:15/15
1,3,ring:15/15
1,4,ring:15/15
2,1,ring:15/15
2,2,ring:15/15
2,3,ring:15/15
2,4,ring:15/15
3,1,ring:15/15
3,2,ring:15/15
3,3,ring:15/15
3,4,ring:15/15
4,1,ring:15/15
4,2,ring:15/15
4,3,ring:15/15
4,4,ring:15/15
5,1,ring:15/15
5,2,ring:15/15
5,3,ring:15/15
5,4,ring:15/15
6,1,ring:15/15
6,2,ring:15/15
6,3,ring:15/15
6,4,ring:15/15
7,1,ring:15/15
7,2,ring:15/15
7,3,ring:15/15
7,4,ring:15/15
8,1,ring:15/15
8,2,ring:15/15
8,3,ring:15/15
8,4,ring:15/15
9,1,ring:15/15
9,2,ring:15/15
9,3,ring:15/15
9,4,ring:15/15
10,1,ring:15/15
10,2,ring:15/15
10,3,ring:15/15
10,4,ring:15/15
11,1,ring:15/15
11,2,ring:15/15
11,3,ring:15/15
11,4,ring:15/15
12,1,ring:15/15
12,2,ring:15/15
12,3,ring:15/15
12,4,ring:15/15
14,1,ring:15/15
14,2,ring:15/15
14,3,ring:15/15
14,4,ring:15/15
14,5,ring:15/15
14,6,ring:15/15
14,9,ring:15/15
14,12,ring:15/15
15,1,ring:15/15
15,2,ring:15/15
15,3,ring:15/15
15,4,ring:15/15
15,5,ring:15/15
15,6,ring:15/15
15,7,ring:15/15
15,11,ring:15/15
15,12,ring:15/15
16,1,ring:15/15
16,2,ring:15/15
16,3,ring:15/15
16,4,ring:15/15
16,5,ring:15/15
16,6,ring:15/15
16,7,ring:15/15
16,9,ring:15/15
16,11,ring:15/15
16,12,ring:15/15
17,1,ring:15/15
17,2,ring:15/15
17,3,ring:15/15
17,4,ring:15/15
17,5,ring:15/15
17,6,ring:15/15
17,7,ring:15/15
17,8,ring:15/15
17,9,ring:15/15
17,10,ring:15/15
17,11,ring:15/15
17,12,ring:15/15
18,1,ring:15/15
18,2,ring:15/15
18,3,ring:15/15
18,4,ring:15/15
18,5,ring:15/15
18,6,ring:15/15
18,11,ring:15/15
18,12,ring:15/15
19,1,ring:15/15
19,2,ring:15/15
19,3,ring:15/15
19,4,ring:15/15
19,5,ring:15/15
19,6,ring:15/15
19,8,ring:15/15
19,9,ring:15/15
19,11,ring:15/15
19,12,ring:15/15
20,1,ring:15/15
20,2,ring:15/15
20,3,ring:15/15
20,4,ring:15/15
20,5,ring:15/15
20,6,ring:15/15
20,7,ring:15/15
20,8,ring:15/15
20,9,ring:15/15
20,10,ring:15/15
20,11,ring:15/15
20,12,ring:15/15
