# Dedicated-carry seams observed in the vendor corpus.
# Harvested 2026-08-15 from 3,842 af.exe routed netlists (2,202 with carry,
# 1,005,996 carry links, 19,790 inter-tile crossings). Dedicated carry is NOT
# in route.tx (carry nets decode to an empty path); it lives in PLACEMENT, so
# this is harvested from *_routed.v .Cin()/.Cout() plus defparam coord_x/y/z.
# Two invariants hold with zero exceptions across all 19,790 crossings:
#   direction is always (x,y) -> (x,y-1)   [same column, one tile down]
#   endpoints are always SLICE15 -> SLICE0
# 113 of the 113 geometrically possible seams appear; least-witnessed has 9
# independent designs. Observation of a seam is NOT a conduction claim.
src_x,src_y,dst_x,dst_y,n_designs,example_route_tx
17,6,17,5,356,tools/lab/rrg_1002/alta_db/route.tx
10,2,10,1,336,tools/lab/rrg_10/alta_db/route.tx
15,6,15,5,332,tools/lab/rrg_1014/alta_db/route.tx
16,6,16,5,320,tools/lab/rrg_10/alta_db/route.tx
15,4,15,3,316,tools/lab/rrg_1010/alta_db/route.tx
12,2,12,1,315,tools/lab/rrg_1046/alta_db/route.tx
16,8,16,7,306,tools/lab/rrg_10/alta_db/route.tx
18,2,18,1,303,tools/lab/rrg_10/alta_db/route.tx
18,6,18,5,303,tools/lab/rrg_10/alta_db/route.tx
12,4,12,3,298,tools/lab/rrg_10/alta_db/route.tx
11,2,11,1,297,tools/lab/rrg_1000/alta_db/route.tx
17,4,17,3,295,tools/lab/rrg_1000/alta_db/route.tx
19,2,19,1,294,tools/lab/rrg_1002/alta_db/route.tx
15,10,15,9,293,tools/lab/rrg_1018/alta_db/route.tx
18,4,18,3,292,tools/lab/rrg_1006/alta_db/route.tx
17,8,17,7,291,tools/lab/rrg_10/alta_db/route.tx
17,10,17,9,288,tools/lab/rrg_10/alta_db/route.tx
17,2,17,1,287,tools/lab/rrg_1008/alta_db/route.tx
15,2,15,1,286,tools/lab/rrg_1018/alta_db/route.tx
16,2,16,1,282,tools/lab/rrg_10/alta_db/route.tx
9,2,9,1,281,tools/lab/rrg_1000/alta_db/route.tx
16,10,16,9,279,tools/lab/rrg_10/alta_db/route.tx
18,8,18,7,277,tools/lab/rrg_1002/alta_db/route.tx
14,4,14,3,274,tools/lab/rrg_10/alta_db/route.tx
16,4,16,3,271,tools/lab/rrg_1000/alta_db/route.tx
20,2,20,1,270,tools/lab/rrg_1000/alta_db/route.tx
15,8,15,7,269,tools/lab/rrg_10/alta_db/route.tx
14,2,14,1,267,tools/lab/rrg_10/alta_db/route.tx
19,6,19,5,267,tools/lab/rrg_1002/alta_db/route.tx
19,4,19,3,265,tools/lab/rrg_10/alta_db/route.tx
8,2,8,1,252,tools/lab/rrg_1018/alta_db/route.tx
14,6,14,5,250,tools/lab/rrg_1000/alta_db/route.tx
10,4,10,3,248,tools/lab/rrg_1002/alta_db/route.tx
19,8,19,7,248,tools/lab/rrg_1050/alta_db/route.tx
18,10,18,9,239,tools/lab/rrg_1042/alta_db/route.tx
14,8,14,7,234,tools/lab/rrg_1006/alta_db/route.tx
20,4,20,3,231,tools/lab/rrg_1018/alta_db/route.tx
20,6,20,5,227,tools/lab/rrg_1004/alta_db/route.tx
7,2,7,1,226,tools/lab/rrg_1000/alta_db/route.tx
19,10,19,9,219,tools/lab/rrg_1018/alta_db/route.tx
11,4,11,3,217,tools/lab/rrg_1002/alta_db/route.tx
9,4,9,3,215,tools/lab/rrg_1006/alta_db/route.tx
6,2,6,1,204,tools/lab/rrg_1000/alta_db/route.tx
8,4,8,3,199,tools/lab/rrg_1042/alta_db/route.tx
14,10,14,9,194,tools/lab/rrg_1014/alta_db/route.tx
7,4,7,3,191,tools/lab/rrg_1002/alta_db/route.tx
20,8,20,7,173,tools/lab/rrg_1004/alta_db/route.tx
19,5,19,4,166,tools/lab/rrg_1000/alta_db/route.tx
16,5,16,4,163,tools/lab/rrg_1004/alta_db/route.tx
5,2,5,1,159,tools/lab/rrg_1008/alta_db/route.tx
6,4,6,3,155,tools/lab/rrg_1000/alta_db/route.tx
16,9,16,8,155,tools/lab/rrg_1018/alta_db/route.tx
18,3,18,2,155,tools/lab/rrg_1002/alta_db/route.tx
18,5,18,4,155,tools/lab/rrg_1002/alta_db/route.tx
20,10,20,9,155,tools/lab/rrg_1052/alta_db/route.tx
19,7,19,6,140,tools/lab/rrg_10/alta_db/route.tx
20,5,20,4,140,tools/lab/rrg_1082/alta_db/route.tx
20,3,20,2,139,tools/lab/rrg_10/alta_db/route.tx
19,9,19,8,136,tools/lab/rrg_1012/alta_db/route.tx
18,7,18,6,135,tools/lab/rrg_1000/alta_db/route.tx
16,12,16,11,134,tools/lab/rrg_1008/alta_db/route.tx
17,7,17,6,131,tools/lab/rrg_1010/alta_db/route.tx
15,11,15,10,130,tools/lab/dense_add32/alta_db/route.tx
15,9,15,8,129,tools/lab/rrg_1046/alta_db/route.tx
14,3,14,2,128,tools/lab/rrg_1010/alta_db/route.tx
15,7,15,6,128,tools/lab/rrg_1046/alta_db/route.tx
17,9,17,8,128,tools/lab/rrg_1008/alta_db/route.tx
