table,src_res,src_x,src_y,dst_res,dst_x,dst_y,source,row_index
master_conduction.csv,RMUX85,14,8,RMUX49,14,12,vendor_recon,2675
master_conduction.csv,RMUX08,2,4,RMUX33,1,4,silicon,2715
harvest_conduction.csv,RMUX85,14,8,RMUX49,14,12,silicon_harvest,65
corpus_conduction.csv,OMUX02,17,1,RMUX21,17,1,corpus_route,18769
corpus_conduction.csv,OMUX08,17,12,RMUX09,17,12,corpus_route,24416
corpus_conduction.csv,OMUX08,18,1,RMUX07,18,1,corpus_route,24424
corpus_conduction.csv,OMUX11,17,12,RMUX09,17,12,corpus_route,27153
corpus_conduction.csv,OMUX26,20,12,RMUX69,20,12,corpus_route,40681
corpus_conduction.csv,OMUX29,20,12,RMUX69,20,12,corpus_route,43232
corpus_conduction.csv,OMUX35,18,1,RMUX57,18,1,corpus_route,48495
corpus_conduction.csv,OMUX38,17,1,RMUX87,17,1,corpus_route,51052
corpus_conduction.csv,OMUX41,17,3,RMUX89,17,3,corpus_route,53755
corpus_conduction.csv,OMUX44,8,1,RMUX73,8,1,corpus_route,55863
corpus_conduction.csv,OMUX47,15,1,RMUX73,15,1,corpus_route,58815
corpus_conduction.csv,OMUX47,17,3,RMUX77,17,3,corpus_route,58972
corpus_conduction.csv,RMUX01,16,1,RMUX07,18,1,corpus_route,61616
corpus_conduction.csv,RMUX02,8,1,RMUX09,8,4,corpus_route,62350
corpus_conduction.csv,RMUX02,14,4,RMUX03,14,8,corpus_route,62514
corpus_conduction.csv,RMUX02,14,7,RMUX03,14,11,corpus_route,62542
corpus_conduction.csv,RMUX08,2,4,RMUX33,1,4,corpus_route,73733
corpus_conduction.csv,RMUX13,15,12,RMUX49,14,12,vendor-ahbrwide32,83594
corpus_conduction.csv,RMUX14,20,5,RMUX57,20,1,corpus_route,86830
corpus_conduction.csv,RMUX15,17,12,RMUX69,20,12,corpus_route,88989
corpus_conduction.csv,RMUX15,19,2,RMUX68,20,2,corpus_route,89143
corpus_conduction.csv,RMUX26,9,4,RMUX09,8,4,corpus_route,110820
corpus_conduction.csv,RMUX26,15,4,RMUX09,11,4,corpus_route,111170
corpus_conduction.csv,RMUX26,18,10,RMUX03,14,10,corpus_route,111603
corpus_conduction.csv,RMUX26,18,12,RMUX09,14,12,corpus_route,111635
corpus_conduction.csv,RMUX26,18,12,RMUX09,17,12,corpus_route,111636
corpus_conduction.csv,RMUX27,15,3,RMUX14,15,1,corpus_route,112883
corpus_conduction.csv,RMUX33,18,1,RMUX44,17,1,corpus_route,125399
corpus_conduction.csv,RMUX33,19,1,RMUX44,17,1,corpus_route,125703
corpus_conduction.csv,RMUX38,3,1,RMUX57,7,1,corpus_route,133295
corpus_conduction.csv,RMUX38,6,1,RMUX57,7,1,corpus_route,133447
corpus_conduction.csv,RMUX38,6,1,RMUX57,10,1,corpus_route,133448
corpus_conduction.csv,RMUX38,12,1,RMUX57,16,1,corpus_route,133766
corpus_conduction.csv,RMUX38,14,1,RMUX57,18,1,corpus_route,133838
corpus_conduction.csv,RMUX38,15,1,RMUX57,18,1,corpus_route,134020
corpus_conduction.csv,RMUX38,16,1,RMUX50,17,1,corpus_route,134200
corpus_conduction.csv,RMUX38,17,1,RMUX50,18,1,corpus_route,134366
corpus_conduction.csv,RMUX43,12,1,RMUX73,8,1,corpus_route,143571
corpus_conduction.csv,RMUX45,11,1,RMUX87,14,1,corpus_route,147534
corpus_conduction.csv,RMUX45,15,12,RMUX92,18,12,corpus_route,148208
corpus_conduction.csv,RMUX49,19,1,RMUX07,18,1,corpus_route,156495
corpus_conduction.csv,RMUX50,14,10,RMUX03,14,8,corpus_route,157452
corpus_conduction.csv,RMUX56,8,1,RMUX27,5,1,corpus_route,169056
corpus_conduction.csv,RMUX56,9,1,RMUX27,5,1,corpus_route,169143
corpus_conduction.csv,RMUX59,1,1,IMUX33,1,1,corpus_route,173879
corpus_conduction.csv,RMUX59,2,1,IMUX31,2,1,corpus_route,173974
corpus_conduction.csv,RMUX61,16,12,RMUX55,20,12,corpus_route,178916
corpus_conduction.csv,RMUX63,14,4,RMUX69,12,4,corpus_route,181875
corpus_conduction.csv,RMUX65,3,1,IMUX31,3,1,corpus_route,184299
corpus_conduction.csv,RMUX74,14,12,RMUX09,17,12,corpus_route,203233
corpus_conduction.csv,RMUX74,15,12,RMUX09,17,12,corpus_route,203383
corpus_conduction.csv,RMUX85,14,8,RMUX49,14,12,corpus_route,223594
corpus_conduction.csv,RMUX85,14,9,RMUX49,14,12,oracle_bram_dual_logic_q,223610
corpus_conduction.csv,RMUX85,14,11,RMUX49,14,12,vendor_portb_logic_oracle,223633
corpus_conduction.csv,RMUX85,20,8,RMUX55,20,12,corpus_route,225113
corpus_conduction.csv,RMUX86,8,1,RMUX57,7,1,corpus_route,225404
corpus_conduction.csv,RMUX86,10,1,RMUX57,7,1,corpus_route,225554
corpus_conduction.csv,RMUX86,12,1,RMUX57,10,1,corpus_route,225715
corpus_conduction.csv,RMUX86,19,1,RMUX50,18,1,corpus_route,226493
corpus_conduction.csv,RMUX86,20,1,RMUX50,18,1,corpus_route,226731
corpus_conduction.csv,RMUX86,20,1,RMUX57,16,1,corpus_route,226737
corpus_conduction.csv,RMUX26,16,10,RMUX03,14,10,corpus_route,257900
corpus_conduction.csv,RMUX50,14,8,RMUX03,14,6,corpus_route,257902
corpus_conduction.csv,RMUX02,14,2,RMUX03,14,6,corpus_route,257914
corpus_conduction.csv,RMUX26,17,10,RMUX03,14,10,corpus_route,257924
corpus_conduction.csv,RMUX26,18,6,RMUX03,14,6,corpus_route,257925
corpus_conduction.csv,RMUX93,15,6,RMUX86,14,6,corpus_route,257945
corpus_conduction.csv,RMUX93,17,6,RMUX86,14,6,corpus_route,257946
corpus_conduction.csv,RMUX02,14,3,RMUX03,14,6,corpus_route,257951
corpus_conduction.csv,RMUX26,16,8,RMUX03,14,8,corpus_route,257968
corpus_conduction.csv,RMUX38,14,3,RMUX61,16,3,corpus_route,257980
corpus_conduction.csv,RMUX74,7,4,RMUX09,11,4,corpus_route,257994
corpus_conduction.csv,RMUX74,8,4,RMUX09,11,4,corpus_route,257995
corpus_conduction.csv,RMUX74,9,4,RMUX09,11,4,corpus_route,257996
