src_res,src_x,src_y,dst_res,dst_x,dst_y,source
OMUX02,14,8,RMUX21,14,8,silicon_ff2
RMUX69,14,8,RMUX93,14,12,silicon_ff2
OMUX02,14,9,IMUX02,14,9,silicon_ff2
RMUX68,10,3,RMUX74,11,3,silicon_ff2
RMUX87,14,5,RMUX69,14,4,silicon_ff2
RMUX08,12,4,RMUX32,14,4,silicon_ff2
RMUX69,14,4,RMUX82,14,8,silicon_ff2
RMUX63,10,4,RMUX68,9,4,silicon_ff2
RMUX68,9,4,RMUX74,11,4,silicon_ff2
RMUX21,14,8,RMUX93,14,4,silicon_ff2
OMUX02,14,9,RMUX21,14,9,silicon_ff2
RMUX82,14,8,IMUX00,14,8,silicon_ff2
RMUX93,14,4,RMUX87,10,4,silicon_ff2
RMUX63,14,4,RMUX63,10,4,silicon_ff2
RMUX74,11,4,RMUX08,12,4,silicon_ff2
RMUX93,14,12,BBMUXE02,13,12,silicon_ff2
RMUX87,10,4,RMUX68,10,3,silicon_ff2
BBMUXE03,13,12,SinkMUXPseudo03,0,5,silicon_ff2
RMUX09,14,3,RMUX39,14,5,silicon_ff2
RMUX87,14,5,RMUX63,14,4,silicon_ff2
RMUX32,14,4,RMUX32,14,8,silicon_ff2
RMUX32,14,8,RMUX26,14,12,silicon_ff2
RMUX26,14,12,BBMUXE03,13,12,silicon_ff2
BBMUXE02,13,12,SinkMUXPseudo02,0,5,silicon_ff2
RMUX21,14,9,RMUX87,14,5,silicon_ff2
RMUX39,14,5,RMUX69,14,8,silicon_ff2
RMUX74,11,3,RMUX09,14,3,silicon_ff2
RMUX69,14,6,RMUX87,14,8,silicon_ff2
RMUX87,14,8,RMUX68,14,7,silicon_ff2
RMUX87,14,7,RMUX69,14,6,silicon_ff2
RMUX39,14,4,RMUX69,14,8,silicon_ff2
RMUX68,14,7,RMUX80,15,7,silicon_ff2
RMUX10,14,9,IMUX00,14,9,silicon_ff2
RMUX92,14,5,RMUX75,14,8,silicon_ff2
OMUX02,14,8,IMUX02,14,8,silicon_ff2
RMUX21,14,8,RMUX87,14,5,silicon_ff2
RMUX80,15,7,RMUX33,15,4,silicon_ff2
RMUX69,14,4,RMUX92,14,5,silicon_ff2
RMUX33,15,4,RMUX39,14,4,silicon_ff2
RMUX75,14,8,RMUX10,14,9,silicon_ff2
RMUX21,14,9,RMUX87,14,7,silicon_ff2
RMUX09,14,5,RMUX44,14,6,silicon_ff2
RMUX08,14,4,RMUX26,15,4,silicon_ff2
RMUX56,18,4,RMUX33,15,4,silicon_ff2
RMUX44,14,6,RMUX75,14,2,silicon_ff2
RMUX20,7,4,RMUX74,6,4,silicon_ff2
OMUX02,14,4,RMUX02,14,4,silicon_ff2
RMUX74,6,4,RMUX08,10,4,silicon_ff2
OMUX02,14,4,IMUX02,14,4,silicon_ff2
RMUX62,18,3,RMUX56,18,4,silicon_ff2
RMUX75,14,2,RMUX10,14,3,silicon_ff2
RMUX10,14,3,IMUX00,14,3,silicon_ff2
OMUX02,14,4,RMUX08,14,4,silicon_ff2
RMUX02,14,4,RMUX09,14,5,silicon_ff2
OMUX02,14,3,RMUX15,14,3,silicon_ff2
RMUX15,14,3,RMUX62,18,3,silicon_ff2
RMUX03,11,4,RMUX20,7,4,silicon_ff2
RMUX08,10,4,RMUX32,14,4,silicon_ff2
RMUX26,15,4,RMUX03,11,4,silicon_ff2
OMUX02,14,5,RMUX21,14,5,silicon_ff2
RMUX21,14,5,RMUX93,14,4,silicon_ff2
RMUX92,6,1,RMUX74,6,4,silicon_ff2
RMUX81,13,3,RMUX28,14,3,silicon_ff2
OMUX02,14,5,IMUX02,14,5,silicon_ff2
RMUX28,14,3,IMUX00,14,3,silicon_ff2
RMUX93,14,1,RMUX93,10,1,silicon_ff2
RMUX68,10,3,RMUX81,13,3,silicon_ff2
RMUX21,14,5,RMUX93,14,1,silicon_ff2
RMUX93,10,1,RMUX93,7,1,silicon_ff2
RMUX93,7,1,RMUX92,6,1,silicon_ff2
RMUX21,14,6,RMUX93,14,4,silicon_ff2
RMUX92,6,2,RMUX74,6,4,silicon_ff2
RMUX69,10,3,RMUX93,10,2,silicon_ff2
RMUX93,7,2,RMUX92,6,2,silicon_ff2
OMUX02,14,6,RMUX21,14,6,silicon_ff2
RMUX87,10,4,RMUX69,10,3,silicon_ff2
RMUX93,10,2,RMUX93,7,2,silicon_ff2
OMUX02,14,6,IMUX02,14,6,silicon_ff2
OMUX02,14,7,RMUX21,14,7,silicon_ff2
RMUX21,14,7,RMUX93,14,4,silicon_ff2
OMUX02,14,7,IMUX02,14,7,silicon_ff2
RMUX87,14,7,RMUX58,14,3,silicon_ff2
RMUX58,14,3,IMUX00,14,3,silicon_ff2
RMUX68,12,2,RMUX75,14,2,silicon_ff2
RMUX87,12,3,RMUX68,12,2,silicon_ff2
RMUX63,14,2,RMUX69,12,2,silicon_ff2
RMUX87,14,6,RMUX63,14,4,silicon_ff2
RMUX69,12,2,RMUX87,12,3,silicon_ff2
RMUX21,14,10,RMUX87,14,6,silicon_ff2
OMUX02,14,10,RMUX21,14,10,silicon_ff2
RMUX87,14,6,RMUX63,14,2,silicon_ff2
OMUX02,14,10,IMUX02,14,10,silicon_ff2
RMUX21,14,11,RMUX87,14,7,silicon_ff2
OMUX02,14,11,RMUX21,14,11,silicon_ff2
RMUX87,14,7,RMUX63,14,4,silicon_ff2
OMUX02,14,11,IMUX02,14,11,silicon_ff2
RMUX62,14,3,RMUX50,14,4,silicon_ff2
OMUX02,16,3,RMUX21,16,3,silicon_ff2
OMUX02,16,3,RMUX15,16,3,silicon_ff2
RMUX63,17,3,RMUX62,14,3,silicon_ff2
OMUX02,16,3,IMUX02,16,3,silicon_ff2
RMUX50,14,4,RMUX09,14,2,silicon_ff2
RMUX21,16,3,RMUX93,16,2,silicon_ff2
RMUX93,16,2,RMUX93,12,2,silicon_ff2
RMUX93,9,2,RMUX92,6,2,silicon_ff2
RMUX93,12,2,RMUX93,9,2,silicon_ff2
RMUX15,16,3,RMUX63,17,3,silicon_ff2
RMUX09,14,2,RMUX28,14,3,silicon_ff2
OMUX02,16,4,RMUX21,16,4,silicon_ff2
RMUX21,16,4,RMUX93,16,1,silicon_ff2
RMUX45,10,3,RMUX82,14,3,silicon_ff2
RMUX93,16,1,RMUX93,12,1,silicon_ff2
RMUX93,9,1,RMUX92,6,1,silicon_ff2
RMUX56,13,3,RMUX33,11,3,silicon_ff2
RMUX21,16,4,RMUX86,16,3,silicon_ff2
RMUX93,12,1,RMUX93,9,1,silicon_ff2
OMUX02,16,4,IMUX02,16,4,silicon_ff2
RMUX33,11,3,RMUX45,10,3,silicon_ff2
RMUX82,14,3,IMUX00,14,3,silicon_ff2
RMUX86,16,3,RMUX56,13,3,silicon_ff2
OMUX02,16,5,RMUX21,16,5,silicon_ff2
RMUX93,16,3,RMUX87,12,3,silicon_ff2
RMUX21,16,5,RMUX93,16,2,silicon_ff2
RMUX21,16,5,RMUX93,16,3,silicon_ff2
OMUX02,16,5,IMUX02,16,5,silicon_ff2
RMUX20,10,4,RMUX74,6,4,silicon_ff2
RMUX50,14,5,RMUX03,14,4,silicon_ff2
OMUX02,16,6,RMUX21,16,6,silicon_ff2
RMUX33,17,6,RMUX44,14,6,silicon_ff2
OMUX02,16,6,IMUX02,16,6,silicon_ff2
RMUX86,16,5,RMUX50,14,5,silicon_ff2
RMUX08,16,6,RMUX33,17,6,silicon_ff2
RMUX03,14,4,RMUX20,10,4,silicon_ff2
RMUX21,16,6,RMUX86,16,5,silicon_ff2
OMUX02,16,6,RMUX08,16,6,silicon_ff2
RMUX21,16,7,RMUX86,16,5,silicon_ff2
OMUX02,16,7,RMUX21,16,7,silicon_ff2
RMUX21,16,7,RMUX93,16,3,silicon_ff2
OMUX02,16,7,IMUX02,16,7,silicon_ff2
RMUX87,16,6,RMUX62,16,2,silicon_ff2
OMUX02,16,8,RMUX21,16,8,silicon_ff2
RMUX26,12,4,RMUX08,11,4,silicon_ff2
RMUX63,16,3,RMUX58,14,3,silicon_ff2
OMUX02,16,8,IMUX02,16,8,silicon_ff2
RMUX87,16,6,RMUX63,16,3,silicon_ff2
RMUX56,16,4,RMUX26,12,4,silicon_ff2
RMUX21,16,8,RMUX87,16,6,silicon_ff2
RMUX08,11,4,RMUX32,14,4,silicon_ff2
RMUX62,16,2,RMUX56,16,4,silicon_ff2
RMUX73,14,4,RMUX22,14,3,silicon_ff2
RMUX86,16,6,RMUX67,14,6,silicon_ff2
OMUX02,16,9,RMUX21,16,9,silicon_ff2
RMUX67,14,6,RMUX73,14,4,silicon_ff2
OMUX02,16,9,IMUX02,16,9,silicon_ff2
RMUX21,16,9,RMUX86,16,6,silicon_ff2
RMUX22,14,3,IMUX00,14,3,silicon_ff2
RMUX21,16,9,RMUX86,16,5,silicon_ff2
RMUX21,14,4,RMUX93,14,1,silicon_ff2
RMUX02,18,3,RMUX13,18,4,silicon_ff2
RMUX25,11,1,RMUX01,11,3,silicon_ff2
OMUX02,18,3,RMUX02,18,3,silicon_ff2
RMUX02,18,3,RMUX03,18,4,silicon_ff2
OMUX02,18,3,IMUX02,18,3,silicon_ff2
RMUX07,11,4,RMUX25,11,1,silicon_ff2
RMUX03,18,4,RMUX21,14,4,silicon_ff2
RMUX13,18,4,RMUX49,15,4,silicon_ff2
RMUX01,11,3,RMUX22,14,3,silicon_ff2
RMUX49,15,4,RMUX07,11,4,silicon_ff2
RMUX46,14,3,IMUX00,14,3,silicon_ff2
OMUX02,18,4,IMUX02,18,4,silicon_ff2
RMUX13,18,4,RMUX49,14,4,silicon_ff2
RMUX31,10,3,RMUX46,14,3,silicon_ff2
OMUX02,18,4,RMUX21,18,4,silicon_ff2
