x,y,z,omux_src,imux_fb,cfg_omux_sels,cfg_imux_group,cfg_imux_sels
18,12,0,OMUX01,IMUX07,1,1,36|45
18,12,2,OMUX07,IMUX15,1,3,37|45
19,11,0,OMUX01,IMUX14,1,3,7|9|12|21|24|33|40|45
19,11,1,OMUX04,IMUX13,1,3,7|9|12|21|24|33|40|45
19,11,2,OMUX07,IMUX00,1,0,2|9
19,11,4,OMUX13,IMUX28,1,7,2|9
19,11,5,OMUX16,IMUX37,1,9,0|11|14|21|30|33|44|45
19,11,6,OMUX19,IMUX04,1,1,4|9
19,11,7,OMUX22,IMUX15,1,3,7|9|12|21|24|33|40|45
19,11,8,OMUX25,IMUX20,1,5,5|9
19,11,10,OMUX31,IMUX38,1,9,0|11|14|21|30|33|44|45
19,11,11,OMUX34,IMUX43,1,10,42|45
19,11,12,OMUX37,IMUX12,1,3,7|9|12|21|24|33|40|45
19,11,13,OMUX40,IMUX51,1,12,43|45
19,11,14,OMUX43,IMUX63,1,15,43|45
19,11,15,OMUX46,IMUX39,1,9,0|11|14|21|30|33|44|45
19,12,0,OMUX01,IMUX38,1,9,6|9|15|21|24|33|41|46
19,12,1,OMUX04,IMUX03,1,0,37|45
19,12,2,OMUX07,IMUX54,1,13,3|9|20|21|25|33|38|45
19,12,3,OMUX10,IMUX11,1,2,38|45
19,12,4,OMUX13,IMUX28,1,7,2|9
19,12,5,OMUX16,IMUX55,1,13,3|9|20|21|25|33|38|45
19,12,6,OMUX19,IMUX52,1,13,3|9|20|21|25|33|38|45
19,12,7,OMUX22,IMUX37,1,9,6|9|15|21|24|33|41|46
19,12,8,OMUX25,IMUX20,1,5,5|9
19,12,10,OMUX31,IMUX36,1,9,6|9|15|21|24|33|41|46
19,12,11,OMUX34,IMUX43,1,10,42|45
19,12,12,OMUX37,IMUX24,1,6,7|9
19,12,14,OMUX43,IMUX63,1,15,43|45
19,12,15,OMUX46,IMUX53,1,13,3|9|20|21|25|33|38|45
19,12,3,OMUX10,IMUX07,1,1,38|45
19,12,1,OMUX04,IMUX11,1,2,36|45
19,12,2,OMUX07,IMUX15,1,3,37|45
