src_res,src_x,src_y,dst_res,dst_x,dst_y,source
BBMUXE05,13,12,SinkMUXPseudo05,0,5,silicon_harvest
RMUX26,16,4,RMUX03,12,4,silicon_harvest
RMUX14,14,12,RMUX57,14,11,silicon_harvest
RMUX87,14,6,RMUX69,14,2,silicon_harvest
BBMUXE04,13,12,SinkMUXPseudo04,0,5,silicon_harvest
RMUX01,15,12,RMUX16,16,12,silicon_harvest
RMUX79,18,8,RMUX25,16,8,silicon_harvest
OMUX11,16,12,RMUX20,16,12,silicon_harvest
RMUX14,16,8,RMUX56,16,4,silicon_harvest
RMUX27,16,12,RMUX14,16,8,silicon_harvest
BBMUXE03,13,12,SinkMUXPseudo03,0,5,silicon_harvest
RMUX32,15,4,RMUX32,15,8,silicon_harvest
RMUX33,17,12,RMUX28,16,12,silicon_harvest
RMUX75,16,11,RMUX10,16,12,silicon_harvest
OMUX35,16,12,RMUX57,16,12,silicon_harvest
RMUX75,14,8,RMUX20,14,12,silicon_harvest
RMUX49,14,12,BBMUXE05,13,12,silicon_harvest
RMUX55,15,4,RMUX25,15,8,silicon_harvest
RMUX44,14,7,RMUX74,14,4,silicon_harvest
RMUX33,15,4,RMUX39,14,4,silicon_harvest
RMUX61,12,4,RMUX55,15,4,silicon_harvest
RMUX25,16,8,RMUX22,16,12,silicon_harvest
RMUX92,14,5,RMUX75,14,8,silicon_harvest
OMUX11,16,12,RMUX14,16,12,silicon_harvest
OMUX20,16,12,OMUX19,16,12,silicon_harvest
RMUX32,14,8,RMUX26,14,12,silicon_harvest
RMUX43,15,12,RMUX94,16,12,silicon_harvest
RMUX81,7,4,RMUX45,10,4,silicon_harvest
RMUX03,15,12,RMUX14,14,12,silicon_harvest
RMUX32,15,8,RMUX43,15,12,silicon_harvest
RMUX45,10,4,RMUX92,14,4,silicon_harvest
RMUX20,8,4,RMUX81,7,4,silicon_harvest
OMUX23,16,12,RMUX44,16,12,silicon_harvest
OMUX31,16,12,IMUX44,16,12,silicon_harvest
RMUX39,16,11,RMUX58,16,12,silicon_harvest
RMUX26,14,12,BBMUXE03,13,12,silicon_harvest
RMUX38,10,4,RMUX61,12,4,silicon_harvest
RMUX26,16,12,RMUX03,15,12,silicon_harvest
RMUX51,16,8,RMUX21,20,8,silicon_harvest
RMUX32,14,4,RMUX32,14,8,silicon_harvest
RMUX10,16,12,IMUX32,16,12,silicon_harvest
RMUX93,14,12,BBMUXE02,13,12,silicon_harvest
RMUX33,11,4,RMUX38,10,4,silicon_harvest
RMUX56,16,4,RMUX26,12,4,silicon_harvest
RMUX21,20,8,RMUX93,20,4,silicon_harvest
RMUX16,16,12,IMUX40,16,12,silicon_harvest
RMUX58,16,12,IMUX00,16,12,silicon_harvest
OMUX17,16,12,RMUX26,16,12,silicon_harvest
RMUX08,11,4,RMUX32,14,4,silicon_harvest
RMUX56,14,4,RMUX33,11,4,silicon_harvest
RMUX20,14,12,BBMUXE04,13,12,silicon_harvest
RMUX14,16,12,RMUX51,16,8,silicon_harvest
RMUX57,16,12,RMUX39,16,11,silicon_harvest
BBMUXE02,13,12,SinkMUXPseudo02,0,5,silicon_harvest
RMUX56,17,4,RMUX32,15,4,silicon_harvest
RMUX57,16,12,RMUX44,16,8,silicon_harvest
OMUX01,16,12,IMUX04,16,12,silicon_harvest
RMUX03,16,9,RMUX21,14,9,silicon_harvest
RMUX22,16,12,IMUX24,16,12,silicon_harvest
OMUX25,16,12,IMUX36,16,12,silicon_harvest
OMUX32,16,12,OMUX31,16,12,silicon_harvest
RMUX26,12,4,RMUX08,11,4,silicon_harvest
RMUX20,15,8,RMUX80,15,8,silicon_harvest
OMUX19,16,12,IMUX28,16,12,silicon_harvest
RMUX80,15,8,RMUX33,15,4,silicon_harvest
RMUX85,14,8,RMUX49,14,12,silicon_harvest
RMUX50,16,12,RMUX03,16,8,silicon_harvest
RMUX27,15,10,RMUX20,15,8,silicon_harvest
OMUX07,16,12,IMUX12,16,12,silicon_harvest
RMUX39,14,4,RMUX69,14,8,silicon_harvest
RMUX80,15,12,RMUX27,15,10,silicon_harvest
OMUX26,16,12,OMUX25,16,12,silicon_harvest
RMUX44,16,12,RMUX75,16,11,silicon_harvest
OMUX14,16,12,OMUX13,16,12,silicon_harvest
RMUX80,16,5,RMUX26,16,4,silicon_harvest
RMUX93,20,4,RMUX86,18,4,silicon_harvest
RMUX20,16,12,RMUX80,15,12,silicon_harvest
RMUX03,12,4,RMUX20,8,4,silicon_harvest
RMUX86,18,4,RMUX56,17,4,silicon_harvest
OMUX29,16,12,RMUX50,16,12,silicon_harvest
RMUX44,16,8,RMUX80,16,5,silicon_harvest
RMUX28,16,12,IMUX08,16,12,silicon_harvest
RMUX74,14,4,RMUX19,18,4,silicon_harvest
RMUX19,18,4,RMUX79,18,8,silicon_harvest
OMUX20,16,12,RMUX27,16,12,silicon_harvest
RMUX50,16,12,RMUX03,16,9,silicon_harvest
RMUX69,14,8,RMUX93,14,12,silicon_harvest
RMUX03,16,8,RMUX14,14,8,silicon_harvest
RMUX25,15,8,RMUX01,15,12,silicon_harvest
OMUX08,16,12,OMUX07,16,12,silicon_harvest
OMUX13,16,12,IMUX20,16,12,silicon_harvest
RMUX14,14,8,RMUX56,14,4,silicon_harvest
RMUX92,14,4,RMUX85,14,8,silicon_harvest
RMUX08,16,12,RMUX33,17,12,silicon_harvest
OMUX05,16,12,RMUX08,16,12,silicon_harvest
RMUX94,16,12,IMUX16,16,12,silicon_harvest
OMUX02,16,12,OMUX01,16,12,silicon_harvest
RMUX69,14,2,RMUX92,14,5,silicon_harvest
RMUX21,14,9,RMUX87,14,6,silicon_harvest
RMUX57,14,11,RMUX44,14,7,silicon_harvest
OMUX07,14,9,IMUX12,14,9,silicon_harvest
RMUX63,18,1,RMUX69,14,1,silicon_harvest
OMUX14,14,9,OMUX13,14,9,silicon_harvest
RMUX58,14,9,IMUX08,14,9,silicon_harvest
RMUX08,13,2,RMUX32,16,2,silicon_harvest
RMUX03,14,4,RMUX20,10,4,silicon_harvest
RMUX92,14,5,RMUX85,14,8,silicon_harvest
RMUX68,14,9,RMUX80,18,9,silicon_harvest
RMUX27,14,9,RMUX21,14,5,silicon_harvest
OMUX23,14,9,RMUX27,14,9,silicon_harvest
RMUX50,13,1,RMUX08,13,2,silicon_harvest
RMUX39,14,5,RMUX69,14,7,silicon_harvest
OMUX05,14,9,RMUX15,14,9,silicon_harvest
RMUX08,10,4,RMUX32,14,4,silicon_harvest
