pin,x,y,z,field,raw_byte,bit,witness
PIN_13,19,13,3,CFG_PULL_UP,87,7,image-differential
PIN_14,19,13,2,CFG_PULL_UP,88,5,image-differential
PIN_15,19,13,1,CFG_PULL_UP,89,3,image-differential
PIN_16,19,13,0,CFG_PULL_UP,90,1,silicon
PIN_17,18,13,3,CFG_PULL_UP,92,7,image-differential
PIN_18,18,13,0,CFG_PULL_UP,95,1,image-differential
PIN_19,17,13,3,CFG_PULL_UP,97,7,image-differential
PIN_20,17,13,2,CFG_PULL_UP,98,5,image-differential
PIN_22,14,13,0,CFG_PULL_UP,112,7,image-differential
PIN_25,0,4,0,CFG_PULL_UP,9,7,image-differential
PIN_26,0,4,1,CFG_PULL_UP,10,5,image-differential
PIN_27,0,4,2,CFG_PULL_UP,11,3,image-differential
PIN_28,0,4,3,CFG_PULL_UP,12,1,image-differential
PIN_30,0,2,5,CFG_PULL_UP,30,5,image-differential
PIN_31,0,1,0,CFG_PULL_UP,31,3,image-differential
PIN_37,1,0,0,CFG_PULL_UP,38,6,image-differential
PIN_38,1,0,1,CFG_PULL_UP,39,4,image-differential
PIN_39,17,0,0,CFG_PULL_UP,57,0,image-differential
PIN_40,17,0,1,CFG_PULL_UP,59,6,image-differential
PIN_41,17,0,2,CFG_PULL_UP,60,4,image-differential
PIN_42,18,0,0,CFG_PULL_UP,62,0,image-differential
PIN_43,18,0,1,CFG_PULL_UP,64,6,image-differential
PIN_26,0,4,1,CFG_OPEN_DRAIN,10,7,silicon
