x,y,iomux,rmux,feedable
0,2,0,30,1
0,2,1,36,1
0,2,2,12,1
0,2,3,0,1
0,2,4,18,1
0,2,5,24,1
0,3,0,0,1
0,3,1,18,1
0,3,2,6,1
0,3,3,24,1
0,3,4,30,1
0,3,5,12,1
0,4,0,18,1
0,4,1,6,1
0,4,2,24,1
0,4,3,12,1
0,4,4,0,1
0,4,5,30,1
6,0,0,24,1
6,0,3,16,1
7,0,0,0,1
7,0,1,16,1
7,0,3,12,1
8,0,0,24,1
8,0,1,28,1
8,0,3,20,1
16,13,0,8,1
16,13,1,28,1
16,13,2,20,1
16,13,3,0,1
17,0,0,28,1
17,0,1,8,1
17,0,2,4,1
18,0,0,0,1
18,0,1,20,1
18,0,3,28,1
19,0,1,12,1
19,0,3,20,1
19,13,0,4,1
20,0,0,0,1
20,0,2,12,1
20,13,1,16,1
20,13,2,4,1
20,13,3,24,1
22,1,2,18,1
22,1,3,24,1
22,1,4,12,1
