x,y,iomux,rmux,feedable,packages,confirmed_bonded
0,4,0,18,1,AGRV2KL48,1
0,4,2,24,1,AGRV2KL48,1
0,4,3,12,1,AGRV2KL48,1
0,4,4,0,1,AGRV2KL48,1
0,2,0,30,1,AGRV2KL48,0
0,2,1,36,1,AGRV2KL48,0
0,2,2,12,1,AGRV2KL48,0
0,2,3,0,1,AGRV2KL48,0
0,2,4,18,1,AGRV2KL48,0
0,2,5,24,1,AGRV2KL48,0
0,3,0,0,1,AGRV2KL48,0
0,3,1,18,1,AGRV2KL48,0
0,3,2,6,1,AGRV2KL48,0
0,3,3,24,1,AGRV2KL48,0
0,3,4,30,1,AGRV2KL48,0
0,3,5,12,1,AGRV2KL48,0
0,4,1,6,1,AGRV2KL48,0
0,4,5,30,1,AGRV2KL48,0
6,0,0,24,1,AGRV2KL48,0
6,0,3,16,1,AGRV2KL48,0
7,0,0,0,1,AGRV2KL48,0
7,0,1,16,1,AGRV2KL48,0
7,0,3,12,1,AGRV2KL48,0
8,0,0,24,1,AGRV2KL48,0
8,0,1,28,1,AGRV2KL48,0
8,0,3,20,1,AGRV2KL48,0
16,13,0,8,1,AGRV2KL48,0
16,13,1,28,1,AGRV2KL48,0
16,13,2,20,1,AGRV2KL48,0
16,13,3,0,1,AGRV2KL48,0
17,0,0,28,1,AGRV2KL48,0
17,0,1,8,1,AGRV2KL48,0
17,0,2,4,1,AGRV2KL48,0
18,0,0,0,1,AGRV2KL48,0
