src_x,src_y,src_res,dst_x,dst_y,dst_res
14,13,RMUX00,14,13,IOMUX02
14,13,RMUX04,14,13,IOMUX00
14,13,RMUX08,14,13,IOMUX00
14,13,RMUX16,14,13,IOMUX02
17,13,RMUX00,17,13,IOMUX03
17,13,RMUX08,17,13,IOMUX02
17,13,RMUX08,17,13,IOMUX03
18,13,RMUX00,18,13,IOMUX03
18,13,RMUX16,18,13,IOMUX00
18,13,RMUX20,18,13,IOMUX03
18,13,RMUX28,18,13,IOMUX00
19,13,RMUX00,19,13,IOMUX02
19,13,RMUX08,19,13,IOMUX00
19,13,RMUX08,19,13,IOMUX03
19,13,RMUX12,19,13,IOMUX00
19,13,RMUX12,19,13,IOMUX01
19,13,RMUX16,19,13,IOMUX01
19,13,RMUX16,19,13,IOMUX02
19,13,RMUX24,19,13,IOMUX03
20,13,RMUX12,20,13,IOMUX02
20,13,RMUX16,20,13,IOMUX03
20,13,RMUX20,20,13,IOMUX03
20,13,RMUX24,20,13,IOMUX01
20,13,RMUX28,20,13,IOMUX01
20,13,RMUX28,20,13,IOMUX02
