src_res,src_x,src_y,dst_res,dst_x,dst_y,source
OMUX02,2,1,RMUX15,2,1,silicon
RMUX15,2,1,RMUX69,6,1,silicon
RMUX69,6,1,RMUX92,6,2,silicon
RMUX92,6,2,RMUX74,6,4,silicon
RMUX74,6,4,RMUX19,10,4,silicon
RMUX19,10,4,BBMUXS02,10,5,silicon
BBMUXS02,10,5,SinkMUXPseudo143,0,5,silicon
OMUX02,2,1,RMUX08,2,1,silicon
RMUX08,2,1,RMUX33,3,1,silicon
RMUX33,3,1,RMUX28,2,1,silicon
RMUX28,2,1,IMUX00,2,1,silicon
OMUX02,4,1,RMUX15,4,1,silicon
RMUX15,4,1,RMUX69,6,1,silicon
OMUX02,4,1,RMUX08,4,1,silicon
RMUX08,4,1,RMUX33,5,1,silicon
RMUX33,5,1,RMUX28,4,1,silicon
RMUX28,4,1,IMUX00,4,1,silicon
OMUX02,10,1,RMUX02,10,1,silicon
RMUX02,10,1,RMUX03,10,4,silicon
RMUX03,10,4,RMUX20,7,4,silicon
RMUX20,7,4,RMUX74,6,4,silicon
OMUX02,10,1,RMUX08,10,1,silicon
RMUX08,10,1,RMUX33,11,1,silicon
RMUX33,11,1,RMUX28,10,1,silicon
RMUX28,10,1,IMUX00,10,1,silicon
OMUX02,12,1,RMUX02,12,1,silicon
RMUX02,12,1,RMUX03,12,4,silicon
RMUX03,12,4,RMUX20,8,4,silicon
RMUX20,8,4,RMUX74,6,4,silicon
OMUX02,12,1,RMUX19,12,1,silicon
RMUX19,12,1,RMUX73,12,2,silicon
RMUX73,12,2,RMUX22,12,1,silicon
RMUX22,12,1,IMUX00,12,1,silicon
OMUX02,14,1,RMUX02,14,1,silicon
RMUX02,14,1,RMUX03,14,4,silicon
RMUX03,14,4,RMUX20,10,4,silicon
RMUX20,10,4,RMUX74,6,4,silicon
OMUX02,14,1,RMUX08,14,1,silicon
RMUX08,14,1,RMUX33,15,1,silicon
RMUX33,15,1,RMUX28,14,1,silicon
RMUX28,14,1,IMUX00,14,1,silicon
OMUX02,18,1,RMUX19,18,1,silicon
RMUX19,18,1,RMUX73,18,2,silicon
RMUX73,18,2,RMUX22,18,1,silicon
RMUX22,18,1,IMUX00,18,1,silicon
OMUX02,18,1,RMUX02,18,1,silicon
RMUX02,18,1,RMUX03,18,3,silicon
RMUX03,18,3,RMUX20,14,3,silicon
RMUX20,14,3,RMUX75,10,3,silicon
RMUX75,10,3,RMUX20,10,4,silicon
OMUX02,20,1,RMUX19,20,1,silicon
RMUX19,20,1,RMUX73,20,2,silicon
RMUX73,20,2,RMUX22,20,1,silicon
RMUX22,20,1,IMUX00,20,1,silicon
OMUX02,20,1,RMUX02,20,1,silicon
RMUX02,20,1,RMUX03,20,5,silicon
RMUX03,20,5,RMUX20,16,5,silicon
RMUX20,16,5,RMUX80,14,5,silicon
RMUX80,14,5,RMUX26,14,4,silicon
RMUX26,14,4,RMUX03,10,4,silicon
OMUX02,2,2,RMUX08,2,2,silicon
RMUX08,2,2,RMUX33,3,2,silicon
RMUX33,3,2,RMUX28,2,2,silicon
RMUX28,2,2,IMUX00,2,2,silicon
OMUX02,2,2,RMUX02,2,2,silicon
RMUX02,2,2,RMUX03,2,4,silicon
RMUX03,2,4,RMUX15,1,4,silicon
RMUX15,1,4,RMUX68,2,4,silicon
RMUX68,2,4,RMUX74,6,4,silicon
OMUX02,6,2,RMUX19,6,2,silicon
RMUX19,6,2,RMUX73,6,3,silicon
RMUX73,6,3,RMUX22,6,2,silicon
RMUX22,6,2,IMUX00,6,2,silicon
OMUX02,6,2,RMUX21,6,2,silicon
RMUX21,6,2,RMUX92,6,2,silicon
OMUX02,8,2,RMUX08,8,2,silicon
RMUX08,8,2,RMUX33,9,2,silicon
RMUX33,9,2,RMUX28,8,2,silicon
RMUX28,8,2,IMUX00,8,2,silicon
OMUX02,8,2,RMUX02,8,2,silicon
RMUX02,8,2,RMUX03,8,4,silicon
RMUX03,8,4,RMUX20,7,4,silicon
OMUX02,10,2,RMUX10,10,2,silicon
RMUX10,10,2,IMUX00,10,2,silicon
OMUX02,10,2,RMUX02,10,2,silicon
RMUX02,10,2,RMUX03,10,4,silicon
OMUX02,12,2,RMUX19,12,2,silicon
RMUX19,12,2,RMUX73,12,3,silicon
RMUX73,12,3,RMUX22,12,2,silicon
RMUX22,12,2,IMUX00,12,2,silicon
OMUX02,12,2,RMUX02,12,2,silicon
RMUX02,12,2,RMUX03,12,4,silicon
OMUX02,14,2,RMUX19,14,2,silicon
RMUX19,14,2,RMUX73,14,3,silicon
RMUX73,14,3,RMUX22,14,2,silicon
RMUX22,14,2,IMUX00,14,2,silicon
OMUX02,14,2,RMUX02,14,2,silicon
RMUX02,14,2,RMUX03,14,4,silicon
OMUX02,20,2,RMUX19,20,2,silicon
RMUX19,20,2,RMUX73,20,3,silicon
RMUX73,20,3,RMUX22,20,2,silicon
RMUX22,20,2,IMUX00,20,2,silicon
OMUX02,20,2,RMUX02,20,2,silicon
RMUX02,20,2,RMUX03,20,4,silicon
RMUX03,20,4,RMUX20,17,4,silicon
RMUX20,17,4,RMUX74,13,4,silicon
RMUX74,13,4,RMUX03,14,4,silicon
OMUX02,6,3,RMUX21,6,3,silicon
RMUX21,6,3,RMUX92,6,2,silicon
OMUX02,6,3,RMUX19,6,3,silicon
RMUX19,6,3,RMUX73,6,4,silicon
RMUX73,6,4,RMUX22,6,3,silicon
RMUX22,6,3,IMUX00,6,3,silicon
OMUX02,20,3,RMUX19,20,3,silicon
RMUX19,20,3,RMUX73,20,4,silicon
RMUX73,20,4,RMUX22,20,3,silicon
RMUX22,20,3,IMUX00,20,3,silicon
OMUX02,20,3,RMUX08,20,3,silicon
RMUX08,20,3,RMUX26,19,3,silicon
RMUX26,19,3,RMUX03,15,3,silicon
RMUX03,15,3,RMUX20,11,3,silicon
RMUX20,11,3,RMUX75,7,3,silicon
RMUX75,7,3,RMUX20,7,4,silicon
RMUX15,2,4,RMUX68,3,4,silicon
RMUX68,3,4,RMUX74,6,4,silicon
OMUX02,2,4,RMUX15,2,4,silicon
RMUX15,2,4,RMUX63,3,4,silicon
RMUX63,3,4,RMUX58,2,4,silicon
RMUX58,2,4,IMUX00,2,4,silicon
RMUX15,4,4,RMUX68,5,4,silicon
RMUX68,5,4,RMUX74,6,4,silicon
OMUX02,4,4,RMUX15,4,4,silicon
RMUX15,4,4,RMUX63,5,4,silicon
RMUX63,5,4,RMUX58,4,4,silicon
RMUX58,4,4,IMUX00,4,4,silicon
OMUX02,10,4,RMUX15,10,4,silicon
RMUX15,10,4,RMUX63,11,4,silicon
RMUX63,11,4,RMUX58,10,4,silicon
RMUX58,10,4,IMUX00,10,4,silicon
OMUX02,10,4,RMUX19,10,4,silicon
RMUX08,14,4,RMUX33,15,4,silicon
RMUX33,15,4,RMUX28,14,4,silicon
RMUX28,14,4,IMUX00,14,4,silicon
OMUX02,14,4,RMUX08,14,4,silicon
RMUX08,14,4,RMUX26,15,4,silicon
RMUX26,15,4,RMUX03,11,4,silicon
RMUX03,11,4,RMUX20,7,4,silicon
OMUX02,20,5,RMUX19,20,5,silicon
RMUX19,20,5,RMUX73,20,6,silicon
RMUX73,20,6,RMUX22,20,5,silicon
RMUX22,20,5,IMUX00,20,5,silicon
OMUX02,20,5,RMUX21,20,5,silicon
RMUX21,20,5,RMUX86,20,4,silicon
RMUX86,20,4,RMUX56,16,4,silicon
RMUX56,16,4,RMUX26,12,4,silicon
RMUX26,12,4,RMUX03,8,4,silicon
OMUX02,16,6,RMUX21,16,6,silicon
RMUX21,16,6,RMUX86,16,5,silicon
RMUX86,16,5,RMUX50,14,5,silicon
RMUX50,14,5,RMUX03,14,4,silicon
OMUX02,16,6,RMUX15,16,6,silicon
RMUX15,16,6,RMUX63,17,6,silicon
RMUX63,17,6,RMUX58,16,6,silicon
RMUX58,16,6,IMUX00,16,6,silicon
OMUX02,18,6,RMUX21,18,6,silicon
RMUX21,18,6,RMUX86,18,5,silicon
