src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,evidence
X13Y11_BufMUX00,X13Y11_InputMUX01,mcu,13,11,InputMUX1,0,,vendor-ahbraddr32
X13Y11_BufMUX01,X13Y11_InputMUX00,mcu,13,11,InputMUX0,0,0,vendor-ahbraddr32
X13Y11_BufMUX02,X13Y11_InputMUX03,mcu,13,11,InputMUX3,0,,vendor-ahbraddr32
X13Y11_BufMUX03,X13Y11_InputMUX02,mcu,13,11,InputMUX2,0,0,vendor-ahbraddr32
X13Y11_BufMUX04,X13Y11_InputMUX05,mcu,13,11,InputMUX5,0,,vendor-ahbraddr32
X13Y11_BufMUX05,X13Y11_InputMUX04,mcu,13,11,InputMUX4,0,0,vendor-ahbraddr32
X13Y11_BufMUX06,X13Y11_InputMUX07,mcu,13,11,InputMUX7,0,,vendor-ahbraddr32
X13Y11_BufMUX07,X13Y11_InputMUX06,mcu,13,11,InputMUX6,0,0,vendor-ahbraddr32
X13Y11_BufMUX08,X13Y11_InputMUX09,mcu,13,11,InputMUX9,0,,vendor-ahbraddr32
X13Y11_BufMUX09,X13Y11_InputMUX08,mcu,13,11,InputMUX8,0,0,vendor-ahbraddr32
X13Y11_BufMUX10,X13Y11_InputMUX11,mcu,13,11,InputMUX11,0,,vendor-ahbraddr32
X13Y11_BufMUX11,X13Y11_InputMUX10,mcu,13,11,InputMUX10,0,0,vendor-ahbraddr32
X13Y11_BufMUX12,X14Y11_RMUX03,fabric,14,11,CFG_RMUX0,30;31;32;33;34;35;36;37;38;39,30;37,vendor-ahbraddr32
X13Y11_BufMUX13,X14Y11_RMUX13,fabric,14,11,CFG_RMUX2,10;11;12;13;14;15;16;17;18;19,12;17,vendor-ahbraddr32
X13Y11_BufMUX14,X14Y11_RMUX33,fabric,14,11,CFG_RMUX5,30;31;32;33;34;35;36;37;38;39,30;37,vendor-ahbraddr32
X13Y11_BufMUX15,X14Y11_RMUX26,fabric,14,11,CFG_RMUX4,20;21;22;23;24;25;26;27;28;29,22;27,vendor-ahbraddr32
X13Y11_BufMUX16,X14Y11_RMUX49,fabric,14,11,CFG_RMUX8,10;11;12;13;14;15;16;17;18;19,10;17,vendor-ahbraddr32
X13Y11_BufMUX17,X14Y11_RMUX48,fabric,14,11,CFG_RMUX8,0;1;2;3;4;5;6;7;8;9,2;7,vendor-ahbraddr32
X13Y11_InputMUX00,X14Y11_RMUX17,fabric,14,11,CFG_RMUX2,50;51;52;53;54;55;56;57;58;59,52;58,vendor-ahbraddr32
X13Y11_InputMUX01,X14Y11_RMUX19,fabric,14,11,CFG_RMUX3,10;11;12;13;14;15;16;17;18;19,12;18,vendor-ahbraddr32
X13Y11_InputMUX02,X15Y11_RMUX20,fabric,15,11,CFG_RMUX3,20;21;22;23;24;25;26;27;28;29,23;28,vendor-ahbraddr32
X13Y11_InputMUX03,X14Y11_RMUX25,fabric,14,11,CFG_RMUX4,10;11;12;13;14;15;16;17;18;19,12;18,vendor-ahbraddr32
X13Y11_InputMUX04,X14Y11_RMUX43,fabric,14,11,CFG_RMUX7,10;11;12;13;14;15;16;17;18;19,12;18,vendor-ahbraddr32
X13Y11_InputMUX05,X14Y11_RMUX44,fabric,14,11,CFG_RMUX7,20;21;22;23;24;25;26;27;28;29,22;28,vendor-ahbraddr32
