logical_bit,step,src_wire,dst_wire,evidence
0,0,X13Y10_BufMUX02,X13Y10_InputMUX02,vendor-ahbrwide32
0,1,X13Y10_InputMUX02,X14Y10_RMUX15,vendor-ahbrwide32
0,2,X14Y10_RMUX15,X15Y10_RMUX62,vendor-ahbrwide32
0,3,X15Y10_RMUX62,X15Y12_RMUX56,vendor-ahbrwide32
0,4,X15Y12_RMUX56,X14Y12_RMUX43,vendor-ahbrwide32
0,5,X14Y12_RMUX43,X13Y12_BBMUXE02,vendor-ahbrwide32
0,6,X13Y12_BBMUXE02,X0Y5_SinkMUXPseudo02,vendor-ahbrwide32
1,0,X13Y10_BufMUX03,X13Y10_InputMUX03,vendor-ahbrwide32
1,1,X13Y10_InputMUX03,X14Y10_RMUX47,vendor-ahbrwide32
1,2,X14Y10_RMUX47,X14Y10_IMUX15,vendor-ahbrwide32
1,3,X14Y10_IMUX15,X14Y10_alta_slice03,vendor-ahbrwide32
1,4,X14Y10_alta_slice03,X14Y10_OMUX09,vendor-ahbrwide32
1,5,X14Y10_OMUX09,X15Y10_RMUX02,vendor-ahbrwide32
1,6,X15Y10_RMUX02,X15Y12_RMUX13,vendor-ahbrwide32
1,7,X15Y12_RMUX13,X14Y12_RMUX49,vendor-ahbrwide32
1,8,X14Y12_RMUX49,X13Y12_BBMUXE03,vendor-ahbrwide32
1,9,X13Y12_BBMUXE03,X0Y5_SinkMUXPseudo03,vendor-ahbrwide32
2,0,X13Y10_BufMUX04,X13Y10_InputMUX04,vendor-ahbrwide32
2,1,X13Y10_InputMUX04,X15Y10_RMUX32,vendor-ahbrwide32
2,2,X15Y10_RMUX32,X15Y12_RMUX26,vendor-ahbrwide32
2,3,X15Y12_RMUX26,X14Y12_RMUX03,vendor-ahbrwide32
2,4,X14Y12_RMUX03,X13Y12_BBMUXE04,vendor-ahbrwide32
2,5,X13Y12_BBMUXE04,X0Y5_SinkMUXPseudo04,vendor-ahbrwide32
