src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,evidence
X13Y10_BufMUX02,X13Y10_InputMUX02,mcu,13,10,InputMUX2,0,,vendor-ahbrwide32
X13Y10_BufMUX03,X13Y10_InputMUX03,mcu,13,10,InputMUX3,0,0,vendor-ahbrwide32
X13Y10_BufMUX04,X13Y10_InputMUX04,mcu,13,10,InputMUX4,0,,vendor-ahbrwide32
X13Y10_BufMUX05,X13Y10_InputMUX05,mcu,13,10,InputMUX5,0,0,vendor-ahbrwide32
X13Y10_BufMUX06,X13Y10_InputMUX07,mcu,13,10,InputMUX7,0,,vendor-ahbrwide32
X13Y10_BufMUX07,X13Y10_InputMUX06,mcu,13,10,InputMUX6,0,0,vendor-ahbrwide32
X13Y10_BufMUX08,X13Y10_InputMUX09,mcu,13,10,InputMUX9,0,,vendor-ahbrwide32
X13Y10_BufMUX09,X13Y10_InputMUX08,mcu,13,10,InputMUX8,0,0,vendor-ahbrwide32
X13Y10_BufMUX10,X13Y10_InputMUX11,mcu,13,10,InputMUX11,0,,vendor-ahbrwide32
X13Y10_BufMUX11,X13Y10_InputMUX10,mcu,13,10,InputMUX10,0,0,vendor-ahbrwide32
X13Y10_BufMUX12,X14Y10_RMUX07,fabric,14,10,CFG_RMUX1,10;11;12;13;14;15;16;17;18;19,10;17,vendor-ahbrwide32
X13Y10_BufMUX13,X14Y10_RMUX02,fabric,14,10,CFG_RMUX0,20;21;22;23;24;25;26;27;28;29,22;27,vendor-ahbrwide32
X13Y10_BufMUX14,X14Y10_RMUX25,fabric,14,10,CFG_RMUX4,10;11;12;13;14;15;16;17;18;19,10;17,vendor-ahbrwide32
X13Y10_BufMUX15,X14Y10_RMUX32,fabric,14,10,CFG_RMUX5,20;21;22;23;24;25;26;27;28;29,22;27,vendor-ahbrwide32
X13Y10_BufMUX16,X14Y10_RMUX62,fabric,14,10,CFG_RMUX10,20;21;22;23;24;25;26;27;28;29,20;27,vendor-ahbrwide32
X13Y10_BufMUX17,X14Y10_RMUX69,fabric,14,10,CFG_RMUX11,30;31;32;33;34;35;36;37;38;39,32;37,vendor-ahbrwide32
X13Y10_BufMUX18,X14Y10_RMUX75,fabric,14,10,CFG_RMUX12,30;31;32;33;34;35;36;37;38;39,30;37,vendor-ahbrwide32
X13Y10_BufMUX19,X14Y10_RMUX85,fabric,14,10,CFG_RMUX14,10;11;12;13;14;15;16;17;18;19,12;17,vendor-ahbrwide32
X13Y10_InputMUX02,X14Y10_RMUX15,fabric,14,10,CFG_RMUX2,30;31;32;33;34;35;36;37;38;39,32;38,vendor-ahbrwide32
X13Y10_InputMUX03,X14Y10_RMUX47,fabric,14,10,CFG_RMUX7,50;51;52;53;54;55;56;57;58;59,52;58,vendor-ahbrwide32
X13Y10_InputMUX04,X15Y10_RMUX32,fabric,15,10,CFG_RMUX5,20;21;22;23;24;25;26;27;28;29,23;28,vendor-ahbrwide32
X13Y10_InputMUX05,X14Y10_RMUX39,fabric,14,10,CFG_RMUX6,30;31;32;33;34;35;36;37;38;39,32;38,vendor-ahbrwide32
X13Y10_InputMUX06,X14Y10_RMUX55,fabric,14,10,CFG_RMUX9,10;11;12;13;14;15;16;17;18;19,12;18,vendor-ahbrwide32
X13Y10_InputMUX07,X14Y10_RMUX50,fabric,14,10,CFG_RMUX8,20;21;22;23;24;25;26;27;28;29,22;28,vendor-ahbrwide32
X13Y10_InputMUX08,X15Y10_RMUX69,fabric,15,10,CFG_RMUX11,30;31;32;33;34;35;36;37;38;39,33;38,vendor-ahbrwide32
X13Y10_InputMUX09,X14Y10_RMUX95,fabric,14,10,CFG_RMUX15,50;51;52;53;54;55;56;57;58;59,52;58,vendor-ahbrwide32
X13Y10_InputMUX10,X14Y10_RMUX80,fabric,14,10,CFG_RMUX13,20;21;22;23;24;25;26;27;28;29,22;28,vendor-ahbrwide32
X13Y10_InputMUX11,X14Y10_RMUX92,fabric,14,10,CFG_RMUX15,20;21;22;23;24;25;26;27;28;29,22;28,vendor-ahbrwide32
X13Y9_BufMUX00,X13Y9_InputMUX01,mcu,13,9,InputMUX1,0,,vendor-ahbrwide32
X13Y9_BufMUX01,X13Y9_InputMUX00,mcu,13,9,InputMUX0,0,0,vendor-ahbrwide32
X13Y9_BufMUX02,X13Y9_InputMUX02,mcu,13,9,InputMUX2,0,,vendor-ahbrwide32
X13Y9_BufMUX03,X13Y9_InputMUX03,mcu,13,9,InputMUX3,0,0,vendor-ahbrwide32
X13Y9_BufMUX04,X13Y9_InputMUX04,mcu,13,9,InputMUX4,0,,vendor-ahbrwide32
X13Y9_BufMUX05,X13Y9_InputMUX05,mcu,13,9,InputMUX5,0,0,vendor-ahbrwide32
X13Y9_BufMUX06,X13Y9_InputMUX07,mcu,13,9,InputMUX7,0,,vendor-ahbrwide32
X13Y9_BufMUX07,X13Y9_InputMUX06,mcu,13,9,InputMUX6,0,0,vendor-ahbrwide32
X13Y9_BufMUX08,X13Y9_InputMUX08,mcu,13,9,InputMUX8,0,,vendor-ahbrwide32
X13Y9_BufMUX09,X13Y9_InputMUX09,mcu,13,9,InputMUX9,0,0,vendor-ahbrwide32
X13Y9_BufMUX10,X13Y9_InputMUX10,mcu,13,9,InputMUX10,0,,vendor-ahbrwide32
X13Y9_BufMUX11,X13Y9_InputMUX11,mcu,13,9,InputMUX11,0,0,vendor-ahbrwide32
X13Y9_BufMUX12,X14Y9_RMUX09,fabric,14,9,CFG_RMUX1,30;31;32;33;34;35;36;37;38;39,30;37,vendor-ahbrwide32
X13Y9_BufMUX13,X14Y9_RMUX19,fabric,14,9,CFG_RMUX3,10;11;12;13;14;15;16;17;18;19,12;17,vendor-ahbrwide32
X13Y9_InputMUX00,X14Y9_RMUX23,fabric,14,9,CFG_RMUX3,50;51;52;53;54;55;56;57;58;59,52;58,vendor-ahbrwide32
X13Y9_InputMUX01,X14Y9_RMUX02,fabric,14,9,CFG_RMUX0,20;21;22;23;24;25;26;27;28;29,22;28,vendor-ahbrwide32
X13Y9_InputMUX02,X14Y9_RMUX15,fabric,14,9,CFG_RMUX2,30;31;32;33;34;35;36;37;38;39,32;38,vendor-ahbrwide32
X13Y9_InputMUX03,X14Y9_RMUX47,fabric,14,9,CFG_RMUX7,50;51;52;53;54;55;56;57;58;59,52;58,vendor-ahbrwide32
X13Y9_InputMUX04,X14Y9_RMUX32,fabric,14,9,CFG_RMUX5,20;21;22;23;24;25;26;27;28;29,22;28,vendor-ahbrwide32
X13Y9_InputMUX05,X14Y9_RMUX39,fabric,14,9,CFG_RMUX6,30;31;32;33;34;35;36;37;38;39,32;38,vendor-ahbrwide32
X13Y9_InputMUX06,X14Y9_RMUX55,fabric,14,9,CFG_RMUX9,10;11;12;13;14;15;16;17;18;19,12;18,vendor-ahbrwide32
X13Y9_InputMUX07,X14Y9_RMUX50,fabric,14,9,CFG_RMUX8,20;21;22;23;24;25;26;27;28;29,22;28,vendor-ahbrwide32
X13Y9_InputMUX08,X14Y9_RMUX62,fabric,14,9,CFG_RMUX10,20;21;22;23;24;25;26;27;28;29,22;28,vendor-ahbrwide32
X13Y9_InputMUX09,X15Y9_RMUX79,fabric,15,9,CFG_RMUX13,10;11;12;13;14;15;16;17;18;19,13;18,vendor-ahbrwide32
X13Y9_InputMUX10,X14Y9_RMUX85,fabric,14,9,CFG_RMUX14,10;11;12;13;14;15;16;17;18;19,12;18,vendor-ahbrwide32
X13Y9_InputMUX11,X14Y9_RMUX92,fabric,14,9,CFG_RMUX15,20;21;22;23;24;25;26;27;28;29,22;28,vendor-ahbrwide32
X14Y10_OMUX05,X14Y10_RMUX19,fabric,14,10,CFG_RMUX3,10;11;12;13;14;15;16;17;18;19,11;17,vendor-ahbrwide32
X14Y10_OMUX09,X15Y10_RMUX02,fabric,15,10,CFG_RMUX0,20;21;22;23;24;25;26;27;28;29,23;27,vendor-ahbrwide32
X14Y10_RMUX02,X14Y12_RMUX18,fabric,14,12,CFG_RMUX3,0;1;2;3;4;5;6;7;8;9,0;9,vendor-ahbrwide32
X14Y10_RMUX07,X14Y8_RMUX25,fabric,14,8,CFG_RMUX4,10;11;12;13;14;15;16;17;18;19,14;19,vendor-ahbrwide32
X14Y10_RMUX15,X15Y10_RMUX62,fabric,15,10,CFG_RMUX10,20;21;22;23;24;25;26;27;28;29,22;28,vendor-ahbrwide32
X14Y10_RMUX19,X14Y12_RMUX79,fabric,14,12,CFG_RMUX13,10;11;12;13;14;15;16;17;18;19,10;19,vendor-ahbrwide32
X14Y10_RMUX25,X14Y12_RMUX00,fabric,14,12,CFG_RMUX0,0;1;2;3;4;5;6;7;8;9,0;9,vendor-ahbrwide32
X14Y10_RMUX32,X14Y11_RMUX43,fabric,14,11,CFG_RMUX7,10;11;12;13;14;15;16;17;18;19,16;18,vendor-ahbrwide32
X14Y10_RMUX39,X14Y12_RMUX63,fabric,14,12,CFG_RMUX10,30;31;32;33;34;35;36;37;38;39,30;39,vendor-ahbrwide32
X14Y10_RMUX47,X14Y10_IMUX15,fabric,14,10,CFG_IMUX3,36;37;38;39;40;41;42;43;44;45;46;47,36;47,vendor-ahbrwide32
X14Y10_RMUX50,X14Y8_RMUX02,fabric,14,8,CFG_RMUX0,20;21;22;23;24;25;26;27;28;29,24;29,vendor-ahbrwide32
X14Y10_RMUX55,X14Y12_RMUX41,fabric,14,12,CFG_RMUX6,50;51;52;53;54;55;56;57;58;59,50;59,vendor-ahbrwide32
X14Y10_RMUX62,X14Y11_RMUX56,fabric,14,11,CFG_RMUX9,20;21;22;23;24;25;26;27;28;29,26;28,vendor-ahbrwide32
X14Y10_RMUX69,X14Y11_RMUX86,fabric,14,11,CFG_RMUX14,20;21;22;23;24;25;26;27;28;29,26;28,vendor-ahbrwide32
X14Y10_RMUX75,X14Y11_RMUX20,fabric,14,11,CFG_RMUX3,20;21;22;23;24;25;26;27;28;29,26;28,vendor-ahbrwide32
