signal,logical_bit,flow,step,src_wire,dst_wire,evidence
mem_ahb_hreadyout,0,fabric_to_mcu,0,X13Y11_BufMUX14,X14Y11_RMUX25,vendor-ahb-controls
mem_ahb_hreadyout,0,fabric_to_mcu,1,X14Y11_RMUX25,X14Y12_RMUX17,vendor-ahb-controls
mem_ahb_hreadyout,0,fabric_to_mcu,2,X14Y12_RMUX17,X14Y12_IMUX63,vendor-ahb-controls
mem_ahb_hreadyout,0,fabric_to_mcu,3,X14Y12_IMUX63,X14Y12_alta_slice15,vendor-ahb-controls
mem_ahb_hreadyout,0,fabric_to_mcu,4,X14Y12_alta_slice15,X14Y12_OMUX47,vendor-ahb-controls
mem_ahb_hreadyout,0,fabric_to_mcu,5,X14Y12_OMUX47,X14Y12_RMUX86,vendor-ahb-controls
mem_ahb_hreadyout,0,fabric_to_mcu,6,X14Y12_RMUX86,X13Y12_BBMUXE00,vendor-ahb-controls
mem_ahb_hreadyout,0,fabric_to_mcu,7,X13Y12_BBMUXE00,X0Y5_SinkMUXPseudo00,vendor-ahb-controls
mem_ahb_hresp,0,fabric_to_mcu,0,X13Y11_BufMUX15,X14Y11_RMUX32,vendor-ahb-controls
mem_ahb_hresp,0,fabric_to_mcu,1,X14Y11_RMUX32,X14Y12_RMUX33,vendor-ahb-controls
mem_ahb_hresp,0,fabric_to_mcu,2,X14Y12_RMUX33,X13Y12_BBMUXE01,vendor-ahb-controls
mem_ahb_hresp,0,fabric_to_mcu,3,X13Y12_BBMUXE01,X0Y5_SinkMUXPseudo01,vendor-ahb-controls
mem_ahb_hwrite,0,mcu_to_fabric,0,X13Y12_BufMUX09,X13Y12_InputMUX09,vendor-ahb-controls
mem_ahb_hwrite,0,mcu_to_fabric,1,X13Y12_InputMUX09,X14Y12_RMUX79,vendor-ahb-controls
mem_ahb_hwrite,0,mcu_to_fabric,2,X14Y12_RMUX79,X13Y12_BBMUXE02,vendor-ahb-controls
mem_ahb_hwrite,0,mcu_to_fabric,3,X13Y12_BBMUXE02,X0Y5_SinkMUXPseudo02,vendor-ahb-controls
mem_ahb_hready,0,mcu_to_fabric,0,X13Y12_BufMUX00,X13Y12_InputMUX01,vendor-ahb-controls
mem_ahb_hready,0,mcu_to_fabric,1,X13Y12_InputMUX01,X14Y12_RMUX03,vendor-ahb-controls
mem_ahb_hready,0,mcu_to_fabric,2,X14Y12_RMUX03,X13Y12_BBMUXE03,vendor-ahb-controls
mem_ahb_hready,0,mcu_to_fabric,3,X13Y12_BBMUXE03,X0Y5_SinkMUXPseudo03,vendor-ahb-controls
mem_ahb_htrans,0,mcu_to_fabric,0,X13Y12_BufMUX01,X13Y12_InputMUX00,vendor-ahb-controls
mem_ahb_htrans,0,mcu_to_fabric,1,X13Y12_InputMUX00,X14Y12_RMUX23,vendor-ahb-controls
mem_ahb_htrans,0,mcu_to_fabric,2,X14Y12_RMUX23,X14Y12_IMUX03,vendor-ahb-controls
mem_ahb_htrans,0,mcu_to_fabric,3,X14Y12_IMUX03,X14Y12_alta_slice00,vendor-ahb-controls
mem_ahb_htrans,0,mcu_to_fabric,4,X14Y12_alta_slice00,X14Y12_OMUX02,vendor-ahb-controls
mem_ahb_htrans,0,mcu_to_fabric,5,X14Y12_OMUX02,X14Y12_RMUX13,vendor-ahb-controls
mem_ahb_htrans,0,mcu_to_fabric,6,X14Y12_RMUX13,X13Y12_BBMUXE04,vendor-ahb-controls
mem_ahb_htrans,0,mcu_to_fabric,7,X13Y12_BBMUXE04,X0Y5_SinkMUXPseudo04,vendor-ahb-controls
mem_ahb_htrans,1,mcu_to_fabric,0,X13Y12_BufMUX02,X13Y12_InputMUX02,vendor-ahb-controls
mem_ahb_htrans,1,mcu_to_fabric,0,X13Y12_BufMUX02,X13Y12_InputMUX03,x13y12-egress-silicon-20260824
mem_ahb_htrans,1,mcu_to_fabric,1,X13Y12_InputMUX02,X14Y12_RMUX20,vendor-ahb-controls
mem_ahb_htrans,1,mcu_to_fabric,2,X14Y12_RMUX20,X13Y12_BBMUXE05,vendor-ahb-controls
