src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,evidence
X13Y11_BufMUX14,X14Y11_RMUX25,fabric,14,11,CFG_RMUX4,10;11;12;13;14;15;16;17;18;19,10;17,vendor-ahb-controls
X13Y11_BufMUX15,X14Y11_RMUX32,fabric,14,11,CFG_RMUX5,20;21;22;23;24;25;26;27;28;29,22;27,vendor-ahb-controls
X13Y12_BufMUX00,X13Y12_InputMUX01,mcu,13,12,InputMUX1,0,,vendor-ahb-controls
X13Y12_BufMUX01,X13Y12_InputMUX00,mcu,13,12,InputMUX0,0,0,vendor-ahb-controls
X13Y12_BufMUX02,X13Y12_InputMUX02,mcu,13,12,InputMUX2,0,,vendor-ahb-controls
X13Y12_BufMUX03,X13Y12_InputMUX03,mcu,13,12,InputMUX3,0,0,vendor-ahb-controls
X13Y12_BufMUX04,X13Y12_InputMUX04,mcu,13,12,InputMUX4,0,,vendor-ahb-controls
X13Y12_BufMUX05,X13Y12_InputMUX05,mcu,13,12,InputMUX5,0,0,vendor-ahb-controls
X13Y12_BufMUX06,X13Y12_InputMUX07,mcu,13,12,InputMUX7,0,,vendor-ahb-controls
X13Y12_BufMUX07,X13Y12_InputMUX06,mcu,13,12,InputMUX6,0,0,vendor-ahb-controls
X13Y12_BufMUX08,X13Y12_InputMUX08,mcu,13,12,InputMUX8,0,,vendor-ahb-controls
X13Y12_BufMUX09,X13Y12_InputMUX09,mcu,13,12,InputMUX9,0,0,vendor-ahb-controls
X13Y12_InputMUX00,X14Y12_RMUX23,fabric,14,12,CFG_RMUX3,50;51;52;53;54;55;56;57;58;59,52;58,vendor-ahb-controls
X13Y12_InputMUX01,X14Y12_RMUX03,fabric,14,12,CFG_RMUX0,30;31;32;33;34;35;36;37;38;39,32;38,vendor-ahb-controls
X13Y12_InputMUX02,X14Y12_RMUX20,fabric,14,12,CFG_RMUX3,20;21;22;23;24;25;26;27;28;29,22;28,vendor-ahb-controls
X13Y12_InputMUX03,X14Y12_RMUX41,fabric,14,12,CFG_RMUX6,50;51;52;53;54;55;56;57;58;59,52;58,vendor-ahb-controls
X13Y12_InputMUX04,X14Y12_RMUX26,fabric,14,12,CFG_RMUX4,20;21;22;23;24;25;26;27;28;29,22;28,vendor-ahb-controls
X13Y12_InputMUX05,X14Y12_RMUX38,fabric,14,12,CFG_RMUX6,20;21;22;23;24;25;26;27;28;29,22;28,vendor-ahb-controls
X13Y12_InputMUX06,X14Y12_RMUX49,fabric,14,12,CFG_RMUX8,10;11;12;13;14;15;16;17;18;19,12;18,vendor-ahb-controls
X13Y12_InputMUX07,X14Y12_RMUX56,fabric,14,12,CFG_RMUX9,20;21;22;23;24;25;26;27;28;29,22;28,vendor-ahb-controls
X13Y12_InputMUX08,X14Y12_RMUX63,fabric,14,12,CFG_RMUX10,30;31;32;33;34;35;36;37;38;39,32;38,vendor-ahb-controls
X13Y12_InputMUX09,X14Y12_RMUX79,fabric,14,12,CFG_RMUX13,10;11;12;13;14;15;16;17;18;19,12;18,vendor-ahb-controls
X14Y11_RMUX25,X14Y12_RMUX17,fabric,14,12,CFG_RMUX2,50;51;52;53;54;55;56;57;58;59,56;58,vendor-ahb-controls
X14Y11_RMUX32,X14Y12_RMUX33,fabric,14,12,CFG_RMUX5,30;31;32;33;34;35;36;37;38;39,36;38,vendor-ahb-controls
X14Y12_OMUX02,X14Y12_RMUX13,fabric,14,12,CFG_RMUX2,10;11;12;13;14;15;16;17;18;19,10;17,vendor-ahb-controls
X14Y12_OMUX41,X14Y12_RMUX93,fabric,14,12,CFG_RMUX15,30;31;32;33;34;35;36;37;38;39,31;37,vendor-ahb-controls
X14Y12_OMUX47,X14Y12_RMUX86,fabric,14,12,CFG_RMUX14,20;21;22;23;24;25;26;27;28;29,23;27,vendor-ahb-controls
X14Y12_RMUX17,X14Y12_IMUX63,fabric,14,12,CFG_IMUX15,36;37;38;39;40;41;42;43;44;45;46;47,40;46,vendor-ahb-controls
X14Y12_RMUX23,X14Y12_IMUX03,fabric,14,12,CFG_IMUX0,36;37;38;39;40;41;42;43;44;45;46;47,41;46,vendor-ahb-controls
X14Y12_RMUX38,X15Y12_RMUX56,fabric,15,12,CFG_RMUX9,20;21;22;23;24;25;26;27;28;29,22;28,vendor-ahb-controls
X14Y12_RMUX41,X14Y12_IMUX55,fabric,14,12,CFG_IMUX13,36;37;38;39;40;41;42;43;44;45;46;47,44;46,vendor-ahb-controls
X15Y12_RMUX56,X14Y12_RMUX43,fabric,14,12,CFG_RMUX7,10;11;12;13;14;15;16;17;18;19,15;17,vendor-ahb-controls
