net,step,src_wire,dst_wire,evidence
write_data_q,0,X14Y10_OMUX02,X14Y10_RMUX19,ahb-pipelined-data-projection-silicon
write_data_q,1,X14Y10_RMUX19,X14Y11_RMUX95,ahb-pipelined-data-projection-silicon
write_data_q,2,X14Y11_RMUX95,X14Y11_IMUX29,ahb-pipelined-data-projection-silicon
write_pending_q,0,X14Y12_OMUX02,X14Y12_RMUX08,ahb-pipelined-token-toggle-silicon
write_pending_q,1,X14Y12_RMUX08,X15Y12_RMUX37,ahb-pipelined-token-toggle-silicon
write_pending_q,2,X15Y12_RMUX37,X15Y11_RMUX48,ahb-pipelined-token-toggle-silicon
write_pending_q,3,X15Y11_RMUX48,X14Y11_IMUX24,ahb-pipelined-token-toggle-silicon
write_commit_q,0,X14Y11_OMUX19,X14Y11_IMUX28,ahb-pipelined-token-toggle-silicon
scratch_feedback,0,X14Y11_OMUX22,X14Y11_IMUX31,direct-d-x14y11-slice7-silicon
scratch_readback,0,X14Y11_OMUX21,X15Y11_RMUX26,ahb-pipelined-data-projection-silicon
scratch_readback,1,X15Y11_RMUX26,X14Y11_RMUX19,ahb-pipelined-data-projection-silicon
scratch_readback,2,X14Y11_RMUX19,X14Y12_RMUX79,ahb-pipelined-data-projection-silicon
scratch_readback,3,X14Y12_RMUX79,X13Y12_BBMUXE02,ahb-pipelined-data-projection-silicon
scratch_readback,4,X13Y12_BBMUXE02,X0Y5_SinkMUXPseudo02,ahb-pipelined-data-projection-silicon
hreadyout_constant,0,X14Y12_OMUX47,X14Y12_RMUX86,ahb-pipelined-protocol-transfer-silicon
hreadyout_constant,1,X14Y12_RMUX86,X13Y12_BBMUXE00,ahb-pipelined-protocol-transfer-silicon
hreadyout_constant,2,X13Y12_BBMUXE00,X0Y5_SinkMUXPseudo00,ahb-pipelined-protocol-transfer-silicon
hresp_constant,0,X15Y12_OMUX26,X15Y12_RMUX56,ahb-pipelined-protocol-transfer-silicon
hresp_constant,1,X15Y12_RMUX56,X14Y12_RMUX33,ahb-pipelined-protocol-transfer-silicon
hresp_constant,2,X14Y12_RMUX33,X13Y12_BBMUXE01,ahb-pipelined-protocol-transfer-silicon
hresp_constant,3,X13Y12_BBMUXE01,X0Y5_SinkMUXPseudo01,ahb-pipelined-protocol-transfer-silicon
