signal,logical_bit,flow,step,src_wire,dst_wire,evidence
mem_ahb_hwrite,0,mcu_to_fabric,0,X13Y12_BufMUX09,X13Y12_InputMUX09,ahb-write-qualifier-silicon
mem_ahb_hwrite,0,mcu_to_fabric,1,X13Y12_InputMUX09,X14Y12_RMUX73,ahb-write-qualifier-silicon
mem_ahb_hwrite,0,mcu_to_fabric,2,X14Y12_RMUX73,X14Y11_RMUX07,ahb-write-qualifier-silicon
mem_ahb_hwrite,0,mcu_to_fabric,3,X14Y11_RMUX07,X14Y12_RMUX46,ahb-write-qualifier-silicon
mem_ahb_hwrite,0,mcu_to_fabric,4,X14Y12_RMUX46,X14Y12_IMUX00,ahb-write-qualifier-silicon
mem_ahb_htrans,1,mcu_to_fabric,0,X13Y12_BufMUX02,X13Y12_InputMUX02,ahb-write-qualifier-silicon
mem_ahb_htrans,1,mcu_to_fabric,1,X13Y12_InputMUX02,X14Y12_RMUX21,ahb-write-qualifier-silicon
mem_ahb_htrans,1,mcu_to_fabric,2,X14Y12_RMUX21,X14Y11_RMUX87,ahb-write-qualifier-silicon
mem_ahb_htrans,1,mcu_to_fabric,3,X14Y11_RMUX87,X14Y12_RMUX59,ahb-write-qualifier-silicon
mem_ahb_htrans,1,mcu_to_fabric,4,X14Y12_RMUX59,X14Y12_IMUX01,ahb-write-qualifier-silicon
