src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,evidence
X13Y12_BufMUX09,X13Y12_InputMUX09,mcu,13,12,InputMUX9,0,0,ahb-write-qualifier-silicon
X13Y12_InputMUX09,X14Y12_RMUX73,fabric,14,12,CFG_RMUX12,10;11;12;13;14;15;16;17;18;19,12;18,ahb-write-qualifier-silicon
X14Y12_RMUX73,X14Y11_RMUX07,fabric,14,11,CFG_RMUX1,10;11;12;13;14;15;16;17;18;19,13;19,ahb-write-qualifier-silicon
X14Y11_RMUX07,X14Y12_RMUX46,fabric,14,12,CFG_RMUX7,40;41;42;43;44;45;46;47;48;49,42;49,ahb-write-qualifier-silicon
X14Y12_RMUX46,X14Y12_IMUX00,fabric,14,12,CFG_IMUX0,0;1;2;3;4;5;6;7;8;9;10;11,0;11,ahb-write-qualifier-silicon
X13Y12_BufMUX02,X13Y12_InputMUX02,mcu,13,12,InputMUX2,0,,ahb-write-qualifier-silicon
X13Y12_InputMUX02,X14Y12_RMUX21,fabric,14,12,CFG_RMUX3,30;31;32;33;34;35;36;37;38;39,32;38,ahb-write-qualifier-silicon
X14Y12_RMUX21,X14Y11_RMUX87,fabric,14,11,CFG_RMUX14,30;31;32;33;34;35;36;37;38;39,33;39,ahb-write-qualifier-silicon
X14Y11_RMUX87,X14Y12_RMUX59,fabric,14,12,CFG_RMUX9,50;51;52;53;54;55;56;57;58;59,52;59,ahb-write-qualifier-silicon
X14Y12_RMUX59,X14Y12_IMUX01,fabric,14,12,CFG_IMUX0,12;13;14;15;16;17;18;19;20;21;22;23,14;23,ahb-write-qualifier-silicon
