signal,step,src_wire,dst_wire,evidence
ext_dma_DMACBREQ[0],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-dma-request0-shared
ext_dma_DMACBREQ[0],1,X14Y12_RMUX21,X14Y8_RMUX87,vendor-dma-request0-shared
ext_dma_DMACBREQ[0],2,X14Y8_RMUX87,X14Y4_RMUX63,vendor-dma-request0-shared
ext_dma_DMACBREQ[0],3,X14Y4_RMUX63,X10Y4_RMUX63,vendor-dma-request0-shared
ext_dma_DMACBREQ[0],4,X10Y4_RMUX63,X6Y4_RMUX63,vendor-dma-request0-shared
ext_dma_DMACBREQ[0],5,X6Y4_RMUX63,X3Y4_RMUX69,vendor-dma-request0-shared
ext_dma_DMACBREQ[0],6,X3Y4_RMUX69,X3Y5_BBMUXS00,vendor-dma-request0-shared
ext_dma_DMACBREQ[0],7,X3Y5_BBMUXS00,X0Y5_SinkMUXPseudo199,vendor-dma-request0-shared
ext_dma_DMACLBREQ[0],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-dma-request0-shared
ext_dma_DMACLBREQ[0],1,X14Y12_RMUX21,X14Y8_RMUX87,vendor-dma-request0-shared
ext_dma_DMACLBREQ[0],2,X14Y8_RMUX87,X14Y4_RMUX63,vendor-dma-request0-shared
ext_dma_DMACLBREQ[0],3,X14Y4_RMUX63,X10Y4_RMUX63,vendor-dma-request0-shared
ext_dma_DMACLBREQ[0],4,X10Y4_RMUX63,X6Y4_RMUX63,vendor-dma-request0-shared
ext_dma_DMACLBREQ[0],5,X6Y4_RMUX63,X3Y4_RMUX69,vendor-dma-request0-shared
ext_dma_DMACLBREQ[0],6,X3Y4_RMUX69,X3Y5_BBMUXS04,vendor-dma-request0-shared
ext_dma_DMACLBREQ[0],7,X3Y5_BBMUXS04,X0Y5_SinkMUXPseudo203,vendor-dma-request0-shared
ext_dma_DMACSREQ[0],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-dma-request0-shared
ext_dma_DMACSREQ[0],1,X14Y12_RMUX21,X14Y8_RMUX87,vendor-dma-request0-shared
ext_dma_DMACSREQ[0],2,X14Y8_RMUX87,X14Y4_RMUX63,vendor-dma-request0-shared
ext_dma_DMACSREQ[0],3,X14Y4_RMUX63,X10Y4_RMUX63,vendor-dma-request0-shared
ext_dma_DMACSREQ[0],4,X10Y4_RMUX63,X6Y4_RMUX63,vendor-dma-request0-shared
ext_dma_DMACSREQ[0],5,X6Y4_RMUX63,X2Y4_RMUX62,vendor-dma-request0-shared
ext_dma_DMACSREQ[0],6,X2Y4_RMUX62,X2Y5_BBMUXS00,vendor-dma-request0-shared
ext_dma_DMACSREQ[0],7,X2Y5_BBMUXS00,X0Y5_SinkMUXPseudo207,vendor-dma-request0-shared
ext_dma_DMACLSREQ[0],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-dma-request0-shared
ext_dma_DMACLSREQ[0],1,X14Y12_RMUX21,X14Y8_RMUX87,vendor-dma-request0-shared
ext_dma_DMACLSREQ[0],2,X14Y8_RMUX87,X14Y4_RMUX63,vendor-dma-request0-shared
ext_dma_DMACLSREQ[0],3,X14Y4_RMUX63,X10Y4_RMUX63,vendor-dma-request0-shared
ext_dma_DMACLSREQ[0],4,X10Y4_RMUX63,X6Y4_RMUX63,vendor-dma-request0-shared
ext_dma_DMACLSREQ[0],5,X6Y4_RMUX63,X2Y4_RMUX62,vendor-dma-request0-shared
ext_dma_DMACLSREQ[0],6,X2Y4_RMUX62,X2Y5_BBMUXS04,vendor-dma-request0-shared
ext_dma_DMACLSREQ[0],7,X2Y5_BBMUXS04,X0Y5_SinkMUXPseudo211,vendor-dma-request0-shared
