signal,step,src_wire,dst_wire,evidence
ext_dma_DMACBREQ[0],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-dma-request-all-shared
ext_dma_DMACBREQ[0],1,X14Y12_RMUX21,X14Y8_RMUX87,vendor-dma-request-all-shared
ext_dma_DMACBREQ[0],2,X14Y8_RMUX87,X14Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACBREQ[0],3,X14Y4_RMUX63,X10Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACBREQ[0],4,X10Y4_RMUX63,X6Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACBREQ[0],5,X6Y4_RMUX63,X3Y4_RMUX69,vendor-dma-request-all-shared
ext_dma_DMACBREQ[0],6,X3Y4_RMUX69,X3Y5_BBMUXS00,vendor-dma-request-all-shared
ext_dma_DMACBREQ[0],7,X3Y5_BBMUXS00,X0Y5_SinkMUXPseudo199,vendor-dma-request-all-shared
ext_dma_DMACBREQ[1],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-dma-request-all-shared
ext_dma_DMACBREQ[1],1,X14Y12_RMUX21,X14Y8_RMUX87,vendor-dma-request-all-shared
ext_dma_DMACBREQ[1],2,X14Y8_RMUX87,X14Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACBREQ[1],3,X14Y4_RMUX63,X10Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACBREQ[1],4,X10Y4_RMUX63,X6Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACBREQ[1],5,X6Y4_RMUX63,X3Y4_RMUX69,vendor-dma-request-all-shared
ext_dma_DMACBREQ[1],6,X3Y4_RMUX69,X3Y5_BBMUXS01,vendor-dma-request-all-shared
ext_dma_DMACBREQ[1],7,X3Y5_BBMUXS01,X0Y5_SinkMUXPseudo200,vendor-dma-request-all-shared
ext_dma_DMACBREQ[2],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-dma-request-all-shared
ext_dma_DMACBREQ[2],1,X14Y12_RMUX21,X14Y8_RMUX87,vendor-dma-request-all-shared
ext_dma_DMACBREQ[2],2,X14Y8_RMUX87,X14Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACBREQ[2],3,X14Y4_RMUX63,X10Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACBREQ[2],4,X10Y4_RMUX63,X6Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACBREQ[2],5,X6Y4_RMUX63,X3Y4_RMUX69,vendor-dma-request-all-shared
ext_dma_DMACBREQ[2],6,X3Y4_RMUX69,X3Y5_BBMUXS02,vendor-dma-request-all-shared
ext_dma_DMACBREQ[2],7,X3Y5_BBMUXS02,X0Y5_SinkMUXPseudo201,vendor-dma-request-all-shared
ext_dma_DMACBREQ[3],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-dma-request-all-shared
ext_dma_DMACBREQ[3],1,X14Y12_RMUX21,X14Y8_RMUX87,vendor-dma-request-all-shared
ext_dma_DMACBREQ[3],2,X14Y8_RMUX87,X14Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACBREQ[3],3,X14Y4_RMUX63,X10Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACBREQ[3],4,X10Y4_RMUX63,X6Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACBREQ[3],5,X6Y4_RMUX63,X3Y4_RMUX69,vendor-dma-request-all-shared
ext_dma_DMACBREQ[3],6,X3Y4_RMUX69,X3Y5_BBMUXS03,vendor-dma-request-all-shared
ext_dma_DMACBREQ[3],7,X3Y5_BBMUXS03,X0Y5_SinkMUXPseudo202,vendor-dma-request-all-shared
ext_dma_DMACLBREQ[0],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-dma-request-all-shared
ext_dma_DMACLBREQ[0],1,X14Y12_RMUX21,X14Y8_RMUX87,vendor-dma-request-all-shared
ext_dma_DMACLBREQ[0],2,X14Y8_RMUX87,X14Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACLBREQ[0],3,X14Y4_RMUX63,X10Y4_RMUX63,vendor-dma-request-all-shared
