src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,evidence
X10Y4_RMUX63,X6Y4_RMUX63,fabric,6,4,CFG_RMUX10,30;31;32;33;34;35;36;37;38;39,31;38,vendor-dma-request-all-shared
X14Y12_OMUX02,X14Y12_RMUX21,fabric,14,12,CFG_RMUX3,30;31;32;33;34;35;36;37;38;39,30;37,vendor-dma-request-all-shared
X14Y12_RMUX21,X14Y8_RMUX87,fabric,14,8,CFG_RMUX14,30;31;32;33;34;35;36;37;38;39,36;39,vendor-dma-request-all-shared
X14Y4_RMUX63,X10Y4_RMUX63,fabric,10,4,CFG_RMUX10,30;31;32;33;34;35;36;37;38;39,31;38,vendor-dma-request-all-shared
X14Y8_RMUX87,X14Y4_RMUX63,fabric,14,4,CFG_RMUX10,30;31;32;33;34;35;36;37;38;39,36;39,vendor-dma-request-all-shared
X2Y4_RMUX69,X2Y5_BBMUXS00,mcu,2,5,BBMUXS0,0;1;2;3;4;5;6;7;8,3;6,vendor-dma-request-all-shared
X2Y4_RMUX69,X2Y5_BBMUXS01,mcu,2,5,BBMUXS1,0;1;2;3;4;5;6;7;8,3;6,vendor-dma-request-all-shared
X2Y4_RMUX69,X2Y5_BBMUXS02,mcu,2,5,BBMUXS2,0;1;2;3;4;5;6;7;8,3;6,vendor-dma-request-all-shared
X2Y4_RMUX69,X2Y5_BBMUXS03,mcu,2,5,BBMUXS3,0;1;2;3;4;5;6;7;8,3;6,vendor-dma-request-all-shared
X2Y4_RMUX69,X2Y5_BBMUXS04,mcu,2,5,BBMUXS4,0;1;2;3;4;5;6;7;8,3;6,vendor-dma-request-all-shared
X2Y4_RMUX69,X2Y5_BBMUXS05,mcu,2,5,BBMUXS5,0;1;2;3;4;5;6;7;8,3;6,vendor-dma-request-all-shared
X2Y4_RMUX69,X2Y5_BBMUXS06,mcu,2,5,BBMUXS6,0;1;2;3;4;5;6;7;8,3;6,vendor-dma-request-all-shared
X2Y4_RMUX69,X2Y5_BBMUXS07,mcu,2,5,BBMUXS7,0;1;2;3;4;5;6;7;8,3;6,vendor-dma-request-all-shared
X3Y4_RMUX69,X3Y5_BBMUXS00,mcu,3,5,BBMUXS0,0;1;2;3;4;5;6;7;8,3;6,vendor-dma-request-all-shared
X3Y4_RMUX69,X3Y5_BBMUXS01,mcu,3,5,BBMUXS1,0;1;2;3;4;5;6;7;8,3;6,vendor-dma-request-all-shared
X3Y4_RMUX69,X3Y5_BBMUXS02,mcu,3,5,BBMUXS2,0;1;2;3;4;5;6;7;8,3;6,vendor-dma-request-all-shared
X3Y4_RMUX69,X3Y5_BBMUXS03,mcu,3,5,BBMUXS3,0;1;2;3;4;5;6;7;8,3;6,vendor-dma-request-all-shared
X3Y4_RMUX69,X3Y5_BBMUXS04,mcu,3,5,BBMUXS4,0;1;2;3;4;5;6;7;8,3;6,vendor-dma-request-all-shared
X3Y4_RMUX69,X3Y5_BBMUXS05,mcu,3,5,BBMUXS5,0;1;2;3;4;5;6;7;8,3;6,vendor-dma-request-all-shared
X3Y4_RMUX69,X3Y5_BBMUXS06,mcu,3,5,BBMUXS6,0;1;2;3;4;5;6;7;8,3;6,vendor-dma-request-all-shared
X3Y4_RMUX69,X3Y5_BBMUXS07,mcu,3,5,BBMUXS7,0;1;2;3;4;5;6;7;8,3;6,vendor-dma-request-all-shared
X6Y4_RMUX63,X2Y4_RMUX69,fabric,2,4,CFG_RMUX11,30;31;32;33;34;35;36;37;38;39,31;38,vendor-dma-request-all-shared
X6Y4_RMUX63,X3Y4_RMUX69,fabric,3,4,CFG_RMUX11,30;31;32;33;34;35;36;37;38;39,30;38,vendor-dma-request-all-shared
