signal,step,src_wire,dst_wire,evidence
ext_dma_DMACCLR[0],0,X1Y5_BufMUX02,X1Y5_InputMUX03,vendor-dma-response-all
ext_dma_DMACCLR[0],1,X1Y5_InputMUX03,X1Y4_RMUX41,vendor-dma-response-all
ext_dma_DMACCLR[0],2,X1Y4_RMUX41,X1Y4_IMUX35,vendor-dma-response-all
ext_dma_DMACCLR[1],0,X1Y5_BufMUX03,X1Y5_InputMUX02,vendor-dma-response-all
ext_dma_DMACCLR[1],1,X1Y5_InputMUX02,X1Y4_RMUX11,vendor-dma-response-all
ext_dma_DMACCLR[1],2,X1Y4_RMUX11,X1Y4_IMUX51,vendor-dma-response-all
ext_dma_DMACCLR[2],0,X1Y5_BufMUX04,X1Y5_InputMUX05,vendor-dma-response-all
ext_dma_DMACCLR[2],1,X1Y5_InputMUX05,X1Y4_RMUX35,vendor-dma-response-all
ext_dma_DMACCLR[2],2,X1Y4_RMUX35,X1Y4_IMUX19,vendor-dma-response-all
ext_dma_DMACCLR[3],0,X1Y5_BufMUX05,X1Y5_InputMUX04,vendor-dma-response-all
ext_dma_DMACCLR[3],1,X1Y5_InputMUX04,X1Y4_RMUX27,vendor-dma-response-all
ext_dma_DMACCLR[3],2,X1Y4_RMUX27,X1Y4_RMUX29,vendor-dma-response-all
ext_dma_DMACCLR[3],3,X1Y4_RMUX29,X1Y4_IMUX11,vendor-dma-response-all
ext_dma_DMACTC[0],0,X1Y5_BufMUX06,X1Y5_InputMUX06,vendor-dma-response-all
ext_dma_DMACTC[0],1,X1Y5_InputMUX06,X1Y4_RMUX70,vendor-dma-response-all
ext_dma_DMACTC[0],2,X1Y4_RMUX70,X1Y4_IMUX34,vendor-dma-response-all
ext_dma_DMACTC[1],0,X1Y5_BufMUX07,X1Y5_InputMUX07,vendor-dma-response-all
ext_dma_DMACTC[1],1,X1Y5_InputMUX07,X1Y4_RMUX50,vendor-dma-response-all
ext_dma_DMACTC[1],2,X1Y4_RMUX50,X1Y4_RMUX52,vendor-dma-response-all
ext_dma_DMACTC[1],3,X1Y4_RMUX52,X1Y4_IMUX50,vendor-dma-response-all
ext_dma_DMACTC[2],0,X1Y5_BufMUX08,X1Y5_InputMUX09,vendor-dma-response-all
ext_dma_DMACTC[2],1,X1Y5_InputMUX09,X1Y4_RMUX94,vendor-dma-response-all
ext_dma_DMACTC[2],2,X1Y4_RMUX94,X1Y4_IMUX18,vendor-dma-response-all
ext_dma_DMACTC[3],0,X1Y5_BufMUX09,X1Y5_InputMUX08,vendor-dma-response-all
ext_dma_DMACTC[3],1,X1Y5_InputMUX08,X1Y4_RMUX58,vendor-dma-response-all
ext_dma_DMACTC[3],2,X1Y4_RMUX58,X1Y4_IMUX10,vendor-dma-response-all
