signal,src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,evidence
ext_dma_DMACCLR[0],X1Y5_BufMUX02,X1Y5_InputMUX03,mcu,1,5,InputMUX3,0,,vendor-dma-response-all
ext_dma_DMACCLR[0],X1Y5_InputMUX03,X1Y4_RMUX41,fabric,1,4,CFG_RMUX6,50;51;52;53;54;55;56;57;58;59,53;59,vendor-dma-response-all
ext_dma_DMACCLR[0],X1Y4_RMUX41,X1Y4_IMUX35,fabric,1,4,CFG_IMUX8,36;37;38;39;40;41;42;43;44;45;46;47,44;46,vendor-dma-response-all
ext_dma_DMACCLR[1],X1Y5_BufMUX03,X1Y5_InputMUX02,mcu,1,5,InputMUX2,0,0,vendor-dma-response-all
ext_dma_DMACCLR[1],X1Y5_InputMUX02,X1Y4_RMUX11,fabric,1,4,CFG_RMUX1,50;51;52;53;54;55;56;57;58;59,53;59,vendor-dma-response-all
ext_dma_DMACCLR[1],X1Y4_RMUX11,X1Y4_IMUX51,fabric,1,4,CFG_IMUX12,36;37;38;39;40;41;42;43;44;45;46;47,39;46,vendor-dma-response-all
ext_dma_DMACCLR[2],X1Y5_BufMUX04,X1Y5_InputMUX05,mcu,1,5,InputMUX5,0,,vendor-dma-response-all
ext_dma_DMACCLR[2],X1Y5_InputMUX05,X1Y4_RMUX35,fabric,1,4,CFG_RMUX5,50;51;52;53;54;55;56;57;58;59,53;59,vendor-dma-response-all
ext_dma_DMACCLR[2],X1Y4_RMUX35,X1Y4_IMUX19,fabric,1,4,CFG_IMUX4,36;37;38;39;40;41;42;43;44;45;46;47,43;46,vendor-dma-response-all
ext_dma_DMACCLR[3],X1Y5_BufMUX05,X1Y5_InputMUX04,mcu,1,5,InputMUX4,0,0,vendor-dma-response-all
ext_dma_DMACCLR[3],X1Y5_InputMUX04,X1Y4_RMUX27,fabric,1,4,CFG_RMUX4,30;31;32;33;34;35;36;37;38;39,33;39,vendor-dma-response-all
ext_dma_DMACCLR[3],X1Y4_RMUX27,X1Y4_RMUX29,fabric,1,4,CFG_RMUX4,50;51;52;53;54;55;56;57;58;59,54;57,vendor-dma-response-all
ext_dma_DMACCLR[3],X1Y4_RMUX29,X1Y4_IMUX11,fabric,1,4,CFG_IMUX2,36;37;38;39;40;41;42;43;44;45;46;47,42;46,vendor-dma-response-all
ext_dma_DMACTC[0],X1Y5_BufMUX06,X1Y5_InputMUX06,mcu,1,5,InputMUX6,0,,vendor-dma-response-all
ext_dma_DMACTC[0],X1Y5_InputMUX06,X1Y4_RMUX70,fabric,1,4,CFG_RMUX11,40;41;42;43;44;45;46;47;48;49,43;49,vendor-dma-response-all
ext_dma_DMACTC[0],X1Y4_RMUX70,X1Y4_IMUX34,fabric,1,4,CFG_IMUX8,24;25;26;27;28;29;30;31;32;33;34;35,28;35,vendor-dma-response-all
ext_dma_DMACTC[1],X1Y5_BufMUX07,X1Y5_InputMUX07,mcu,1,5,InputMUX7,0,0,vendor-dma-response-all
ext_dma_DMACTC[1],X1Y5_InputMUX07,X1Y4_RMUX50,fabric,1,4,CFG_RMUX8,20;21;22;23;24;25;26;27;28;29,23;29,vendor-dma-response-all
ext_dma_DMACTC[1],X1Y4_RMUX50,X1Y4_RMUX52,fabric,1,4,CFG_RMUX8,40;41;42;43;44;45;46;47;48;49,44;47,vendor-dma-response-all
ext_dma_DMACTC[1],X1Y4_RMUX52,X1Y4_IMUX50,fabric,1,4,CFG_IMUX12,24;25;26;27;28;29;30;31;32;33;34;35,25;35,vendor-dma-response-all
ext_dma_DMACTC[2],X1Y5_BufMUX08,X1Y5_InputMUX09,mcu,1,5,InputMUX9,0,,vendor-dma-response-all
ext_dma_DMACTC[2],X1Y5_InputMUX09,X1Y4_RMUX94,fabric,1,4,CFG_RMUX15,40;41;42;43;44;45;46;47;48;49,43;49,vendor-dma-response-all
ext_dma_DMACTC[2],X1Y4_RMUX94,X1Y4_IMUX18,fabric,1,4,CFG_IMUX4,24;25;26;27;28;29;30;31;32;33;34;35,32;35,vendor-dma-response-all
ext_dma_DMACTC[3],X1Y5_BufMUX09,X1Y5_InputMUX08,mcu,1,5,InputMUX8,0,0,vendor-dma-response-all
ext_dma_DMACTC[3],X1Y5_InputMUX08,X1Y4_RMUX58,fabric,1,4,CFG_RMUX9,40;41;42;43;44;45;46;47;48;49,43;49,vendor-dma-response-all
ext_dma_DMACTC[3],X1Y4_RMUX58,X1Y4_IMUX10,fabric,1,4,CFG_IMUX2,24;25;26;27;28;29;30;31;32;33;34;35,26;35,vendor-dma-response-all
