edge_x,edge_y,edge_res,src_x,src_y,src_res,selectors,evidence
3,5,BBMUXS00,3,4,RMUX69,3;6,wide-boundary-witness-derived
13,6,BBMUXE00,14,6,RMUX20,2;6,wide-boundary-witness-derived
13,6,BBMUXE01,14,6,RMUX56,0;5,wide-boundary-witness-derived
13,6,BBMUXE02,14,6,RMUX93,3;6,wide-boundary-witness-derived
13,6,BBMUXE03,14,6,RMUX26,1;4,wide-boundary-witness-derived
13,6,BBMUXE04,14,6,RMUX33,1;5,wide-boundary-witness-derived
13,6,BBMUXE05,14,6,RMUX13,2;5,wide-boundary-witness-derived
13,6,BBMUXE06,14,6,RMUX49,0;4,wide-boundary-witness-derived
13,6,BBMUXE07,14,6,RMUX63,0;6,wide-boundary-witness-derived
13,6,BBMUXE08,14,6,RMUX86,3;5,wide-boundary-witness-derived
13,6,BBMUXE09,14,6,RMUX03,2;4,wide-boundary-witness-derived
13,6,BBMUXE10,14,6,RMUX43,1;6,wide-boundary-witness-derived
13,6,BBMUXE11,14,6,RMUX79,3;4,wide-boundary-witness-derived
13,6,BBMUXW00,14,6,RMUX54,1;6,wide-boundary-witness-derived
13,6,BBMUXW01,14,6,RMUX48,0;6,wide-boundary-witness-derived
13,6,BBMUXW02,14,6,RMUX24,0;5,wide-boundary-witness-derived
13,7,BBMUXE00,14,7,RMUX79,3;4,wide-boundary-witness-derived
13,7,BBMUXE01,14,7,RMUX49,0;4,wide-boundary-witness-derived
13,7,BBMUXE02,14,7,RMUX86,3;5,wide-boundary-witness-derived
13,7,BBMUXE03,14,7,RMUX03,2;4,wide-boundary-witness-derived
13,7,BBMUXE04,14,7,RMUX20,2;6,wide-boundary-witness-derived
13,7,BBMUXE05,14,7,RMUX26,1;4,wide-boundary-witness-derived
13,7,BBMUXE06,14,7,RMUX93,3;6,wide-boundary-witness-derived
13,7,BBMUXE07,14,7,RMUX13,2;5,wide-boundary-witness-derived
13,7,BBMUXE08,14,7,RMUX43,1;6,wide-boundary-witness-derived
13,7,BBMUXE09,14,7,RMUX33,1;5,wide-boundary-witness-derived
13,7,BBMUXE10,14,7,RMUX63,0;6,wide-boundary-witness-derived
13,7,BBMUXE11,14,7,RMUX56,0;5,wide-boundary-witness-derived
13,7,BBMUXW00,14,7,RMUX24,0;5,wide-boundary-witness-derived
13,7,BBMUXW01,14,7,RMUX84,2;7,wide-boundary-witness-derived
13,8,BBMUXE00,14,8,RMUX43,1;6,wide-boundary-witness-derived
13,8,BBMUXE01,14,8,RMUX63,0;6,wide-boundary-witness-derived
13,8,BBMUXE02,14,8,RMUX13,2;5,wide-boundary-witness-derived
13,8,BBMUXE03,14,8,RMUX56,0;5,wide-boundary-witness-derived
13,8,BBMUXE04,14,8,RMUX33,1;5,wide-boundary-witness-derived
13,8,BBMUXE05,14,8,RMUX79,3;4,wide-boundary-witness-derived
13,8,BBMUXE06,14,8,RMUX03,2;4,wide-boundary-witness-derived
13,8,BBMUXE07,14,8,RMUX26,1;4,wide-boundary-witness-derived
13,8,BBMUXE08,14,8,RMUX86,3;5,wide-boundary-witness-derived
13,8,BBMUXE09,14,8,RMUX93,3;6,wide-boundary-witness-derived
13,8,BBMUXE10,14,8,RMUX20,2;6,wide-boundary-witness-derived
13,8,BBMUXE11,14,8,RMUX49,0;4,wide-boundary-witness-derived
13,8,BBMUXW00,14,8,RMUX60,2;6,wide-boundary-witness-derived
13,8,BBMUXW02,14,8,RMUX72,0;7,wide-boundary-witness-derived
13,9,BBMUXE00,14,9,RMUX56,0;5,wide-boundary-witness-derived
13,9,BBMUXE01,14,9,RMUX93,3;6,wide-boundary-witness-derived
13,9,BBMUXE02,14,9,RMUX13,2;5,wide-boundary-witness-derived
13,9,BBMUXE03,14,9,RMUX49,0;4,wide-boundary-witness-derived
13,9,BBMUXE04,14,9,RMUX43,1;6,wide-boundary-witness-derived
13,9,BBMUXE05,14,9,RMUX86,3;5,wide-boundary-witness-derived
13,9,BBMUXE06,14,9,RMUX03,2;4,wide-boundary-witness-derived
13,9,BBMUXE07,14,9,RMUX79,3;4,wide-boundary-witness-derived
13,9,BBMUXE08,14,9,RMUX33,1;5,wide-boundary-witness-derived
13,9,BBMUXE09,14,9,RMUX20,2;6,wide-boundary-witness-derived
13,9,BBMUXE10,14,9,RMUX26,1;4,wide-boundary-witness-derived
13,9,BBMUXE11,14,9,RMUX63,0;6,wide-boundary-witness-derived
13,9,BBMUXW01,14,9,RMUX78,1;7,wide-boundary-witness-derived
13,10,BBMUXE00,14,10,RMUX49,0;4,wide-boundary-witness-derived
13,10,BBMUXE03,14,10,RMUX33,1;5,wide-boundary-witness-derived
13,10,BBMUXE05,14,10,RMUX93,3;6,wide-boundary-witness-derived
13,10,BBMUXE10,14,10,RMUX20,2;6,wide-boundary-witness-derived
13,10,BBMUXE11,14,10,RMUX79,3;4,wide-boundary-witness-derived
13,10,BBMUXW00,14,10,RMUX72,0;7,wide-boundary-witness-derived
13,10,BBMUXW01,14,10,RMUX84,2;7,wide-boundary-witness-derived
13,10,BBMUXW02,14,10,RMUX24,0;5,wide-boundary-witness-derived
13,11,BBMUXE00,14,11,RMUX86,3;5,wide-boundary-witness-derived
13,11,BBMUXE02,14,11,RMUX26,1;4,wide-boundary-witness-derived
13,11,BBMUXE03,14,11,RMUX63,0;6,wide-boundary-witness-derived
13,11,BBMUXE04,14,11,RMUX13,2;5,wide-boundary-witness-derived
13,11,BBMUXE06,14,11,RMUX49,0;4,wide-boundary-witness-derived
13,11,BBMUXE07,14,11,RMUX43,1;6,wide-boundary-witness-derived
13,11,BBMUXE08,14,11,RMUX79,3;4,wide-boundary-witness-derived
13,11,BBMUXE10,14,11,RMUX20,2;6,wide-boundary-witness-derived
13,11,BBMUXE11,14,11,RMUX93,3;6,wide-boundary-witness-derived
13,11,BBMUXW00,14,11,RMUX00,0;4,wide-boundary-witness-derived
13,11,BBMUXW02,14,11,RMUX48,0;6,wide-boundary-witness-derived
13,11,BBMUXW06,14,11,RMUX18,3;4,wide-boundary-witness-derived
13,12,BBMUXE00,14,12,RMUX63,0;6,wide-boundary-witness-derived
13,12,BBMUXE02,14,12,RMUX56,0;5,wide-boundary-witness-derived
13,12,BBMUXE03,14,12,RMUX26,1;4,wide-boundary-witness-derived
13,12,BBMUXE04,14,12,RMUX20,2;6,wide-boundary-witness-derived
13,12,BBMUXE05,14,12,RMUX13,2;5,wide-boundary-witness-derived
13,12,BBMUXE08,14,12,RMUX49,0;4,wide-boundary-witness-derived
13,12,BBMUXE09,14,12,RMUX33,1;5,wide-boundary-witness-derived
13,12,BBMUXE11,14,12,RMUX93,3;6,wide-boundary-witness-derived
13,12,BBMUXW01,14,12,RMUX24,0;5,wide-boundary-witness-derived
13,12,BBMUXW02,14,12,RMUX78,1;7,wide-boundary-witness-derived
