logical_bit,source_bit,step,src_wire,dst_wire,evidence
0,0,0,X13Y12_BufMUX10,X13Y12_InputMUX11,vendor-ahbraddr32
0,0,1,X13Y12_InputMUX11,X14Y12_RMUX86,vendor-ahbraddr32
0,0,2,X14Y12_RMUX86,X13Y12_BBMUXE02,vendor-ahbraddr32
0,0,3,X13Y12_BBMUXE02,X0Y5_SinkMUXPseudo02,vendor-ahbraddr32
1,1,0,X13Y12_BufMUX11,X13Y12_InputMUX10,vendor-ahbraddr32
1,1,1,X13Y12_InputMUX10,X14Y12_RMUX74,vendor-ahbraddr32
1,1,2,X14Y12_RMUX74,X15Y12_RMUX03,vendor-ahbraddr32
1,1,3,X15Y12_RMUX03,X14Y12_RMUX20,vendor-ahbraddr32
1,1,4,X14Y12_RMUX20,X13Y12_BBMUXE03,vendor-ahbraddr32
1,1,5,X13Y12_BBMUXE03,X0Y5_SinkMUXPseudo03,vendor-ahbraddr32
2,2,0,X13Y12_BufMUX12,X14Y12_RMUX03,vendor-ahbraddr32
2,2,1,X14Y12_RMUX03,X13Y12_BBMUXE04,vendor-ahbraddr32
2,2,2,X13Y12_BBMUXE04,X0Y5_SinkMUXPseudo04,vendor-ahbraddr32
3,3,0,X13Y12_BufMUX13,X14Y12_RMUX13,vendor-ahbraddr32
3,3,1,X14Y12_RMUX13,X13Y12_BBMUXE05,vendor-ahbraddr32
3,3,2,X13Y12_BBMUXE05,X0Y5_SinkMUXPseudo05,vendor-ahbraddr32
4,4,0,X13Y12_BufMUX14,X14Y12_RMUX33,vendor-ahbraddr32
4,4,1,X14Y12_RMUX33,X13Y12_BBMUXE06,vendor-ahbraddr32
4,4,2,X13Y12_BBMUXE06,X0Y5_SinkMUXPseudo06,vendor-ahbraddr32
5,5,0,X13Y12_BufMUX15,X14Y12_RMUX43,vendor-ahbraddr32
5,5,1,X14Y12_RMUX43,X13Y12_BBMUXE07,vendor-ahbraddr32
5,5,2,X13Y12_BBMUXE07,X0Y5_SinkMUXPseudo07,vendor-ahbraddr32
6,6,0,X13Y12_BufMUX16,X14Y12_RMUX49,vendor-ahbraddr32
6,6,1,X14Y12_RMUX49,X13Y12_BBMUXE08,vendor-ahbraddr32
6,6,2,X13Y12_BBMUXE08,X0Y5_SinkMUXPseudo08,vendor-ahbraddr32
7,7,0,X13Y12_BufMUX17,X14Y12_RMUX56,vendor-ahbraddr32
7,7,1,X14Y12_RMUX56,X13Y12_BBMUXE09,vendor-ahbraddr32
7,7,2,X13Y12_BBMUXE09,X0Y5_SinkMUXPseudo09,vendor-ahbraddr32
8,8,0,X13Y12_BufMUX18,X14Y12_RMUX79,vendor-ahbraddr32
8,8,1,X14Y12_RMUX79,X13Y12_BBMUXE10,vendor-ahbraddr32
8,8,2,X13Y12_BBMUXE10,X0Y5_SinkMUXPseudo10,vendor-ahbraddr32
9,9,0,X13Y12_BufMUX19,X14Y12_RMUX93,vendor-ahbraddr32
9,9,1,X14Y12_RMUX93,X13Y12_BBMUXE11,vendor-ahbraddr32
9,9,2,X13Y12_BBMUXE11,X0Y5_SinkMUXPseudo11,vendor-ahbraddr32
10,10,0,X13Y11_BufMUX00,X13Y11_InputMUX01,vendor-ahbraddr32
10,10,1,X13Y11_InputMUX01,X14Y11_RMUX19,vendor-ahbraddr32
10,10,2,X14Y11_RMUX19,X14Y12_RMUX72,vendor-ahbraddr32
10,10,3,X14Y12_RMUX72,X13Y12_BBMUXW00,vendor-ahbraddr32
10,10,4,X13Y12_BBMUXW00,X0Y5_SinkMUXPseudo12,vendor-ahbraddr32
11,11,0,X13Y11_BufMUX01,X13Y11_InputMUX00,vendor-ahbraddr32
11,11,1,X13Y11_InputMUX00,X14Y11_RMUX07,vendor-ahbraddr32
11,11,2,X14Y11_RMUX07,X14Y10_RMUX25,vendor-ahbraddr32
11,11,3,X14Y10_RMUX25,X14Y12_RMUX00,vendor-ahbraddr32
11,11,4,X14Y12_RMUX00,X13Y12_BBMUXW01,vendor-ahbraddr32
11,11,5,X13Y12_BBMUXW01,X0Y5_SinkMUXPseudo13,vendor-ahbraddr32
12,12,0,X13Y11_BufMUX02,X13Y11_InputMUX03,vendor-ahbraddr32
12,12,1,X13Y11_InputMUX03,X14Y11_RMUX25,vendor-ahbraddr32
12,12,2,X14Y11_RMUX25,X14Y12_RMUX06,vendor-ahbraddr32
12,12,3,X14Y12_RMUX06,X13Y12_BBMUXW02,vendor-ahbraddr32
12,12,4,X13Y12_BBMUXW02,X0Y5_SinkMUXPseudo14,vendor-ahbraddr32
13,13,0,X13Y11_BufMUX03,X13Y11_InputMUX02,vendor-ahbraddr32
13,13,1,X13Y11_InputMUX02,X14Y11_RMUX20,vendor-ahbraddr32
13,13,2,X14Y11_RMUX20,X13Y11_BBMUXE00,vendor-ahbraddr32
13,13,3,X13Y11_BBMUXE00,X0Y5_SinkMUXPseudo15,vendor-ahbraddr32
14,14,0,X13Y11_BufMUX04,X13Y11_InputMUX04,vendor-ahbraddr32
14,14,1,X13Y11_InputMUX04,X14Y11_RMUX26,vendor-ahbraddr32
14,14,2,X14Y11_RMUX26,X13Y11_BBMUXE01,vendor-ahbraddr32
14,14,3,X13Y11_BBMUXE01,X0Y5_SinkMUXPseudo16,vendor-ahbraddr32
15,15,0,X13Y11_BufMUX05,X13Y11_InputMUX05,vendor-ahbraddr32
15,15,1,X13Y11_InputMUX05,X14Y11_RMUX45,vendor-ahbraddr32
15,15,2,X14Y11_RMUX45,X15Y11_RMUX93,vendor-ahbraddr32
15,15,3,X15Y11_RMUX93,X14Y11_RMUX86,vendor-ahbraddr32
15,15,4,X14Y11_RMUX86,X13Y11_BBMUXE02,vendor-ahbraddr32
15,15,5,X13Y11_BBMUXE02,X0Y5_SinkMUXPseudo17,vendor-ahbraddr32
16,16,0,X13Y11_BufMUX06,X13Y11_InputMUX07,vendor-ahbraddr32
16,16,1,X13Y11_InputMUX07,X14Y11_RMUX56,vendor-ahbraddr32
16,16,2,X14Y11_RMUX56,X13Y11_BBMUXE03,vendor-ahbraddr32
16,16,3,X13Y11_BBMUXE03,X0Y5_SinkMUXPseudo18,vendor-ahbraddr32
17,17,0,X13Y11_BufMUX07,X13Y11_InputMUX06,vendor-ahbraddr32
17,17,1,X13Y11_InputMUX06,X14Y11_RMUX49,vendor-ahbraddr32
17,17,2,X14Y11_RMUX49,X13Y11_BBMUXE04,vendor-ahbraddr32
17,17,3,X13Y11_BBMUXE04,X0Y5_SinkMUXPseudo19,vendor-ahbraddr32
18,18,0,X13Y11_BufMUX08,X13Y11_InputMUX08,vendor-ahbraddr32
18,18,1,X13Y11_InputMUX08,X14Y11_RMUX63,vendor-ahbraddr32
18,18,2,X14Y11_RMUX63,X13Y11_BBMUXE05,vendor-ahbraddr32
18,18,3,X13Y11_BBMUXE05,X0Y5_SinkMUXPseudo20,vendor-ahbraddr32
19,19,0,X13Y11_BufMUX09,X13Y11_InputMUX09,vendor-ahbraddr32
19,19,1,X13Y11_InputMUX09,X14Y11_RMUX79,vendor-ahbraddr32
19,19,2,X14Y11_RMUX79,X13Y11_BBMUXE06,vendor-ahbraddr32
19,19,3,X13Y11_BBMUXE06,X0Y5_SinkMUXPseudo21,vendor-ahbraddr32
20,20,0,X13Y11_BufMUX10,X13Y11_InputMUX11,vendor-ahbraddr32
20,20,1,X13Y11_InputMUX11,X14Y11_RMUX93,vendor-ahbraddr32
20,20,2,X14Y11_RMUX93,X13Y11_BBMUXE07,vendor-ahbraddr32
20,20,3,X13Y11_BBMUXE07,X0Y5_SinkMUXPseudo22,vendor-ahbraddr32
21,21,0,X13Y11_BufMUX11,X13Y11_InputMUX10,vendor-ahbraddr32
21,21,1,X13Y11_InputMUX10,X15Y11_RMUX90,vendor-ahbraddr32
21,21,2,X15Y11_RMUX90,X14Y11_IMUX23,vendor-ahbraddr32
21,21,3,X14Y11_IMUX23,X14Y11_alta_slice05,vendor-ahbraddr32
21,21,4,X14Y11_alta_slice05,X14Y11_OMUX17,vendor-ahbraddr32
21,21,5,X14Y11_OMUX17,X14Y11_RMUX43,vendor-ahbraddr32
21,21,6,X14Y11_RMUX43,X13Y11_BBMUXE08,vendor-ahbraddr32
21,21,7,X13Y11_BBMUXE08,X0Y5_SinkMUXPseudo23,vendor-ahbraddr32
22,22,0,X13Y11_BufMUX12,X14Y11_RMUX03,vendor-ahbraddr32
22,22,1,X14Y11_RMUX03,X13Y11_BBMUXE09,vendor-ahbraddr32
22,22,2,X13Y11_BBMUXE09,X0Y5_SinkMUXPseudo24,vendor-ahbraddr32
