src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,evidence
X13Y10_BufMUX00,X13Y10_InputMUX01,mcu,13,10,InputMUX1,0,,vendor-haddr-full
X13Y10_BufMUX01,X13Y10_InputMUX00,mcu,13,10,InputMUX0,0,0,vendor-haddr-full
X13Y10_InputMUX00,X14Y10_RMUX07,fabric,14,10,CFG_RMUX1,10;11;12;13;14;15;16;17;18;19,12;18,vendor-haddr-full
X13Y10_InputMUX01,X14Y10_RMUX19,fabric,14,10,CFG_RMUX3,10;11;12;13;14;15;16;17;18;19,12;18,vendor-haddr-full
X13Y11_BufMUX00,X13Y11_InputMUX01,mcu,13,11,InputMUX1,0,,vendor-haddr-full
X13Y11_BufMUX01,X13Y11_InputMUX00,mcu,13,11,InputMUX0,0,0,vendor-haddr-full
X13Y11_BufMUX02,X13Y11_InputMUX03,mcu,13,11,InputMUX3,0,,vendor-haddr-full
X13Y11_BufMUX03,X13Y11_InputMUX02,mcu,13,11,InputMUX2,0,0,vendor-haddr-full
X13Y11_BufMUX04,X13Y11_InputMUX04,mcu,13,11,InputMUX4,0,,vendor-haddr-full
X13Y11_BufMUX05,X13Y11_InputMUX05,mcu,13,11,InputMUX5,0,0,vendor-haddr-full
X13Y11_BufMUX06,X13Y11_InputMUX07,mcu,13,11,InputMUX7,0,,vendor-haddr-full
X13Y11_BufMUX07,X13Y11_InputMUX06,mcu,13,11,InputMUX6,0,0,vendor-haddr-full
X13Y11_BufMUX08,X13Y11_InputMUX08,mcu,13,11,InputMUX8,0,,vendor-haddr-full
X13Y11_BufMUX09,X13Y11_InputMUX09,mcu,13,11,InputMUX9,0,0,vendor-haddr-full
X13Y11_BufMUX10,X13Y11_InputMUX11,mcu,13,11,InputMUX11,0,,vendor-haddr-full
X13Y11_BufMUX11,X13Y11_InputMUX10,mcu,13,11,InputMUX10,0,0,vendor-haddr-full
X13Y11_BufMUX12,X14Y11_RMUX03,fabric,14,11,CFG_RMUX0,30;31;32;33;34;35;36;37;38;39,30;37,vendor-haddr-full
X13Y11_BufMUX13,X14Y11_RMUX13,fabric,14,11,CFG_RMUX2,10;11;12;13;14;15;16;17;18;19,12;17,vendor-haddr-full
X13Y11_BufMUX14,X14Y11_RMUX33,fabric,14,11,CFG_RMUX5,30;31;32;33;34;35;36;37;38;39,30;37,vendor-haddr-full
X13Y11_BufMUX15,X14Y11_RMUX30,fabric,14,11,CFG_RMUX5,0;1;2;3;4;5;6;7;8;9,2;7,vendor-haddr-full
X13Y11_BufMUX16,X14Y11_RMUX66,fabric,14,11,CFG_RMUX11,0;1;2;3;4;5;6;7;8;9,0;7,vendor-haddr-full
X13Y11_BufMUX17,X14Y11_RMUX54,fabric,14,11,CFG_RMUX9,0;1;2;3;4;5;6;7;8;9,2;7,vendor-haddr-full
X13Y11_BufMUX18,X14Y11_RMUX90,fabric,14,11,CFG_RMUX15,0;1;2;3;4;5;6;7;8;9,0;7,vendor-haddr-full
X13Y11_BufMUX19,X14Y11_RMUX72,fabric,14,11,CFG_RMUX12,0;1;2;3;4;5;6;7;8;9,2;7,vendor-haddr-full
X13Y11_InputMUX00,X14Y11_RMUX07,fabric,14,11,CFG_RMUX1,10;11;12;13;14;15;16;17;18;19,12;18,vendor-haddr-full
X13Y11_InputMUX01,X14Y11_RMUX19,fabric,14,11,CFG_RMUX3,10;11;12;13;14;15;16;17;18;19,12;18,vendor-haddr-full
X13Y11_InputMUX02,X14Y11_RMUX20,fabric,14,11,CFG_RMUX3,20;21;22;23;24;25;26;27;28;29,22;28,vendor-haddr-full
X13Y11_InputMUX03,X14Y11_RMUX25,fabric,14,11,CFG_RMUX4,10;11;12;13;14;15;16;17;18;19,12;18,vendor-haddr-full
X13Y11_InputMUX04,X14Y11_RMUX26,fabric,14,11,CFG_RMUX4,20;21;22;23;24;25;26;27;28;29,22;28,vendor-haddr-full
X13Y11_InputMUX05,X14Y11_RMUX45,fabric,14,11,CFG_RMUX7,30;31;32;33;34;35;36;37;38;39,32;38,vendor-haddr-full
X13Y11_InputMUX06,X14Y11_RMUX49,fabric,14,11,CFG_RMUX8,10;11;12;13;14;15;16;17;18;19,12;18,vendor-haddr-full
X13Y11_InputMUX07,X14Y11_RMUX56,fabric,14,11,CFG_RMUX9,20;21;22;23;24;25;26;27;28;29,22;28,vendor-haddr-full
X13Y11_InputMUX08,X14Y11_RMUX63,fabric,14,11,CFG_RMUX10,30;31;32;33;34;35;36;37;38;39,32;38,vendor-haddr-full
X13Y11_InputMUX09,X14Y11_RMUX79,fabric,14,11,CFG_RMUX13,10;11;12;13;14;15;16;17;18;19,12;18,vendor-haddr-full
X13Y11_InputMUX10,X15Y11_RMUX90,fabric,15,11,CFG_RMUX15,0;1;2;3;4;5;6;7;8;9,3;8,vendor-haddr-full
X13Y11_InputMUX11,X14Y11_RMUX93,fabric,14,11,CFG_RMUX15,30;31;32;33;34;35;36;37;38;39,32;38,vendor-haddr-full
X13Y12_BufMUX10,X13Y12_InputMUX11,mcu,13,12,InputMUX11,0,,vendor-haddr-full
X13Y12_BufMUX11,X13Y12_InputMUX10,mcu,13,12,InputMUX10,0,0,vendor-haddr-full
X13Y12_BufMUX12,X14Y12_RMUX03,fabric,14,12,CFG_RMUX0,30;31;32;33;34;35;36;37;38;39,30;37,vendor-haddr-full
X13Y12_BufMUX13,X14Y12_RMUX13,fabric,14,12,CFG_RMUX2,10;11;12;13;14;15;16;17;18;19,12;17,vendor-haddr-full
X13Y12_BufMUX14,X14Y12_RMUX33,fabric,14,12,CFG_RMUX5,30;31;32;33;34;35;36;37;38;39,30;37,vendor-haddr-full
X13Y12_BufMUX15,X14Y12_RMUX43,fabric,14,12,CFG_RMUX7,10;11;12;13;14;15;16;17;18;19,12;17,vendor-haddr-full
X13Y12_BufMUX16,X14Y12_RMUX49,fabric,14,12,CFG_RMUX8,10;11;12;13;14;15;16;17;18;19,10;17,vendor-haddr-full
