logical_bit,bel_bit,entry_x,entry_y,entry_res,next_res,evidence
2,76,13,12,BufMUX12,,vendor-ahbraddr32
3,77,13,12,BufMUX13,,vendor-ahbraddr32
4,78,13,12,BufMUX14,,vendor-ahbraddr32
5,79,13,12,BufMUX15,,vendor-ahbraddr32
6,80,13,12,BufMUX16,,vendor-ahbraddr32
7,81,13,12,BufMUX17,,vendor-ahbraddr32
8,82,13,12,BufMUX18,,vendor-ahbraddr32
9,83,13,12,BufMUX19,,vendor-ahbraddr32
10,84,13,11,BufMUX00,InputMUX01,vendor-ahbraddr32
11,85,13,11,BufMUX01,InputMUX00,vendor-ahbraddr32
12,86,13,11,BufMUX02,InputMUX03,vendor-ahbraddr32
13,87,13,11,BufMUX03,InputMUX02,vendor-ahbraddr32
14,88,13,11,BufMUX04,InputMUX05,vendor-ahbraddr32
15,89,13,11,BufMUX05,InputMUX04,vendor-ahbraddr32
16,90,13,11,BufMUX06,InputMUX07,vendor-ahbraddr32
17,91,13,11,BufMUX07,InputMUX06,vendor-ahbraddr32
18,92,13,11,BufMUX08,InputMUX09,vendor-ahbraddr32
19,93,13,11,BufMUX09,InputMUX08,vendor-ahbraddr32
20,94,13,11,BufMUX10,InputMUX11,vendor-ahbraddr32
21,95,13,11,BufMUX11,InputMUX10,vendor-ahbraddr32
22,96,13,11,BufMUX12,,vendor-ahbraddr32
23,97,13,11,BufMUX13,,vendor-ahbraddr32
24,98,13,11,BufMUX14,,vendor-ahbraddr32
25,99,13,11,BufMUX15,,vendor-ahbraddr32
26,100,13,11,BufMUX16,,vendor-ahbraddr32
27,101,13,11,BufMUX17,,vendor-ahbraddr32
