src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,evidence
X13Y10_BufMUX00,X13Y10_InputMUX01,mcu,13,10,InputMUX1,0,,vendor-haddr-full
X13Y10_BufMUX01,X13Y10_InputMUX00,mcu,13,10,InputMUX0,0,0,vendor-haddr-full
X13Y10_InputMUX00,X14Y10_RMUX07,fabric,14,10,CFG_RMUX1,10;11;12;13;14;15;16;17;18;19,12;18,vendor-haddr-full
X13Y10_InputMUX01,X14Y10_RMUX19,fabric,14,10,CFG_RMUX3,10;11;12;13;14;15;16;17;18;19,12;18,vendor-haddr-full
X13Y11_BufMUX18,X14Y11_RMUX90,fabric,14,11,CFG_RMUX15,0;1;2;3;4;5;6;7;8;9,0;7,vendor-haddr-full
X13Y11_BufMUX19,X14Y11_RMUX72,fabric,14,11,CFG_RMUX12,0;1;2;3;4;5;6;7;8;9,2;7,vendor-haddr-full
X13Y12_BufMUX10,X13Y12_InputMUX11,mcu,13,12,InputMUX11,0,,vendor-haddr-full
X13Y12_BufMUX11,X13Y12_InputMUX10,mcu,13,12,InputMUX10,0,0,vendor-haddr-full
X13Y12_InputMUX10,X14Y12_RMUX74,fabric,14,12,CFG_RMUX12,20;21;22;23;24;25;26;27;28;29,22;28,vendor-haddr-full
X13Y12_InputMUX11,X14Y12_RMUX86,fabric,14,12,CFG_RMUX14,20;21;22;23;24;25;26;27;28;29,22;28,vendor-haddr-full
X14Y10_RMUX07,X14Y9_RMUX25,fabric,14,9,CFG_RMUX4,10;11;12;13;14;15;16;17;18;19,13;19,vendor-haddr-full
X14Y10_RMUX19,X14Y11_RMUX78,fabric,14,11,CFG_RMUX13,0;1;2;3;4;5;6;7;8;9,6;8,vendor-haddr-full
X14Y12_RMUX74,X15Y12_RMUX03,fabric,15,12,CFG_RMUX0,30;31;32;33;34;35;36;37;38;39,32;38,vendor-haddr-full
X14Y9_RMUX25,X14Y11_RMUX06,fabric,14,11,CFG_RMUX1,0;1;2;3;4;5;6;7;8;9,0;9,vendor-haddr-full
X15Y12_RMUX03,X14Y12_RMUX20,fabric,14,12,CFG_RMUX3,20;21;22;23;24;25;26;27;28;29,25;27,vendor-haddr-full
