logical_bit,source_bit,step,src_wire,dst_wire,evidence
4,4,0,X13Y12_BufMUX14,X14Y12_RMUX27,vendor-derived-haddr-region-20260905
4,4,1,X14Y12_RMUX27,X14Y10_RMUX05,vendor-derived-haddr-region-20260905
4,4,2,X14Y10_RMUX05,X14Y10_IMUX01,vendor-derived-haddr-region-20260905
29,29,0,X13Y11_BufMUX19,X14Y11_RMUX87,vendor-derived-haddr-region-20260905
29,29,1,X14Y11_RMUX87,X14Y10_RMUX58,vendor-derived-haddr-region-20260905
29,29,2,X14Y10_RMUX58,X14Y10_IMUX02,vendor-derived-haddr-region-20260905
30,30,0,X13Y10_BufMUX00,X13Y10_InputMUX01,vendor-derived-haddr-region-20260905
30,30,1,X13Y10_InputMUX01,X15Y10_RMUX18,vendor-derived-haddr-region-20260905
30,30,2,X15Y10_RMUX18,X14Y10_IMUX03,vendor-derived-haddr-region-20260905
31,31,0,X13Y10_BufMUX01,X13Y10_InputMUX00,vendor-derived-haddr-region-20260905
31,31,1,X13Y10_InputMUX00,X14Y10_RMUX16,vendor-derived-haddr-region-20260905
31,31,2,X14Y10_RMUX16,X14Y10_IMUX00,vendor-derived-haddr-region-20260905
18,18,0,X13Y11_BufMUX08,X13Y11_InputMUX08,vendor-derived-haddr18-20260906
18,18,1,X13Y11_InputMUX08,X14Y11_RMUX69,vendor-derived-haddr18-20260906
18,18,2,X14Y11_RMUX69,X14Y12_RMUX76,vendor-derived-haddr18-20260906
18,18,3,X14Y12_RMUX76,X14Y12_IMUX02,vendor-derived-haddr18-20260906
15,15,0,X13Y11_BufMUX05,X13Y11_InputMUX05,vendor-derived-haddr-matrix-20260906
15,15,1,X13Y11_InputMUX05,X14Y11_RMUX39,vendor-derived-haddr-matrix-20260906
15,15,2,X14Y11_RMUX39,X14Y12_RMUX52,vendor-derived-haddr-matrix-20260906
15,15,3,X14Y12_RMUX52,X14Y12_IMUX02,vendor-derived-haddr-matrix-20260906
16,16,0,X13Y11_BufMUX06,X13Y11_InputMUX06,vendor-derived-haddr-matrix-20260906
16,16,1,X13Y11_InputMUX06,X14Y11_RMUX55,vendor-derived-haddr-matrix-20260906
16,16,2,X14Y11_RMUX55,X14Y12_RMUX46,vendor-derived-haddr-matrix-20260906
16,16,3,X14Y12_RMUX46,X14Y12_IMUX02,vendor-derived-haddr-matrix-20260906
20,20,0,X13Y11_BufMUX10,X13Y11_InputMUX10,vendor-derived-haddr-matrix-20260906
20,20,1,X13Y11_InputMUX10,X14Y11_RMUX85,vendor-derived-haddr-matrix-20260906
20,20,2,X14Y11_RMUX85,X14Y12_RMUX70,vendor-derived-haddr-matrix-20260906
20,20,3,X14Y12_RMUX70,X14Y12_IMUX02,vendor-derived-haddr-matrix-20260906
22,22,0,X13Y11_BufMUX12,X14Y11_RMUX09,vendor-derived-haddr-matrix-20260906
22,22,1,X14Y11_RMUX09,X14Y12_RMUX28,vendor-derived-haddr-matrix-20260906
22,22,2,X14Y12_RMUX28,X14Y12_IMUX02,vendor-derived-haddr-matrix-20260906
23,23,0,X13Y11_BufMUX13,X14Y11_RMUX19,vendor-derived-haddr-matrix-20260906
23,23,1,X14Y11_RMUX19,X14Y12_RMUX88,vendor-derived-haddr-matrix-20260906
23,23,2,X14Y12_RMUX88,X14Y12_IMUX02,vendor-derived-haddr-matrix-20260906
26,26,0,X13Y11_BufMUX16,X14Y11_RMUX55,vendor-derived-haddr-matrix-20260906
26,26,1,X14Y11_RMUX55,X14Y12_RMUX46,vendor-derived-haddr-matrix-20260906
26,26,2,X14Y12_RMUX46,X14Y12_IMUX02,vendor-derived-haddr-matrix-20260906
27,27,0,X13Y11_BufMUX17,X14Y11_RMUX69,vendor-derived-haddr-matrix-20260906
27,27,1,X14Y11_RMUX69,X14Y12_RMUX82,vendor-derived-haddr-matrix-20260906
27,27,2,X14Y12_RMUX82,X14Y12_IMUX02,vendor-derived-haddr-matrix-20260906
28,28,0,X13Y11_BufMUX18,X14Y11_RMUX75,vendor-derived-haddr-matrix-20260906
28,28,1,X14Y11_RMUX75,X14Y12_RMUX04,vendor-derived-haddr-matrix-20260906
28,28,2,X14Y12_RMUX04,X14Y12_IMUX02,vendor-derived-haddr-matrix-20260906
