src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,evidence
X13Y12_BufMUX14,X14Y12_RMUX27,fabric,14,12,CFG_RMUX4,30;31;32;33;34;35;36;37;38;39,30;37,vendor-derived-haddr-region-20260905
X14Y12_RMUX27,X14Y10_RMUX05,fabric,14,10,CFG_RMUX0,50;51;52;53;54;55;56;57;58;59,54;59,vendor-derived-haddr-region-20260905
X14Y10_RMUX05,X14Y10_IMUX01,fabric,14,10,CFG_IMUX0,12;13;14;15;16;17;18;19;20;21;22;23,14;22,vendor-derived-haddr-region-20260905
X13Y11_BufMUX19,X14Y11_RMUX87,fabric,14,11,CFG_RMUX14,30;31;32;33;34;35;36;37;38;39,32;37,vendor-derived-haddr-region-20260905
X14Y11_RMUX87,X14Y10_RMUX58,fabric,14,10,CFG_RMUX9,40;41;42;43;44;45;46;47;48;49,43;49,vendor-derived-haddr-region-20260905
X14Y10_RMUX58,X14Y10_IMUX02,fabric,14,10,CFG_IMUX0,24;25;26;27;28;29;30;31;32;33;34;35,26;35,vendor-derived-haddr-region-20260905
X13Y10_BufMUX00,X13Y10_InputMUX01,mcu,13,10,InputMUX1,0,,vendor-derived-haddr-region-20260905
X13Y10_InputMUX01,X15Y10_RMUX18,fabric,15,10,CFG_RMUX3,0;1;2;3;4;5;6;7;8;9,3;8,vendor-derived-haddr-region-20260905
X15Y10_RMUX18,X14Y10_IMUX03,fabric,14,10,CFG_IMUX0,36;37;38;39;40;41;42;43;44;45;46;47,36;46,vendor-derived-haddr-region-20260905
X13Y10_BufMUX01,X13Y10_InputMUX00,mcu,13,10,InputMUX0,0,0,vendor-derived-haddr-region-20260905
X13Y10_InputMUX00,X14Y10_RMUX16,fabric,14,10,CFG_RMUX2,40;41;42;43;44;45;46;47;48;49,42;48,vendor-derived-haddr-region-20260905
X14Y10_RMUX16,X14Y10_IMUX00,fabric,14,10,CFG_IMUX0,0;1;2;3;4;5;6;7;8;9;10;11,4;10,vendor-derived-haddr-region-20260905
X13Y11_BufMUX08,X13Y11_InputMUX08,mcu,13,11,InputMUX8,0,,vendor-derived-haddr18-20260906
X13Y11_InputMUX08,X14Y11_RMUX69,fabric,14,11,CFG_RMUX11,30;31;32;33;34;35;36;37;38;39,32;38,vendor-derived-haddr18-20260906
X14Y11_RMUX69,X14Y12_RMUX76,fabric,14,12,CFG_RMUX12,40;41;42;43;44;45;46;47;48;49,46;48,vendor-derived-haddr18-20260906
X14Y12_RMUX76,X14Y12_IMUX02,fabric,14,12,CFG_IMUX0,24;25;26;27;28;29;30;31;32;33;34;35,29;35,vendor-derived-haddr18-20260906
X13Y11_BufMUX05,X13Y11_InputMUX05,mcu,13,11,InputMUX5,0,0,vendor-derived-haddr-matrix-20260906
X13Y11_InputMUX05,X14Y11_RMUX39,fabric,14,11,CFG_RMUX6,30;31;32;33;34;35;36;37;38;39,32;38,vendor-derived-haddr-matrix-20260906
X14Y11_RMUX39,X14Y12_RMUX52,fabric,14,12,CFG_RMUX8,40;41;42;43;44;45;46;47;48;49,46;48,vendor-derived-haddr-matrix-20260906
X14Y12_RMUX52,X14Y12_IMUX02,fabric,14,12,CFG_IMUX0,24;25;26;27;28;29;30;31;32;33;34;35,25;35,vendor-derived-haddr-matrix-20260906
X13Y11_BufMUX06,X13Y11_InputMUX06,mcu,13,11,InputMUX6,0,,vendor-derived-haddr-matrix-20260906
X13Y11_InputMUX06,X14Y11_RMUX55,fabric,14,11,CFG_RMUX9,10;11;12;13;14;15;16;17;18;19,12;18,vendor-derived-haddr-matrix-20260906
X14Y11_RMUX55,X14Y12_RMUX46,fabric,14,12,CFG_RMUX7,40;41;42;43;44;45;46;47;48;49,46;48,vendor-derived-haddr-matrix-20260906
X14Y12_RMUX46,X14Y12_IMUX02,fabric,14,12,CFG_IMUX0,24;25;26;27;28;29;30;31;32;33;34;35,24;35,vendor-derived-haddr-matrix-20260906
X13Y11_BufMUX10,X13Y11_InputMUX10,mcu,13,11,InputMUX10,0,,vendor-derived-haddr-matrix-20260906
X13Y11_InputMUX10,X14Y11_RMUX85,fabric,14,11,CFG_RMUX14,10;11;12;13;14;15;16;17;18;19,12;18,vendor-derived-haddr-matrix-20260906
X14Y11_RMUX85,X14Y12_RMUX70,fabric,14,12,CFG_RMUX11,40;41;42;43;44;45;46;47;48;49,46;48,vendor-derived-haddr-matrix-20260906
X14Y12_RMUX70,X14Y12_IMUX02,fabric,14,12,CFG_IMUX0,24;25;26;27;28;29;30;31;32;33;34;35,28;35,vendor-derived-haddr-matrix-20260906
X13Y11_BufMUX12,X14Y11_RMUX09,fabric,14,11,CFG_RMUX1,30;31;32;33;34;35;36;37;38;39,30;37,vendor-derived-haddr-matrix-20260906
X14Y11_RMUX09,X14Y12_RMUX28,fabric,14,12,CFG_RMUX4,40;41;42;43;44;45;46;47;48;49,46;48,vendor-derived-haddr-matrix-20260906
