logical_bit,source_bit,src_x,src_y,src_res,edge_x,edge_y,edge_res,sink_res,selectors,evidence
0,2,14,12,RMUX20,13,12,BBMUXE02,SinkMUXPseudo02,2;6,vendor-ahbraddr32
1,3,14,12,RMUX13,13,12,BBMUXE03,SinkMUXPseudo03,2;5,vendor-ahbraddr32
2,4,14,12,RMUX33,13,12,BBMUXE04,SinkMUXPseudo04,1;5,vendor-ahbraddr32
3,5,14,12,RMUX26,13,12,BBMUXE05,SinkMUXPseudo05,1;4,vendor-ahbraddr32
4,6,14,12,RMUX49,13,12,BBMUXE06,SinkMUXPseudo06,0;4,vendor-ahbraddr32
5,7,14,12,RMUX63,13,12,BBMUXE07,SinkMUXPseudo07,0;6,vendor-ahbraddr32
6,8,14,12,RMUX86,13,12,BBMUXE08,SinkMUXPseudo08,3;5,vendor-ahbraddr32
7,9,14,12,RMUX93,13,12,BBMUXE09,SinkMUXPseudo09,3;6,vendor-ahbraddr32
8,10,14,12,RMUX79,13,12,BBMUXE10,SinkMUXPseudo10,3;4,vendor-ahbraddr32
9,11,14,12,RMUX43,13,12,BBMUXE11,SinkMUXPseudo11,1;6,vendor-ahbraddr32
10,12,14,12,RMUX00,13,12,BBMUXW00,SinkMUXPseudo12,0;4,vendor-ahbraddr32
11,13,14,12,RMUX48,13,12,BBMUXW01,SinkMUXPseudo13,0;6,vendor-ahbraddr32
12,14,14,12,RMUX54,13,12,BBMUXW02,SinkMUXPseudo14,1;6,vendor-ahbraddr32
13,15,14,11,RMUX43,13,11,BBMUXE00,SinkMUXPseudo15,1;6,vendor-ahbraddr32
14,16,14,11,RMUX56,13,11,BBMUXE01,SinkMUXPseudo16,0;5,vendor-ahbraddr32
15,17,14,11,RMUX93,13,11,BBMUXE02,SinkMUXPseudo17,3;6,vendor-ahbraddr32
16,18,14,11,RMUX79,13,11,BBMUXE03,SinkMUXPseudo18,3;4,vendor-ahbraddr32
17,19,14,11,RMUX63,13,11,BBMUXE04,SinkMUXPseudo19,0;6,vendor-ahbraddr32
18,20,14,11,RMUX86,13,11,BBMUXE05,SinkMUXPseudo20,3;5,vendor-ahbraddr32
19,21,14,11,RMUX20,13,11,BBMUXE06,SinkMUXPseudo21,2;6,vendor-ahbraddr32
20,22,14,11,RMUX03,13,11,BBMUXE07,SinkMUXPseudo22,2;4,vendor-ahbraddr32
21,23,14,11,RMUX13,13,11,BBMUXE08,SinkMUXPseudo23,2;5,vendor-ahbraddr32
22,24,14,11,RMUX33,13,11,BBMUXE09,SinkMUXPseudo24,1;5,vendor-ahbraddr32
23,25,14,11,RMUX26,13,11,BBMUXE10,SinkMUXPseudo25,1;4,vendor-ahbraddr32
24,26,14,11,RMUX49,13,11,BBMUXE11,SinkMUXPseudo26,0;4,vendor-ahbraddr32
25,27,14,11,RMUX48,13,11,BBMUXW00,SinkMUXPseudo27,0;6,vendor-ahbraddr32
26,2,14,11,RMUX60,13,11,BBMUXW01,SinkMUXPseudo28,2;6,vendor-ahbraddr32
27,3,14,11,RMUX90,13,11,BBMUXW02,SinkMUXPseudo29,3;7,vendor-ahbraddr32
28,4,14,11,RMUX84,13,11,BBMUXW03,SinkMUXPseudo30,2;7,vendor-ahbraddr32
29,5,14,11,RMUX54,13,11,BBMUXW04,SinkMUXPseudo31,1;6,vendor-ahbraddr32
30,6,14,11,RMUX78,13,11,BBMUXW05,SinkMUXPseudo32,1;7,vendor-ahbraddr32
31,7,14,11,RMUX72,13,11,BBMUXW06,SinkMUXPseudo33,0;7,vendor-ahbraddr32
