logical_bit,bel_bit,src_x,src_y,src_res,edge_x,edge_y,edge_res,sink_res,selectors,evidence
0,10,14,12,RMUX43,13,12,BBMUXE02,SinkMUXPseudo02,1;6,vendor-ahbrwide32
1,11,14,12,RMUX49,13,12,BBMUXE03,SinkMUXPseudo03,0;4,vendor-ahbrwide32
2,12,14,12,RMUX03,13,12,BBMUXE04,SinkMUXPseudo04,2;4,vendor-ahbrwide32
3,13,14,12,RMUX63,13,12,BBMUXE05,SinkMUXPseudo05,0;6,vendor-ahbrwide32
4,14,14,12,RMUX13,13,12,BBMUXE06,SinkMUXPseudo06,2;5,vendor-ahbrwide32
5,15,14,12,RMUX86,13,12,BBMUXE07,SinkMUXPseudo07,3;5,vendor-ahbrwide32
6,16,14,12,RMUX79,13,12,BBMUXE08,SinkMUXPseudo08,3;4,vendor-ahbrwide32
7,17,14,12,RMUX93,13,12,BBMUXE09,SinkMUXPseudo09,3;6,vendor-ahbrwide32
8,18,14,12,RMUX20,13,12,BBMUXE10,SinkMUXPseudo10,2;6,vendor-ahbrwide32
9,19,14,12,RMUX26,13,12,BBMUXE11,SinkMUXPseudo11,1;4,vendor-ahbrwide32
10,23,14,12,RMUX06,13,12,BBMUXW00,SinkMUXPseudo12,1;4,vendor-ahbrwide32
11,24,14,12,RMUX18,13,12,BBMUXW01,SinkMUXPseudo13,3;4,vendor-ahbrwide32
12,25,14,12,RMUX00,13,12,BBMUXW02,SinkMUXPseudo14,0;4,vendor-ahbrwide32
13,26,14,11,RMUX43,13,11,BBMUXE00,SinkMUXPseudo15,1;6,vendor-ahbrwide32
14,27,14,11,RMUX56,13,11,BBMUXE01,SinkMUXPseudo16,0;5,vendor-ahbrwide32
15,28,14,11,RMUX86,13,11,BBMUXE02,SinkMUXPseudo17,3;5,vendor-ahbrwide32
16,29,14,11,RMUX20,13,11,BBMUXE03,SinkMUXPseudo18,2;6,vendor-ahbrwide32
17,30,14,11,RMUX49,13,11,BBMUXE04,SinkMUXPseudo19,0;4,vendor-ahbrwide32
18,31,14,11,RMUX03,13,11,BBMUXE05,SinkMUXPseudo20,2;4,vendor-ahbrwide32
19,32,14,11,RMUX93,13,11,BBMUXE06,SinkMUXPseudo21,3;6,vendor-ahbrwide32
20,33,14,11,RMUX33,13,11,BBMUXE07,SinkMUXPseudo22,1;5,vendor-ahbrwide32
21,34,14,11,RMUX13,13,11,BBMUXE08,SinkMUXPseudo23,2;5,vendor-ahbrwide32
22,35,14,11,RMUX26,13,11,BBMUXE09,SinkMUXPseudo24,1;4,vendor-ahbrwide32
23,36,14,11,RMUX63,13,11,BBMUXE10,SinkMUXPseudo25,0;6,vendor-ahbrwide32
24,37,14,11,RMUX79,13,11,BBMUXE11,SinkMUXPseudo26,3;4,vendor-ahbrwide32
25,38,14,11,RMUX24,13,11,BBMUXW00,SinkMUXPseudo27,0;5,vendor-ahbrwide32
26,39,14,11,RMUX60,13,11,BBMUXW01,SinkMUXPseudo28,2;6,vendor-ahbrwide32
27,40,14,11,RMUX00,13,11,BBMUXW02,SinkMUXPseudo29,0;4,vendor-ahbrwide32
28,41,14,11,RMUX54,13,11,BBMUXW03,SinkMUXPseudo30,1;6,vendor-ahbrwide32
29,42,14,11,RMUX90,13,11,BBMUXW04,SinkMUXPseudo31,3;7,vendor-ahbrwide32
30,43,14,11,RMUX84,13,11,BBMUXW05,SinkMUXPseudo32,2;7,vendor-ahbrwide32
31,44,14,11,RMUX78,13,11,BBMUXW06,SinkMUXPseudo33,1;7,vendor-ahbrwide32
