terminal,step,src_wire,dst_wire,evidence
i0,0,X13Y10_BufMUX06,X13Y10_InputMUX07,2026-08-04-l48-hwdata4-x15y12-slice2-i0-capture
i0,1,X13Y10_InputMUX07,X14Y10_RMUX50,2026-08-04-l48-hwdata4-x15y12-slice2-i0-capture
i0,2,X14Y10_RMUX50,X14Y9_RMUX09,2026-08-04-l48-hwdata4-x15y12-slice2-i0-capture
i0,3,X14Y9_RMUX09,X14Y12_RMUX45,2026-08-04-l48-hwdata4-x15y12-slice2-i0-capture
i0,4,X14Y12_RMUX45,X15Y12_RMUX82,2026-08-04-l48-hwdata4-x15y12-slice2-i0-capture
i0,5,X15Y12_RMUX82,X15Y12_IMUX08,2026-08-04-l48-hwdata4-x15y12-slice2-i0-capture
i1,0,X13Y10_BufMUX06,X13Y10_InputMUX07,2026-08-04-l48-hwdata4-x15y12-slice2-i1-capture
i1,1,X13Y10_InputMUX07,X14Y10_RMUX50,2026-08-04-l48-hwdata4-x15y12-slice2-i1-capture
i1,2,X14Y10_RMUX50,X14Y9_RMUX09,2026-08-04-l48-hwdata4-x15y12-slice2-i1-capture
i1,3,X14Y9_RMUX09,X14Y12_RMUX45,2026-08-04-l48-hwdata4-x15y12-slice2-i1-capture
i1,4,X14Y12_RMUX45,X15Y12_RMUX77,2026-08-04-l48-hwdata4-x15y12-slice2-i1-capture
i1,5,X15Y12_RMUX77,X15Y12_IMUX09,2026-08-04-l48-hwdata4-x15y12-slice2-i1-capture
i2,0,X13Y10_BufMUX06,X13Y10_InputMUX07,2026-08-04-l48-hwdata4-x15y12-slice2-i2-capture
i2,1,X13Y10_InputMUX07,X14Y10_RMUX50,2026-08-04-l48-hwdata4-x15y12-slice2-i2-capture
i2,2,X14Y10_RMUX50,X14Y9_RMUX09,2026-08-04-l48-hwdata4-x15y12-slice2-i2-capture
i2,3,X14Y9_RMUX09,X14Y12_RMUX45,2026-08-04-l48-hwdata4-x15y12-slice2-i2-capture
i2,4,X14Y12_RMUX45,X15Y12_RMUX82,2026-08-04-l48-hwdata4-x15y12-slice2-i2-capture
i2,5,X15Y12_RMUX82,X15Y12_IMUX10,2026-08-04-l48-hwdata4-x15y12-slice2-i2-capture
i3,0,X13Y10_BufMUX06,X13Y10_InputMUX07,2026-08-04-l48-hwdata4-x15y12-slice2-i3-capture
i3,1,X13Y10_InputMUX07,X14Y10_RMUX50,2026-08-04-l48-hwdata4-x15y12-slice2-i3-capture
i3,2,X14Y10_RMUX50,X14Y9_RMUX09,2026-08-04-l48-hwdata4-x15y12-slice2-i3-capture
i3,3,X14Y9_RMUX09,X14Y12_RMUX45,2026-08-04-l48-hwdata4-x15y12-slice2-i3-capture
i3,4,X14Y12_RMUX45,X15Y12_RMUX77,2026-08-04-l48-hwdata4-x15y12-slice2-i3-capture
i3,5,X15Y12_RMUX77,X15Y12_IMUX11,2026-08-04-l48-hwdata4-x15y12-slice2-i3-capture
