logical_bit,bel_bit,entry_x,entry_y,entry_res,next_res,evidence
0,20,13,10,BufMUX02,InputMUX02,vendor-ahbrwide32
1,45,13,10,BufMUX03,InputMUX03,vendor-ahbrwide32
2,46,13,10,BufMUX04,InputMUX04,vendor-ahbrwide32
3,47,13,10,BufMUX05,InputMUX05,vendor-ahbrwide32
4,48,13,10,BufMUX06,InputMUX07,vendor-ahbrwide32
5,49,13,10,BufMUX07,InputMUX06,vendor-ahbrwide32
6,50,13,10,BufMUX08,InputMUX09,vendor-ahbrwide32
7,51,13,10,BufMUX09,InputMUX08,vendor-ahbrwide32
8,52,13,10,BufMUX10,InputMUX11,vendor-ahbrwide32
9,53,13,10,BufMUX11,InputMUX10,vendor-ahbrwide32
10,54,13,10,BufMUX12,,vendor-ahbrwide32
11,55,13,10,BufMUX13,,vendor-ahbrwide32
12,56,13,10,BufMUX14,,vendor-ahbrwide32
13,57,13,10,BufMUX15,,vendor-ahbrwide32
14,58,13,10,BufMUX16,,vendor-ahbrwide32
15,59,13,10,BufMUX17,,vendor-ahbrwide32
16,60,13,10,BufMUX18,,vendor-ahbrwide32
17,61,13,10,BufMUX19,,vendor-ahbrwide32
18,62,13,9,BufMUX00,InputMUX01,vendor-ahbrwide32
19,63,13,9,BufMUX01,InputMUX00,vendor-ahbrwide32
20,64,13,9,BufMUX02,InputMUX02,vendor-ahbrwide32
21,65,13,9,BufMUX03,InputMUX03,vendor-ahbrwide32
22,66,13,9,BufMUX04,InputMUX04,vendor-ahbrwide32
23,67,13,9,BufMUX05,InputMUX05,vendor-ahbrwide32
24,68,13,9,BufMUX06,InputMUX07,vendor-ahbrwide32
25,69,13,9,BufMUX07,InputMUX06,vendor-ahbrwide32
26,70,13,9,BufMUX08,InputMUX08,vendor-ahbrwide32
27,71,13,9,BufMUX09,InputMUX09,vendor-ahbrwide32
28,72,13,9,BufMUX10,InputMUX10,vendor-ahbrwide32
29,73,13,9,BufMUX11,InputMUX11,vendor-ahbrwide32
30,74,13,9,BufMUX12,,vendor-ahbrwide32
31,75,13,9,BufMUX13,,vendor-ahbrwide32
