signal,logical_bit,step,src_wire,dst_wire,evidence
i2c0_scl_data,280,0,X12Y5_BufMUX09,X12Y5_InputMUX08,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
i2c0_scl_data,280,1,X12Y5_InputMUX08,X12Y4_RMUX68,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
i2c0_scl_data,280,2,X12Y4_RMUX68,X15Y4_RMUX81,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
i2c0_scl_data,280,3,X15Y4_RMUX81,X19Y4_RMUX39,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
i2c0_scl_data,280,4,X19Y4_RMUX39,X19Y5_RMUX69,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
i2c0_scl_data,280,5,X19Y5_RMUX69,X19Y9_RMUX92,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
i2c0_scl_data,280,6,X19Y9_RMUX92,X19Y13_RMUX28,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
i2c0_scl_data,280,7,X19Y13_RMUX28,X19Y13_IOMUX01,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
i2c0_scl_oe,281,0,X11Y5_BufMUX05,X11Y5_InputMUX05,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
i2c0_scl_oe,281,1,X11Y5_InputMUX05,X11Y4_RMUX45,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
i2c0_scl_oe,281,2,X11Y4_RMUX45,X15Y4_RMUX92,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
i2c0_scl_oe,281,3,X15Y4_RMUX92,X15Y5_RMUX75,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
i2c0_scl_oe,281,4,X15Y5_RMUX75,X15Y9_RMUX15,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
i2c0_scl_oe,281,5,X15Y9_RMUX15,X19Y9_RMUX62,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
i2c0_scl_oe,281,6,X19Y9_RMUX62,X19Y13_RMUX20,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
