src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,observed_runs,evidence
X12Y5_BufMUX11,X12Y5_InputMUX10,mcu,12,5,InputMUX10,0,0,user_7101;user_7111;user_7121;user_7131;structural_7107;structural_7117;structural_7127;structural_7137,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
X12Y5_InputMUX10,X12Y4_RMUX74,fabric,12,4,CFG_RMUX12,20;21;22;23;24;25;26;27;28;29,23;29,user_7101;user_7111;user_7121;structural_7107;structural_7117;structural_7137,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
X12Y4_RMUX74,X15Y4_RMUX09,fabric,15,4,CFG_RMUX1,30;31;32;33;34;35;36;37;38;39,34;38,user_7101,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
X15Y4_RMUX09,X15Y5_RMUX39,fabric,15,5,CFG_RMUX6,30;31;32;33;34;35;36;37;38;39,36;38,user_7101,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
X15Y5_RMUX39,X15Y9_RMUX68,fabric,15,9,CFG_RMUX11,20;21;22;23;24;25;26;27;28;29,22;29,user_7101,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
X15Y9_RMUX68,X19Y9_RMUX85,fabric,19,9,CFG_RMUX14,10;11;12;13;14;15;16;17;18;19,15;18,user_7101,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
X11Y5_BufMUX07,X11Y5_InputMUX07,mcu,11,5,InputMUX7,0,0,user_7101;user_7111;user_7121;user_7131;structural_7107;structural_7117;structural_7127;structural_7137,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
X11Y5_InputMUX07,X11Y4_RMUX51,fabric,11,4,CFG_RMUX8,30;31;32;33;34;35;36;37;38;39,33;39,user_7101;user_7111;user_7121;user_7131;structural_7107;structural_7117;structural_7127;structural_7137,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
X11Y4_RMUX51,X15Y4_RMUX15,fabric,15,4,CFG_RMUX2,30;31;32;33;34;35;36;37;38;39,35;38,user_7101;user_7111;user_7121;user_7131;structural_7107;structural_7117;structural_7127;structural_7137,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
X15Y4_RMUX15,X19Y4_RMUX69,fabric,19,4,CFG_RMUX11,30;31;32;33;34;35;36;37;38;39,35;38,user_7101;user_7111;user_7121;user_7131;structural_7107;structural_7117;structural_7127;structural_7137,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
X19Y4_RMUX69,X19Y5_RMUX92,fabric,19,5,CFG_RMUX15,20;21;22;23;24;25;26;27;28;29,26;28,user_7101;user_7111;user_7121;user_7131;structural_7107;structural_7117;structural_7127;structural_7137,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
X19Y5_RMUX92,X19Y9_RMUX75,fabric,19,9,CFG_RMUX12,30;31;32;33;34;35;36;37;38;39,32;39,user_7101;user_7121;user_7131;structural_7117;structural_7127,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
X19Y13_InputMUX02,X19Y9_RMUX20,fabric,19,9,CFG_RMUX3,20;21;22;23;24;25;26;27;28;29,26;29,user_7101;structural_7107,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
X19Y9_RMUX20,X15Y9_RMUX80,fabric,15,9,CFG_RMUX13,20;21;22;23;24;25;26;27;28;29,21;28,user_7101;structural_7107,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
X15Y9_RMUX80,X15Y5_RMUX27,fabric,15,5,CFG_RMUX4,30;31;32;33;34;35;36;37;38;39,36;39,user_7101;structural_7107,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
X15Y5_RMUX27,X15Y4_RMUX20,fabric,15,4,CFG_RMUX3,20;21;22;23;24;25;26;27;28;29,23;29,user_7101;user_7121;structural_7107;structural_7117;structural_7127;structural_7137,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
