net,step,src_wire,dst_wire,evidence
write_data1,0,X14Y10_OMUX11,X14Y10_RMUX09,2026-08-04-l48-scratch2-posted-address-tag
write_data1,1,X14Y10_RMUX09,X14Y11_RMUX35,2026-08-04-l48-scratch2-posted-address-tag
write_data1,2,X14Y11_RMUX35,X14Y11_IMUX25,2026-08-04-l48-scratch2-posted-address-tag
write_data1,3,X14Y11_RMUX35,X14Y11_IMUX03,2026-08-04-l48-scratch2-posted-address-tag
write_data0,0,X14Y11_OMUX17,X14Y11_OMUX16,2026-08-04-l48-scratch2-posted-address-tag
write_data0,1,X14Y11_OMUX16,X14Y11_IMUX29,2026-08-04-l48-scratch2-posted-address-tag
write_data0,2,X14Y11_OMUX16,X14Y11_IMUX59,2026-08-04-l48-scratch2-posted-address-tag
scratch0,0,X14Y11_OMUX23,X14Y11_OMUX22,2026-08-04-l48-scratch2-posted-address-tag
scratch0,1,X14Y11_OMUX22,X14Y11_IMUX31,2026-08-04-l48-scratch2-posted-address-tag
scratch0,2,X14Y11_OMUX23,X14Y11_RMUX44,2026-08-04-l48-scratch2-posted-address-tag
scratch0,3,X14Y11_RMUX44,X14Y10_RMUX85,2026-08-04-l48-scratch2-posted-address-tag
scratch0,4,X14Y10_RMUX85,X14Y11_RMUX65,2026-08-04-l48-scratch2-posted-address-tag
scratch0,5,X14Y11_RMUX65,X14Y11_IMUX57,2026-08-04-l48-scratch2-posted-address-tag
scratch1,0,X14Y11_OMUX20,X14Y11_OMUX19,2026-08-04-l48-scratch2-posted-address-tag
scratch1,1,X14Y11_OMUX19,X14Y11_IMUX27,2026-08-04-l48-scratch2-posted-address-tag
scratch1,2,X14Y11_OMUX20,X14Y11_RMUX29,2026-08-04-l48-scratch2-posted-address-tag
scratch1,3,X14Y11_RMUX29,X14Y11_IMUX01,2026-08-04-l48-scratch2-posted-address-tag
addr_pipe,0,X14Y12_OMUX02,X14Y12_RMUX08,2026-08-04-l48-scratch2-posted-address-tag
addr_pipe,1,X14Y12_RMUX08,X15Y12_RMUX37,2026-08-04-l48-scratch2-posted-address-tag
addr_pipe,2,X15Y12_RMUX37,X15Y11_RMUX48,2026-08-04-l48-scratch2-posted-address-tag
addr_pipe,3,X15Y11_RMUX48,X14Y11_IMUX00,2026-08-04-l48-scratch2-posted-address-tag
addr_pipe,4,X15Y11_RMUX48,X14Y11_IMUX56,2026-08-04-l48-scratch2-posted-address-tag
addr_pipe,5,X14Y12_RMUX08,X16Y12_RMUX27,2026-08-04-l48-scratch2-posted-address-tag
addr_pipe,6,X16Y12_RMUX27,X16Y11_RMUX15,2026-08-04-l48-scratch2-posted-address-tag
addr_pipe,7,X16Y11_RMUX15,X17Y11_RMUX69,2026-08-04-l48-scratch2-posted-address-tag
addr_pipe,8,X17Y11_RMUX69,X17Y12_RMUX82,2026-08-04-l48-scratch2-posted-address-tag
addr_pipe,9,X17Y12_RMUX82,X17Y12_IMUX00,2026-08-04-l48-scratch2-posted-address-tag
write_pending,0,X14Y12_OMUX05,X14Y12_RMUX15,2026-08-04-l48-scratch2-posted-address-tag
write_pending,1,X14Y12_RMUX15,X17Y12_RMUX53,2026-08-04-l48-scratch2-posted-address-tag
write_pending,2,X17Y12_RMUX53,X17Y12_IMUX01,2026-08-04-l48-scratch2-posted-address-tag
write_commit0,0,X17Y12_OMUX02,X17Y12_RMUX21,2026-08-04-l48-scratch2-posted-address-tag
write_commit0,1,X17Y12_RMUX21,X17Y11_RMUX93,2026-08-04-l48-scratch2-posted-address-tag
write_commit0,2,X17Y11_RMUX93,X14Y11_RMUX76,2026-08-04-l48-scratch2-posted-address-tag
write_commit0,3,X14Y11_RMUX76,X14Y11_IMUX28,2026-08-04-l48-scratch2-posted-address-tag
write_commit0,4,X17Y12_RMUX21,X17Y11_RMUX92,2026-08-04-l48-scratch2-posted-address-tag
write_commit0,5,X17Y11_RMUX92,X17Y12_RMUX80,2026-08-04-l48-scratch2-posted-address-tag
write_commit0,6,X17Y12_RMUX80,X17Y11_RMUX33,2026-08-04-l48-scratch2-posted-address-tag
write_commit0,7,X17Y11_RMUX33,X14Y11_RMUX34,2026-08-04-l48-scratch2-posted-address-tag
write_commit0,8,X14Y11_RMUX34,X14Y11_IMUX24,2026-08-04-l48-scratch2-posted-address-tag
write_commit0,9,X17Y12_RMUX80,X17Y11_RMUX43,2026-08-04-l48-scratch2-posted-address-tag
write_commit0,10,X17Y11_RMUX43,X14Y11_RMUX94,2026-08-04-l48-scratch2-posted-address-tag
write_commit0,11,X14Y11_RMUX94,X14Y11_IMUX02,2026-08-04-l48-scratch2-posted-address-tag
write_commit0,12,X14Y11_RMUX94,X14Y11_IMUX58,2026-08-04-l48-scratch2-posted-address-tag
readback0_to_buffer,0,X14Y11_OMUX44,X14Y11_RMUX73,2026-08-04-l48-scratch2-posted-address-tag
readback0_to_buffer,1,X14Y11_RMUX73,X14Y8_RMUX07,2026-08-04-l48-scratch2-posted-address-tag
readback0_to_buffer,2,X14Y8_RMUX07,X14Y4_RMUX40,2026-08-04-l48-scratch2-posted-address-tag
readback0_to_buffer,3,X14Y4_RMUX40,X14Y4_IMUX20,2026-08-04-l48-scratch2-posted-address-tag
readback0_exit,0,X14Y4_OMUX17,X14Y4_RMUX39,2026-08-04-l48-scratch2-posted-address-tag
readback0_exit,1,X14Y4_RMUX39,X14Y8_RMUX69,2026-08-04-l48-scratch2-posted-address-tag
readback0_exit,2,X14Y8_RMUX69,X14Y12_RMUX93,2026-08-04-l48-scratch2-posted-address-tag
readback0_exit,3,X14Y12_RMUX93,X13Y12_BBMUXE02,2026-08-04-l48-scratch2-posted-address-tag
readback0_exit,4,X13Y12_BBMUXE02,X0Y5_SinkMUXPseudo02,2026-08-04-l48-scratch2-posted-address-tag
