net,step,src_wire,dst_wire,evidence
addr_tag_to_forward2_i3,0,X14Y12_OMUX02,X14Y12_RMUX08,candidate-full-graph-not-qualified
addr_tag_to_forward2_i3,1,X14Y12_RMUX08,X18Y12_RMUX26,candidate-full-graph-not-qualified
addr_tag_to_forward2_i3,2,X18Y12_RMUX26,X16Y12_RMUX13,candidate-full-graph-not-qualified
addr_tag_to_forward2_i3,3,X16Y12_RMUX13,X15Y12_RMUX65,candidate-full-graph-not-qualified
addr_tag_to_forward2_i3,4,X15Y12_RMUX65,X15Y12_IMUX11,candidate-full-graph-not-qualified
scratch2_to_forward2_i0_lfsr,0,X14Y11_OMUX14,X14Y11_RMUX32,candidate-full-graph-not-qualified
scratch2_to_forward2_i0_lfsr,1,X14Y11_RMUX32,X14Y12_RMUX33,candidate-full-graph-not-qualified
scratch2_to_forward2_i0_lfsr,2,X14Y12_RMUX33,X14Y12_RMUX45,candidate-full-graph-not-qualified
scratch2_to_forward2_i0_lfsr,3,X14Y12_RMUX45,X15Y12_RMUX82,candidate-full-graph-not-qualified
scratch2_to_forward2_i0_lfsr,4,X15Y12_RMUX82,X15Y12_IMUX08,candidate-full-graph-not-qualified
scratch2_to_local_buffer_i0,0,X14Y11_OMUX14,X14Y11_RMUX32,candidate-full-graph-not-qualified
scratch2_to_local_buffer_i0,1,X14Y11_RMUX32,X14Y12_RMUX32,candidate-full-graph-not-qualified
scratch2_to_local_buffer_i0,2,X14Y12_RMUX32,X14Y12_RMUX34,candidate-full-graph-not-qualified
scratch2_to_local_buffer_i0,3,X14Y12_RMUX34,X14Y12_IMUX08,candidate-full-graph-not-qualified
scratch2_to_same_tile_forward_i2,0,X14Y11_OMUX14,X14Y11_RMUX32,candidate-full-graph-not-qualified
scratch2_to_same_tile_forward_i2,1,X14Y11_RMUX32,X14Y11_RMUX34,candidate-full-graph-not-qualified
scratch2_to_same_tile_forward_i2,2,X14Y11_RMUX34,X14Y11_IMUX22,candidate-full-graph-not-qualified
scratch2_to_same_tile2_forward_i0,0,X14Y11_OMUX14,X14Y11_RMUX32,candidate-full-graph-not-qualified
scratch2_to_same_tile2_forward_i0,1,X14Y11_RMUX32,X14Y11_RMUX34,candidate-full-graph-not-qualified
scratch2_to_same_tile2_forward_i0,2,X14Y11_RMUX34,X14Y11_IMUX08,candidate-full-graph-not-qualified
addr_tag_to_same_tile_forward_i3_alt,0,X14Y12_OMUX02,X14Y12_RMUX19,candidate-full-graph-not-qualified
addr_tag_to_same_tile_forward_i3_alt,1,X14Y12_RMUX19,X14Y11_RMUX89,candidate-full-graph-not-qualified
addr_tag_to_same_tile_forward_i3_alt,2,X14Y11_RMUX89,X14Y11_IMUX23,candidate-full-graph-not-qualified
addr_tag_to_storage2,0,X14Y12_OMUX02,X14Y12_RMUX19,candidate-full-graph-not-qualified
addr_tag_to_storage2,1,X14Y12_RMUX19,X14Y11_RMUX88,candidate-full-graph-not-qualified
addr_tag_to_storage2,2,X14Y11_RMUX88,X14Y11_IMUX18,candidate-full-graph-not-qualified
write_pending_to_storage2,0,X14Y12_RMUX15,X14Y12_RMUX69,candidate-full-graph-not-qualified
write_pending_to_storage2,1,X14Y12_RMUX69,X14Y11_RMUX83,candidate-full-graph-not-qualified
write_pending_to_storage2,2,X14Y11_RMUX83,X14Y11_IMUX17,candidate-full-graph-not-qualified
scratch2_feedback,0,X14Y11_OMUX14,X14Y11_RMUX41,candidate-full-graph-not-qualified
scratch2_feedback,1,X14Y11_RMUX41,X14Y11_IMUX19,candidate-full-graph-not-qualified
addr_tag_to_commit_i2,0,X14Y12_RMUX08,X18Y12_RMUX27,candidate-full-graph-not-qualified
addr_tag_to_commit_i2,1,X18Y12_RMUX27,X18Y9_RMUX20,candidate-full-graph-not-qualified
addr_tag_to_commit_i2,2,X18Y9_RMUX20,X17Y9_RMUX75,candidate-full-graph-not-qualified
addr_tag_to_commit_i2,3,X17Y9_RMUX75,X17Y12_RMUX04,candidate-full-graph-not-qualified
addr_tag_to_commit_i2,4,X17Y12_RMUX04,X17Y12_IMUX02,candidate-full-graph-not-qualified
write_pending_to_commit_i3,0,X17Y12_RMUX53,X17Y12_IMUX03,candidate-full-graph-not-qualified
write_commit0_to_storage2,0,X17Y12_OMUX02,X17Y12_RMUX21,candidate-full-graph-not-qualified
write_commit0_to_storage2,1,X17Y12_RMUX21,X17Y11_RMUX93,candidate-full-graph-not-qualified
write_commit0_to_storage2,2,X17Y11_RMUX93,X14Y11_RMUX77,candidate-full-graph-not-qualified
write_commit0_to_storage2,3,X14Y11_RMUX77,X14Y11_IMUX17,candidate-full-graph-not-qualified
